Content Questions,Page #,Answer
,,
In Marshmallow & Jordan what was color was Hans’ rain jacket when he was riding his bike in the rain?,1,yellow
In Marshmallow & Jordan what is the basketball coaches name?,10,Coach Prayogo
In Marshmallow & Jordan what color are the basketball uniforms?,10,red
In Marshmallow & Jordan what number is on Jordan’s basketball jersey?,11,23
In Marshmallow & Jordan where does Jordan find Marshmallow?,18,Jordan
In Marshmallow & Jordan what color is the scooter Jordan finds for Marshmallow?,23,red
In Marshmallow & Jordan what color are Marshmallow’s eyes?,33,blue
In Marshmallow & Jordan what does Jordan’s mom hang up when she gets home?,39,her purse
In Marshmallow & Jordan what color is Jordan’s mom’s purse?,39,green
In Marshmallow & Jordan how many chimes does the windchime outside Jordan’s house have?,44,4
In Marshmallow & Jordan what does Jordan’s mom say will help Marshmallow?,48,antibiotic
In Marshmallow & Jordan where does Jordan’s dad say Marshmallow may have escaped from?,61,a tourist trap
In Marshmallow & Jordan what color is Mr. Al-Samarrai’s hair and beard?,66,white
In Marshmallow & Jordan what does Mr. Al-Samarria say the geography of Indonesia is dominated by?,66,volcanoes
In Marshmallow & Jordan what picture is Jordan doodling on her notes during class?,68,elephants
In Marshmallow & Jordan what answer does Lynn give when asked what the two most active volcanoes are on Java?,69,Kelud and Merapi
In Marshmallow & Jordan who do the basketball girls want to be their team mascot?,83,Marshmallow
In Marshmallow & Jordan how many framed photos are in Jordan’s bedroom?,87,5
In Marshmallow & Jordan what color is the hat on the hatrack in Jordan’s bedroom?,87,red and white
In Marshmallow & Jordan who is Jordan named after?,88,Michael Jordan
In Marshmallow & Jordan who does Jordan say is the best shooter in basketball?,90,Steph Curry
In Marshmallow & Jordan how many hearts are on the invitation for Jordan’s surprise birthday party?,130,6
In Marshmallow & Jordan what day and date are Jordan’s surprise birthday party?,130,Sunday
In Marshmallow & Jordan how much does Jordan’s dad order of ayam goreng and pi sang goreng?,131,2 dozen each
In Marshmallow & Jordan where does Nenek’s sewing club meet up?,133,at the temple
In Marshmallow & Jordan who used to train for triathlons?,153,Jordan
In Marshmallow & Jordan how many candles are on Jordan’s birthday cake?,155,6
In Marshmallow & Jordan what is the name of the water polo coach?,161,Sirin Ahmed
In Marshmallow & Jordan who is the water polo team having trouble replacing after they graduated?,165,Amisha
In Marshmallow & Jordan who does coach ask to lead the drills at Jordan’s first water polo practice?,170,Kemala
In Marshmallow & Jordan what does coach tell Jordan to do to gain more speed in the water?,177,rotate her shoulders
In Marshmallow & Jordan who stayed at the pool with Jordan to work on an art assignment?,185,Paola
In Marshmallow & Jordan what day of the week is the basketball team’s first game?,191,Friday
In Marshmallow & Jordan who does KMS play in their first basketball game?,191,Negara Academy
In Marshmallow & Jordan what time is the pregame party before the first basketball game?,193,3:30
In Marshmallow & Jordan what was the score of the first basketball game?,206,10:12
In Marshmallow & Jordan Jordan hoped Lynn would forgive her before when?,218,winter break
In Marshmallow & Jordan who is worried because their farm isn’t doing well due to the drought?,224,Kemala
In Marshmallow & Jordan when did Jordan and Lynn become BFF’s?,239,kindergarten
In Marshmallow & Jordan who offers lollypops to the girls on the bus?,254,Alyssa
In Marshmallow & Jordan who scored a goal for Kahawaii in the 2nd period of the game against Canggu?,283,Sarah
In Marshmallow & Jordan who is the highest scoring player in the water polo tournament?,303,Kemala
In Marshmallow & Jordan in the risky strategy to beat Bali Academy who makes the final shot?,309,Jordan
In Marshmallow & Jordan what place did the basketball team ear in the Lesser Sunda Semifinals?,323,3rd
In Marshmallow & Jordan what is the name of the farm Dea’s dad worked for before he was laid off?,330,Batukaru
In Marshmallow & Jordan who specifically did Marshmallow say liked to pick on him?,342,Thunder
In Marshmallow & Jordan what happened after Marshmallow went back to the sky?,354,it rained
