Question,Answer
In which book do parents use their dog as a babysitter?,The Inquisitor’s Tale by Adam Gidwitz (p. 1)
In which book does a character have 'fits' and 'visions'?,The Inquisitor’s Tale by Adam Gidwitz (p. 6)
In which book does a mother tell authorities her daughter likes to hide in 'dung heap' to throw them off?,The Inquisitor’s Tale by Adam Gidwitz (p. 22)
"In which book is a character told that if he is forced to fight, he can use nothing other than flesh and bone?","The Inquisitor’s Tale by Adam Gidwitz (p. 45, William)"
In which book is a character separated from his parents when his house catches on fire?,The Inquisitor’s Tale by Adam Gidwitz (p. 64)
"In which book is a character referred to as 'red, fat and wicked'?","The Inquisitor’s Tale by Adam Gidwitz (p. 97, Michelangelo di Bolonga)"
In which book is there a dragon who has deadly farts?,The Inquisitor’s Tale by Adam Gidwitz (p. 125)
In which book does a character wear an imitation crown to protect the real king?,The Inquisitor’s Tale by Adam Gidwitz (p. 201)
In which book does The Holy Nail go missing from the cross?,The Inquisitor’s Tale by Adam Gidwitz (p. 209)
In which book are thousands of Jewish books collected to be burned?,The Inquisitor’s Tale by Adam Gidwitz (p. 249)
In which book does a character sing an old song called 'The Song of Hildebrand'?,The Inquisitor’s Tale by Adam Gidwitz (p. 283)
In which book does the narrator become actively involved in the story when he meets up with the characters near the end of the book?,The Inquisitor’s Tale by Adam Gidwitz (p. 289)
In which book do characters risk their lives to save another character from quicksand?,The Inquisitor’s Tale by Adam Gidwitz (p. 323)
In which book are two characters actually angels who have been reincarnated?,The Inquisitor’s Tale by Adam Gidwitz (p. 332 - Gwenforte and Michelangelo)
In which book does a character plan to kill other characters with a knife but changes his mind and throws the knife away instead?,The Inquisitor’s Tale by Adam Gidwitz (p. 333)
In which book are some of the characters martyrs?,The Inquisitor’s Tale by Adam Gidwitz (p. 336)
"In The Inquisitor’s Tale by Adam Gidwitz, what year does the story take place?",1242 (p. Prologue and back cover)
"In The Inquisitor’s Tale by Adam Gidwitz, what kind of dog is Gwenforte and what color is the blaze down its nose?",Greyhound and copper (p. 1)
"In The Inquisitor’s Tale by Adam Gidwitz, what kind of snake does Gwenforte kill to protect Jeanne?",An adder (p. 2)
"In The Inquisitor’s Tale by Adam Gidwitz, who is Jeanne’s favorite peasant in her village?",Old Theresa (p. 5)
"In The Inquisitor’s Tale by Adam Gidwitz, what is the name of the place where Gwenforte is buried?",The Holy Grove (p. 13)
"In The Inquisitor’s Tale by Adam Gidwitz, what does William wear around his waist that the Wicked One ?",A belt of gold (p. 52)
"In The Inquisitor’s Tale by Adam Gidwitz, what does William use to protect himself?",A donkey’s leg (p. 55)
"In The Inquisitor’s Tale by Adam Gidwitz, when William hits the stone bench, it explodes into how many pieces?",A thousand (p. 39)
"In The Inquisitor’s Tale by Adam Gidwitz, what is the name of the knight who cries in his sleep and is nicknamed Weasel?",Fabian (p. 117)
"In The Inquisitor’s Tale by Adam Gidwitz, what is the name of the Rabbi who is cousins with Jacob’s mom?",Rabbi Yehuda (p. 158)
"In The Inquisitor’s Tale by Adam Gidwitz, which character has the power of miraculous healing?",Jacob (p. 188)
"In The Inquisitor’s Tale by Adam Gidwitz, how many livres is The Lombard fined for disturbing the king’s peace and for assaulting one of the king’s Jews?",20 livres (p. 223)
"In The Inquisitor’s Tale by Adam Gidwitz, who is Blanche of Castile?",The Queen Mother (or the mother of the King Louis) (p. 242)
"In The Inquisitor’s Tale by Adam Gidwitz, how many cart loads of Jewish books are burned?",24 (p. 267)
"In The Inquisitor’s Tale by Adam Gidwitz, how many books - or Talmuds - in Hebrew does William discover in the satchels that he had left at the inn with the donkey?",Five (p. 277)
"In The Inquisitor’s Tale by Adam Gidwitz, after 100 knights ride out into the bay on horseback, how many safely return?",20 (p. 321)
