book_key,question_type,page,text,answer,author_name,book_title,source_name
hatchet,content,8,What number Cessna does Brian fly on?,406,Gary Paulsen,Hatchet,OBOB Parent Group
hatchet,content,8,How old was Brian?,13,Gary Paulsen,Hatchet,OBOB Parent Group
hatchet,content,8,Who drives Brian to the airport?,his mother,Gary Paulsen,Hatchet,OBOB Parent Group
hatchet,content,8,At the airport how many words did the pilot speak to Brian?,5,Gary Paulsen,Hatchet,OBOB Parent Group
hatchet,content,8,How many minutes did it take to level off at 6000 feet?,5,Gary Paulsen,Hatchet,OBOB Parent Group
hatchet,content,11,How old was the divorce when Brian was headed North?,one month,Gary Paulsen,Hatchet,OBOB Parent Group
hatchet,content,11,What job did Brian's father hold?,mechanical engineer,Gary Paulsen,Hatchet,OBOB Parent Group
hatchet,content,12,How long was the car ride to the airport in Hampton?,2 1/2 hours,Gary Paulsen,Hatchet,OBOB Parent Group
hatchet,content,12,What did Brian's mom give him in the paper sack?,hatchet,Gary Paulsen,Hatchet,OBOB Parent Group
hatchet,content,12,What was the hatchets handle made out of?,steel,Gary Paulsen,Hatchet,OBOB Parent Group
hatchet,content,12,What kind of handgrip did the hatchet have?,rubber,Gary Paulsen,Hatchet,OBOB Parent Group
hatchet,content,15,How many feet above the northern wilderness was Brian when the pilot suffered a heart attack?,7000,Gary Paulsen,Hatchet,OBOB Parent Group
hatchet,content,18,What was Transmitter 221 on the plane's dashboard?,radio,Gary Paulsen,Hatchet,OBOB Parent Group
hatchet,content,,What do you say to signal the end of a transmission?,over,Gary Paulsen,Hatchet,OBOB Parent Group
hatchet,content,1,What is the name and number of the small bushplane?,Cessna 406,Gary Paulsen,Hatchet,OBOB Parent Group
hatchet,content,1,How old is Brian Robeson?,Thirteen,Gary Paulsen,Hatchet,OBOB Parent Group
hatchet,content,1,From where did Brian board the plane?,"Small airport in Hampton, New York",Gary Paulsen,Hatchet,OBOB Parent Group
hatchet,content,2,How long did it take for the airplane to level off at six thousand feet?,Five minutes,Gary Paulsen,Hatchet,OBOB Parent Group
hatchet,content,2,What is the tearing ugly word that meant fights and yelling?,divorce,Gary Paulsen,Hatchet,OBOB Parent Group
hatchet,content,3,Name 4 things Brian saw on the dashboard in front of him,"Dials, Switches, Meters, Knobs, Levers, Cranks, Lights, Handles that were wiggling and flickering",Gary Paulsen,Hatchet,OBOB Parent Group
hatchet,content,5,What are some of the words from Brian's memory that comes flooding in?,"Divorce, The secret, Fights, Split, The big split",Gary Paulsen,Hatchet,OBOB Parent Group
hatchet,content,6,What is the main characters full name?,Brian Robeson,Gary Paulsen,Hatchet,OBOB Parent Group
hatchet,content,6,What plane model and number was Brian flying in when he went down?,Cessna 406,Gary Paulsen,Hatchet,OBOB Parent Group
hatchet,content,6,How old is Brian?,13,Gary Paulsen,Hatchet,OBOB Parent Group
hatchet,content,6,Where does Brian's dad work?,Oil fields of Canada,Gary Paulsen,Hatchet,OBOB Parent Group
hatchet,content,6,What is Brian's fathers job title?,mechanical engineer,Gary Paulsen,Hatchet,OBOB Parent Group
hatchet,content,7,What word did Brian use to describe the start of thinking?,Divorce,Gary Paulsen,Hatchet,OBOB Parent Group
hatchet,content,7,What name did the pilot use to refer to the fabric bag which had emergency supplies in case they needed to make an emergency landing?,Survival pack,Gary Paulsen,Hatchet,OBOB Parent Group
hatchet,content,8,What is inside the paper sack mom gives Brian for the trip?,hatchet,Gary Paulsen,Hatchet,OBOB Parent Group
hatchet,content,11,"Where did Brian's mom drive Brian, to meet the plane?",Hampton,Gary Paulsen,Hatchet,OBOB Parent Group
hatchet,content,12,"How long did the silent drive take, for Brian and his mom to reach Hampton?",Two and a half hours,Gary Paulsen,Hatchet,OBOB Parent Group
hatchet,content,12,How high above the northern wilderness is the bushplane flying when the pilot had a massive heart attack?,Seven thousand feet,Gary Paulsen,Hatchet,OBOB Parent Group
hatchet,content,14,"What was the name of the store, where Brian had witnessed a man have a heart attack?",Paisley's,Gary Paulsen,Hatchet,OBOB Parent Group
hatchet,content,16,What is the number on the lighted display in the top center of the dashboard?,342,Gary Paulsen,Hatchet,OBOB Parent Group
hatchet,content,16,What device on a plane tells the height above the ground?,altimeter,Gary Paulsen,Hatchet,OBOB Parent Group
hatchet,content,22,How often does Brian try the radio after he left the plane running?,Every ten minutes,Gary Paulsen,Hatchet,OBOB Parent Group
hatchet,content,28,What animal did Brian think he saw at the edge of the pond before the plane went down?,Moose,Gary Paulsen,Hatchet,OBOB Parent Group
hatchet,content,29,What time is flashing on the bank clock in the mall?,03:31:00,Gary Paulsen,Hatchet,OBOB Parent Group
hatchet,content,30,What item of clothing tore as Brian escaped the plane?,Windbreaker,Gary Paulsen,Hatchet,OBOB Parent Group
hatchet,content,30,Name the friend Brian was with when he saw his mom in a strange station wagon with a blond man.,Terry,Gary Paulsen,Hatchet,OBOB Parent Group
hatchet,content,31,What time was on the bank clock when Brian saw his mom in the station wagon?,3 :31,Gary Paulsen,Hatchet,OBOB Parent Group
hatchet,content,32,How did Brian break his ankle when he was 9?,plowed his dirt bike into a parked car,Gary Paulsen,Hatchet,OBOB Parent Group
hatchet,content,36,Where does Brian see an upside down forest to match the real one?,in the lake,Gary Paulsen,Hatchet,OBOB Parent Group
hatchet,content,38,What does Brian see directly across the lake from the rocky ridge at the corner of the L?,Mound of sticks and mud rising out of water (8 to 10ft),Gary Paulsen,Hatchet,OBOB Parent Group
hatchet,content,44,What country does Brian's plane go down in?,Canada,Gary Paulsen,Hatchet,OBOB Parent Group
hatchet,content,45,What two things held down Brian's hunger?,Fear and pain,Gary Paulsen,Hatchet,OBOB Parent Group
hatchet,content,46,What was the name of Brian's English teacher that always talked about being positive?,Perpich,Gary Paulsen,Hatchet,OBOB Parent Group
hatchet,content,46,What are the three things Brian's English teacher was always talking about?,"Being positive, thinking positive, staying on top of things",Gary Paulsen,Hatchet,OBOB Parent Group
hatchet,content,46,What is the name of Brian's English teacher who was always talking about being positive?,Perpich,Gary Paulsen,Hatchet,OBOB Parent Group
hatchet,content,46,"How much ""in case you get stranded at the airport in a small town"" money did Brian's mother give him?",20,Gary Paulsen,Hatchet,OBOB Parent Group
hatchet,content,55,What kind of chips did Brian's father add to the charcoal when cooking a turkey for Thanksgiving?,hickory chips,Gary Paulsen,Hatchet,OBOB Parent Group
hatchet,content,57,Where does Brian say his mother goes on Wednesdays?,Exercise class,Gary Paulsen,Hatchet,OBOB Parent Group
hatchet,content,57,What day of the week was Brian's mothers exercise class?,Wednesday,Gary Paulsen,Hatchet,OBOB Parent Group
hatchet,content,58,What are some of the birds Brian sees on his walk up along the side of the lake?,"Robin, some kind of sparrows, a flock of reddish orange birds with thick beaks",Gary Paulsen,Hatchet,OBOB Parent Group
hatchet,content,59,"When Brian finds the ""gut"" berries, how much does he think he's collected in his windbreaker to take to his shelter?",Close to 4 pounds,Gary Paulsen,Hatchet,OBOB Parent Group
hatchet,content,67,What is the second type of berry that Brian finds near the lake?,Raspberries,Gary Paulsen,Hatchet,OBOB Parent Group
hatchet,content,67,what does Brian use to cover the piles of berries?,Grass he tore from the lake,Gary Paulsen,Hatchet,OBOB Parent Group
hatchet,content,69,name the animal Brian sees while eating raspberries and describe what color it was.,A bear. It was black with a cinnamon colored nose,Gary Paulsen,Hatchet,OBOB Parent Group
hatchet,content,73,What type of animal wanders into Brian's shelter the night of the rainstorm?,porcupine,Gary Paulsen,Hatchet,OBOB Parent Group
