book_key,question_type,page,text,answer,author_name,book_title,source_name
mighty-heart,content,0,what seems to be Sunny's biggest fear when it comes to both Lena and Quinn?,She is afraid they will leave her.,Ashley Herring Blake,The Mighty Heart of Sunny St. James,OBOB Practice-Question Coalition
mighty-heart,content,0,"who is waiting for Sunny at her house when she returns from surfing in the rain, and what do they want Sunny to do with them?",Quinn is waiting for her and wants to know if she wants to dye their hair together.,Ashley Herring Blake,The Mighty Heart of Sunny St. James,OBOB Practice-Question Coalition
mighty-heart,content,0,who is Sunny surprised to meet when she finds Lena's house in the middle of the night?,"She meets a tall, thin man with brown skin and dark hair going in every direction who introduces himself as Janesh.",Ashley Herring Blake,The Mighty Heart of Sunny St. James,OBOB Practice-Question Coalition
mighty-heart,content,0,what does Quinn show Sunny when she stops by to visit her after she is home from the hospital because she had a panic attack?,"She shows Sunny the message in the bottle that Sunny dropped in the water with a poem written inside for the person who donated their heart to Sunny, as well as numerous other poems Sunny had written and Quinn had found.",Ashley Herring Blake,The Mighty Heart of Sunny St. James,OBOB Practice-Question Coalition
mighty-heart,content,1,why does Sunny say she is going to die in opening pages of the story?,She is getting a heart transplant so technically she argues she'll be dead at least for a few minutes.,Ashley Herring Blake,The Mighty Heart of Sunny St. James,OBOB Practice-Question Coalition
mighty-heart,content,3,what do the letters FBF stand for?,"FBF stands for ""former best friend.""",Ashley Herring Blake,The Mighty Heart of Sunny St. James,OBOB Practice-Question Coalition
mighty-heart,content,3,"who does Kate tell about Sunny's heart transplant, and what is their connection to Sunny?","Kate called Suzette, who is the mother of Margot Banks, Sunny's former best friend.",Ashley Herring Blake,The Mighty Heart of Sunny St. James,OBOB Practice-Question Coalition
mighty-heart,content,3,"what’s the first and last name of Sunny’s FBF, or Former Best Friend?",Margot Banks,Ashley Herring Blake,The Mighty Heart of Sunny St. James,Lake Oswego Public Library
mighty-heart,content,3,"what is the name of the island where the story takes place, and in which state is the island located?","Juniper Island, South Carolina",Ashley Herring Blake,The Mighty Heart of Sunny St. James,Lake Oswego Public Library
mighty-heart,content,4,what game do Sunny and Margot play to test Kate's neat freak tendencies?,They move an object in the house to see how long it would take Kate to notice.,Ashley Herring Blake,The Mighty Heart of Sunny St. James,OBOB Practice-Question Coalition
mighty-heart,content,4,what is the longest Kate ever went to notice an object that Sunny and Margot had moved in the house?,47 minutes,Ashley Herring Blake,The Mighty Heart of Sunny St. James,OBOB Practice-Question Coalition
mighty-heart,content,5,what is Sunny St. James' heart condition called?,Cardiomyopathy,Ashley Herring Blake,The Mighty Heart of Sunny St. James,OBOB Practice-Question Coalition
mighty-heart,content,5,"how old is Sunny when she learns about her heart condtion, and how long has she been sick?",She was 10 when she got sick and she has been sick for two years.,Ashley Herring Blake,The Mighty Heart of Sunny St. James,OBOB Practice-Question Coalition
mighty-heart,content,5,what is the medical name of Sunny’s heart diagnosis?,Cardiomyopathy,Ashley Herring Blake,The Mighty Heart of Sunny St. James,Lake Oswego Public Library
mighty-heart,content,6,what two emotions is Sunny feeling right before she has her surgery?,She is scared and excited.,Ashley Herring Blake,The Mighty Heart of Sunny St. James,OBOB Practice-Question Coalition
mighty-heart,content,6,name at least two reasons Sunny says she doesn't want to die?,"Possible answers include she wants to turn 13, or she wants to step inside Juniper Island Middle School, she wants to do amazing things such as bungee jumping or sky diving or water skiing, she wants a best friend again, and she really, really wants to kiss a boy.",Ashley Herring Blake,The Mighty Heart of Sunny St. James,OBOB Practice-Question Coalition
mighty-heart,content,6,"what physical ""ailment"" does Sunny say she has because she wants to kiss a boy so badly?",She said her lips itch all the time.,Ashley Herring Blake,The Mighty Heart of Sunny St. James,OBOB Practice-Question Coalition
mighty-heart,content,6,name the two boys that Margot has already kissed.,"Sam Blanchard, Henry Lee",Ashley Herring Blake,The Mighty Heart of Sunny St. James,Lake Oswego Public Library
mighty-heart,content,8,who is Dave?,Dave is Kate's best friend since high school and a musician.,Ashley Herring Blake,The Mighty Heart of Sunny St. James,OBOB Practice-Question Coalition
mighty-heart,content,8,name at least two ways Sunny describes Dave.,"Possible answers include Kate's best friend, a musician, everyone's favorite person ever, muscular arms, curly black hair, dark brown skin, wears plaid shirts and black framed glasses 365, cute even though he's about a million years old and she thinks he loves Kate.",Ashley Herring Blake,The Mighty Heart of Sunny St. James,OBOB Practice-Question Coalition
mighty-heart,content,9,where was Sunny born?,Nashville,Ashley Herring Blake,The Mighty Heart of Sunny St. James,OBOB Practice-Question Coalition
mighty-heart,content,9,what was Sunny's dad's name and what happened to him?,His name was Ethan and he died in a motorcycle accident right after Sunny was born.,Ashley Herring Blake,The Mighty Heart of Sunny St. James,OBOB Practice-Question Coalition
mighty-heart,content,9,what is Kate's bookstore on Juniper Island called?,Cherry Picked Books,Ashley Herring Blake,The Mighty Heart of Sunny St. James,OBOB Practice-Question Coalition
mighty-heart,content,9,"what is Kate's relationship to Sunny, and why is she taking care of her?","Kate was best friends with Sunny's mom, Lena, whom couldn't take care of Sunny anymore, and gave her to Kate when Sunny was 4 years old.",Ashley Herring Blake,The Mighty Heart of Sunny St. James,OBOB Practice-Question Coalition
mighty-heart,content,10,what is Sunny's doctor's name?,Dr. Ahmed,Ashley Herring Blake,The Mighty Heart of Sunny St. James,OBOB Practice-Question Coalition
mighty-heart,content,10,what was Sunny told the only thing that would save her a year and a half earlier?,She was told that the only thing that would help her is a heart transplant.,Ashley Herring Blake,The Mighty Heart of Sunny St. James,OBOB Practice-Question Coalition
mighty-heart,content,10,what was Sunny eating when she received a call that a heart was available for her transplant?,She was eating a grilled cheese sandwich.,Ashley Herring Blake,The Mighty Heart of Sunny St. James,OBOB Practice-Question Coalition
mighty-heart,content,11,what gesture does Sunny make toward Kate as she is being wheeled away fro surgery?,She holds up her pinky.,Ashley Herring Blake,The Mighty Heart of Sunny St. James,OBOB Practice-Question Coalition
mighty-heart,content,13,"who does Sunny ""see"" while she is under anesthesia during her heart transplant?",She envisions her mom as a mermaid.,Ashley Herring Blake,The Mighty Heart of Sunny St. James,OBOB Practice-Question Coalition
mighty-heart,content,14,what does Sunny have in her nightstand at home that she looks at every night?,She has a picture of her mom in her nightstand.,Ashley Herring Blake,The Mighty Heart of Sunny St. James,OBOB Practice-Question Coalition
mighty-heart,content,14,why has Sunny created a story in her mind that her birth mom is a mermaid?,"It is her child-like way of explaining why her mom had to leave her, that she didn't know what to do with a two-legged human girl who needed air, so she left her on land with Kate, which would be a better fit.",Ashley Herring Blake,The Mighty Heart of Sunny St. James,OBOB Practice-Question Coalition
mighty-heart,content,15,"what facial feature does Sunny notice about her mom when she ""sees"" her during her surgery?",She notices her mom's freckles for the first time.,Ashley Herring Blake,The Mighty Heart of Sunny St. James,OBOB Practice-Question Coalition
mighty-heart,content,16,what situation adds to Sunny's confusion as she is waking up from her surgery?,"She thinks her ""mermaid"" is there, which means both Kate and Lena, her birth mother, are present.",Ashley Herring Blake,The Mighty Heart of Sunny St. James,OBOB Practice-Question Coalition
mighty-heart,content,18,what does the nurse do to help calm Sunny down as she is awaking from surgery?,"She jabs a needle into the tube in her arm, presumably a medication, because she said it feels as if heat spreads across her chest.",Ashley Herring Blake,The Mighty Heart of Sunny St. James,OBOB Practice-Question Coalition
mighty-heart,content,18,who had Kate allowed to visit Sunny in the hospital for 10 minutes as she was coming out of surgery?,"Her mother, Lena",Ashley Herring Blake,The Mighty Heart of Sunny St. James,OBOB Practice-Question Coalition
mighty-heart,content,19,what is the name of the hospital where Sunny gets her heart transplant?,Port Hope Children’s Hospital,Ashley Herring Blake,The Mighty Heart of Sunny St. James,Lake Oswego Public Library
mighty-heart,content,20,What does Sunny say she dreamed about while in the hospital?,Mermaids,Ashley Herring Blake,The Mighty Heart of Sunny St. James,Beaverton City Library
mighty-heart,content,21,"about a week after receiving her hew heart, what does Sunny wonder about her heart donor?",She wonders what their name was and if they ever got to kiss anyone (she assumes her new heart belonged to a kid since she is a kid).,Ashley Herring Blake,The Mighty Heart of Sunny St. James,OBOB Practice-Question Coalition
mighty-heart,content,21,"what is the fear following an organ transplant, and what do actions do doctors take to try to combat it?","The fear is organ rejection, which can result in death, so Sunny has to take a lot of medications and stay in the hospital.",Ashley Herring Blake,The Mighty Heart of Sunny St. James,OBOB Practice-Question Coalition
mighty-heart,content,22,what flavor of pudding does Sunny enjoy in the hospital?,Butterscotch,Ashley Herring Blake,The Mighty Heart of Sunny St. James,OBOB Practice-Question Coalition
