book_key,question_type,page,text,answer,author_name,book_title,source_name
thirst,content,0,why is the angry man from the water mafia so interested in finding Sanjay and Amit after they escape?,he thinks they are spies for the newspaper or part of a rival gang,Varsha Bajaj,Thirst,OBOB Practice-Question Coalition
thirst,content,0,where does Ma find the flier for the computer class?,the bulletin board at the clinic,Varsha Bajaj,Thirst,OBOB Practice-Question Coalition
thirst,content,1,"what is the name the sea Minni and her brother, Sanjay stare at from the rooftop?",Arabian Sea,Varsha Bajaj,Thirst,OBOB Practice-Question Coalition
thirst,content,1,what does the sea's link bridge looks like?,The letter M,Varsha Bajaj,Thirst,OBOB Practice-Question Coalition
thirst,content,1,when do the authorities supply water to Minni's neighborhood each day?,2 hours every morning and 1 hour each evening,Varsha Bajaj,Thirst,OBOB Practice-Question Coalition
thirst,content,1,What letter does the sea link bridge look like? What does Sanjay and Minni think it stands for?,"Letter M. Stands for Mumbai, Minni and Monsoon",Varsha Bajaj,Thirst,OBOB Practice-Question Coalition
thirst,content,2,a character chooses what color to paint the family house?,yellow,Varsha Bajaj,Thirst,Lake Oswego Library
thirst,content,2,what flower do the neighborhood  women drape the tap with?,Marigolds,Varsha Bajaj,Thirst,OBOB Practice-Question Coalition
thirst,content,2,what object blocks the ocean view?,Billboards with glamorous Bollywood movie stars,Varsha Bajaj,Thirst,OBOB Practice-Question Coalition
thirst,content,2,who helped paint the homes in the Neighborhood?,Charity,Varsha Bajaj,Thirst,OBOB Practice-Question Coalition
thirst,content,2,what color paint did Minni choose to paint her house?,Yellow,Varsha Bajaj,Thirst,OBOB Practice-Question Coalition
thirst,content,2,what color did Minni choose to paint the family home?,Yellow,Varsha Bajaj,Thirst,OBOB Practice-Question Coalition
thirst,content,2,how many hours a day do authorities provide access to water if the shortages are not too great?,2 hours in the morning and 1 hour in the evening,Varsha Bajaj,Thirst,OBOB Practice-Question Coalition
thirst,content,2,What color did Minni choose to paint their house?,Yellow,Varsha Bajaj,Thirst,OBOB Practice-Question Coalition
thirst,content,2,What materials are the  walls on Minni's house made of?,Tin and concrete,Varsha Bajaj,Thirst,OBOB Practice-Question Coalition
thirst,content,2,What color did Minni choose to paint their house?,Yellow,Varsha Bajaj,Thirst,Beaverton City Library
thirst,content,3,what is desalination?,The process of making sea water drinkable,Varsha Bajaj,Thirst,OBOB Practice-Question Coalition
thirst,content,3,"how old is  Minni's brother, Sanjay?",Fifteen,Varsha Bajaj,Thirst,OBOB Practice-Question Coalition
thirst,content,3,"what grade is Minni's brother, Sanjay in?",Tenth,Varsha Bajaj,Thirst,OBOB Practice-Question Coalition
thirst,content,3,"what profession does Minni's brother, Sanjay dream of becoming?",Chef,Varsha Bajaj,Thirst,OBOB Practice-Question Coalition
thirst,content,4,what is Sanjay's nickname for Minni?,Minni Meow,Varsha Bajaj,Thirst,OBOB Practice-Question Coalition
thirst,content,4,what is Sanjay's dream job?,Being a chef,Varsha Bajaj,Thirst,OBOB Practice-Question Coalition
thirst,content,4,what is the name of the expensive process that requires a factory to strain the salt out of sea water to make it drinkable?,desalination,Varsha Bajaj,Thirst,OBOB Practice-Question Coalition
thirst,content,4,what is Minni's childhood nickname?,Minni Meow,Varsha Bajaj,Thirst,OBOB Practice-Question Coalition
thirst,content,4,What is the process of making seawater drinkable?,Desalination,Varsha Bajaj,Thirst,OBOB Practice-Question Coalition
thirst,content,4,Who is Minni named after?,Her mom's sister / Meena aunty,Varsha Bajaj,Thirst,OBOB Practice-Question Coalition
thirst,content,4,How old is Sanjay? What is his job in the restaurant?,Fifteen. He does food prep,Varsha Bajaj,Thirst,OBOB Practice-Question Coalition
thirst,content,4,What is Minni's childhood nickname?,Minni Meow,Varsha Bajaj,Thirst,OBOB Practice-Question Coalition
thirst,content,4,What does Sanjay want to do for a job?,Be a chef,Varsha Bajaj,Thirst,Beaverton City Library
thirst,content,5,who was Minnie named after and what is her real name?,"Her mom's sister, and Meena",Varsha Bajaj,Thirst,OBOB Practice-Question Coalition
thirst,content,6,What is Minni's best friend's name?,Faiza,Varsha Bajaj,Thirst,Cedar Mill Library
thirst,content,6,"According to Minni, her mom makes the most delicious _________ in the world.",Daal,Varsha Bajaj,Thirst,OBOB Practice-Question Coalition
thirst,content,7,what is the proverb that Minni's father believes in?,See no evil hear no evil and say no evil,Varsha Bajaj,Thirst,OBOB Practice-Question Coalition
thirst,content,7,what is Baba's (Minni & Sanjay's father) job?,He owns a tea shop,Varsha Bajaj,Thirst,OBOB Practice-Question Coalition
thirst,content,7,what is the name of Baba's shop?,Jai Ho,Varsha Bajaj,Thirst,OBOB Practice-Question Coalition
thirst,content,7,what Jai Ho mean?,Victory,Varsha Bajaj,Thirst,OBOB Practice-Question Coalition
thirst,content,7,where do Sanjay and Minni sleep?,A small loft,Varsha Bajaj,Thirst,OBOB Practice-Question Coalition
thirst,content,7,what kind of locket does Ma (Minni & Sanjay's mother) wear?,Ganesh,Varsha Bajaj,Thirst,OBOB Practice-Question Coalition
thirst,content,7,what does the illustrated proverb of the three monkeys mean?,"See no evil, hear no evil, say no evil",Varsha Bajaj,Thirst,OBOB Practice-Question Coalition
thirst,content,7,What is the name of the tea shop run by Minni's father and what does it mean?,"Jai Ho, which means victory",Varsha Bajaj,Thirst,OBOB Practice-Question Coalition
thirst,content,7,What does the proverb illustrated by the three monkeys symbolize?,"See no evil, hear no evil, and say no evil",Varsha Bajaj,Thirst,OBOB Practice-Question Coalition
