book_key,question_type,page,text,answer,author_name,book_title,source_name
rain-rising,content,3,What is the name of Xander's barber?,Willie,Courtne Comrie,Rain Rising,OBOB Parent Group
rain-rising,content,3,What is Rain's older brother's name?,Xander,Courtne Comrie,Rain Rising,OBOB Parent Group
rain-rising,content,6,What is the name of Rain's school?,City Middle School,Courtne Comrie,Rain Rising,OBOB Parent Group
rain-rising,content,7,What is the name of Xander's school?,Elite Preparatory Academy,Courtne Comrie,Rain Rising,OBOB Parent Group
rain-rising,content,11,Who is Rain's best friend?,Nara,Courtne Comrie,Rain Rising,OBOB Parent Group
rain-rising,content,11,What grade is Rain in?,8th,Courtne Comrie,Rain Rising,OBOB Parent Group
rain-rising,content,14,Who is Rain's favorite teacher?,Miss Walia,Courtne Comrie,Rain Rising,OBOB Parent Group
rain-rising,content,14,What is Rain's favorite subject in school?,English,Courtne Comrie,Rain Rising,OBOB Parent Group
rain-rising,content,14,What is Rain's English teacher's name?,Miss Walia,Courtne Comrie,Rain Rising,OBOB Parent Group
rain-rising,content,18,How old is Rain?,13,Courtne Comrie,Rain Rising,OBOB Parent Group
rain-rising,content,24,What sport does Xander play?,Football,Courtne Comrie,Rain Rising,OBOB Parent Group
rain-rising,content,31,What color are the journals given out in Rain's english class?,Orange,Courtne Comrie,Rain Rising,OBOB Parent Group
rain-rising,content,32,What does X make when he is in charge of dinner?,spaghetti,Courtne Comrie,Rain Rising,OBOB Parent Group
rain-rising,content,32,What two ingredients are in Xander's special spaghetti?,Ketchup and Black Pepper,Courtne Comrie,Rain Rising,OBOB Parent Group
rain-rising,content,34,What type of dance move is Xander doing when he runs into the sofa?,Moonwalk,Courtne Comrie,Rain Rising,OBOB Parent Group
rain-rising,content,38,"Who is the only person that calls Rain ""Ray Ray""?",Dad,Courtne Comrie,Rain Rising,OBOB Parent Group
rain-rising,content,38,What does Rain's dad call her?,Ray Ray,Courtne Comrie,Rain Rising,OBOB Parent Group
rain-rising,content,43,What is the name of the church Rain attends?,Hope Church,Courtne Comrie,Rain Rising,OBOB Parent Group
rain-rising,content,52,What is Nicholas' nickname?,Butter,Courtne Comrie,Rain Rising,OBOB Parent Group
rain-rising,content,53,What is the name of the college Xander goes to visit?,Smith University,Courtne Comrie,Rain Rising,OBOB Parent Group
rain-rising,content,68,What is Rain's last name?,Washington,Courtne Comrie,Rain Rising,OBOB Parent Group
rain-rising,content,68,What is Rain's last name?,Washington,Courtne Comrie,Rain Rising,OBOB Parent Group
rain-rising,content,81,What mode of transportation do Rain and her mom take to visit Xander at the hospital?,train,Courtne Comrie,Rain Rising,OBOB Parent Group
rain-rising,content,84,Who are the officers at Xander's hospital room?,Detective Foster and Detective Kelly,Courtne Comrie,Rain Rising,OBOB Parent Group
rain-rising,content,84,What college do Xander and Zach visit?,Smith University,Courtne Comrie,Rain Rising,OBOB Parent Group
rain-rising,content,88,Where was Rain's safe place at the park when she was little?,the swing,Courtne Comrie,Rain Rising,OBOB Parent Group
rain-rising,content,97,Who does Rain call dragons?,"detectives and lawyers, newspapers",Courtne Comrie,Rain Rising,OBOB Parent Group
rain-rising,content,100,Xander's mom makes him peppermint tea to help with what?,bad headaches,Courtne Comrie,Rain Rising,OBOB Parent Group
rain-rising,content,111,What does Amare bring for Rain when he and his mom come over?,Uno cards,Courtne Comrie,Rain Rising,OBOB Parent Group
rain-rising,content,111,What game do Rain and Amare when his mom brings Rain food?,Uno,Courtne Comrie,Rain Rising,OBOB Parent Group
rain-rising,content,113,What is the name of the principal a Xander's private school?,McGregor,Courtne Comrie,Rain Rising,OBOB Parent Group
rain-rising,content,117,What does Rain flush down the toilet at Nara's house after Nara laughs at them?,cutouts,Courtne Comrie,Rain Rising,OBOB Parent Group
