Question,Answer
In which book is there a mysterious sinkhole beneath the town square?,Tales of a Seventh-Grade Lizard Boy by Jonathan Hill (p. 1)
In which book do characters live in a place called Eagle Valley?,Tales of a Seventh-Grade Lizard Boy by Jonathan Hill (p. 1)
In which book does a character say the only reason another boy hangs out with them is because they are forced to because their moms are friends at work?,Tales of a Seventh-Grade Lizard Boy by Jonathan Hill (p. 11)
In which book does a home economics teacher tell the class that he used to teach shop until he lost his hand?,Tales of a Seventh-Grade Lizard Boy by Jonathan Hill (p. 28)
In which book does a coach try to persuade a new student to sign up for the basketball team?,Tales of a Seventh-Grade Lizard Boy by Jonathan Hill (p. 37)
In which book is there a snake infestation of the girls’ locker room?,Tales of a Seventh-Grade Lizard Boy by Jonathan Hill (p. 47)
In which book does a school principal acknowledge that bullying is a big problem at the school?,Tales of a Seventh-Grade Lizard Boy by Jonathan Hill (p. 71)
In which book does a character promise not to freak out if their friend tells them a secret?,Tales of a Seventh-Grade Lizard Boy by Jonathan Hill (p. 115)
In which book does a sister cry because her brother is going out on Halloween while she’s stuck at home?,Tales of a Seventh-Grade Lizard Boy by Jonathan Hill (p. 150)
"In which book does a character leave two friends, only to return moments later and catch them kissing?",Tales of a Seventh-Grade Lizard Boy by Jonathan Hill (p. 157)
In which book does a friend challenge another friend to a fight after school by Old Creek?,Tales of a Seventh-Grade Lizard Boy by Jonathan Hill (p. 192)
In which book does a sister call her younger brother Squirt?,Tales of a Seventh-Grade Lizard Boy by Jonathan Hill (p. 207)
In which book does a character ask their teacher if they can do their “future career” presentation first instead of sixth?,Tales of a Seventh-Grade Lizard Boy by Jonathan Hill (p. 235)
In which book does a character say they are worried about trying to fit in to seem normal and are tired of trying to be someone else?,"Tales of a Seventh-Grade Lizard Boy by Jonathan Hill (p. 237, 242)"
In which book does a character reveal that they are really a Sasquatch?,Tales of a Seventh-Grade Lizard Boy by Jonathan Hill (p. 256)
In which book is there a person named Penny Kabir who reports for BBN International News?,Tales of a Seventh-Grade Lizard Boy by Jonathan Hill (p. 264)
"In Tales of a Seventh-Grade Lizard Boy by Jonathan Hill, what are the names of Caleb’s two friends who he tells Tommy are the coolest?",Ricky and Trevor (p. 5)
"In Tales of a Seventh-Grade Lizard Boy by Jonathan Hill, what is Tommy’s real first name?",Booger (p. 10)
"In Tales of a Seventh-Grade Lizard Boy by Jonathan Hill, what is the name of the place Tommy used to live that his family had to leave as they were in danger of dying there?",Elberon (p. 11)
"In Tales of a Seventh-Grade Lizard Boy by Jonathan Hill, what is the room number of Miss Sachs’s classroom?",No. 201 (p. 23)
"In Tales of a Seventh-Grade Lizard Boy by Jonathan Hill, what are the first names of the hosts of EVMS Live?",Annie and Brandy (p. 26-27)
"In Tales of a Seventh-Grade Lizard Boy by Jonathan Hill, what does a classmate catch Tommy eating on the playground on the first day of school?",A bug (p. 32)
"In Tales of a Seventh-Grade Lizard Boy by Jonathan Hill, what is the name of the hit TV show about alien lizard people?",Victory X (p. 43)
"In Tales of a Seventh-Grade Lizard Boy by Jonathan Hill, what is the first and last name of the new student whose dad was recently hired as head of maintenance at school?",Scarlett Roberts (p. 53)
"In Tales of a Seventh-Grade Lizard Boy by Jonathan Hill, what food is in Dung’s lunch at school that smells so good to Tommy?",Kimchi (p. 58)
"In Tales of a Seventh-Grade Lizard Boy by Jonathan Hill, what does Dung’s name mean in Vietnamese?",Bravery (p. 72)
"In Tales of a Seventh-Grade Lizard Boy by Jonathan Hill, why does Tommy say his people change the skin on their faces?",To let each other know how they are feeling. (p. 131)
"In Tales of a Seventh-Grade Lizard Boy by Jonathan Hill, what does Tommy dress up as for Halloween?","Himself, a lizard person. (p. 147)"
"In Tales of a Seventh-Grade Lizard Boy by Jonathan Hill, when Tommy pretends to be Caleb at school, name two of the things he does to try and embarrass Caleb and make him look bad in front of other kids?","(1) he says he likes smelling farts, (2) he says that he’s a dummy just like his friends Trevor and Ricky, and (3) he pees his pants (p. 173)"
"In Tales of a Seventh-Grade Lizard Boy by Jonathan Hill, what time is it on Halloween night when Tommy says he has to get home because his mom is going to get mad?",9:21 pm (p. 155)
"In Tales of a Seventh-Grade Lizard Boy by Jonathan Hill, what is the name of the character who tells Tommy that she’s a robot sent from the future to find someone?",Sara (p. 256)
"In Tales of a Seventh-Grade Lizard Boy by Jonathan Hill, what is each grade competing for at Spring Fitness Day?",A pizza party (p. 260)
