book_key,question_type,page,text,answer,author_name,book_title,source_name
asha-and-the-spirit-bird,content,5,what is the exact address where Asha has been sending letters to her papa?,102 Cornaught Place Zandapur,Jasbinder Bilan,Asha and the Spirit Bird,OBOB Parent Group
asha-and-the-spirit-bird,content,8,what color is Asha's mother's chuni?,green,Jasbinder Bilan,Asha and the Spirit Bird,OBOB Parent Group
asha-and-the-spirit-bird,content,8,what color is Meena's car?,red,Jasbinder Bilan,Asha and the Spirit Bird,OBOB Parent Group
asha-and-the-spirit-bird,content,12,what does Meena take as a down payment until Asha's mother pays her in full?,Papa's tractor,Jasbinder Bilan,Asha and the Spirit Bird,OBOB Parent Group
asha-and-the-spirit-bird,content,15,what are the names of Asha's twin siblings?,Rohan and Roopa,Jasbinder Bilan,Asha and the Spirit Bird,OBOB Parent Group
asha-and-the-spirit-bird,content,16,"how many weeks aways is Divali, which is also the amount of time Asha's family has to pay Meena before they lose the house?",seven weeks,Jasbinder Bilan,Asha and the Spirit Bird,OBOB Parent Group
asha-and-the-spirit-bird,content,19,"what type of birds ""chatter and dive out from between branches"" in Asha's back garden?",black-winged rosefinches,Jasbinder Bilan,Asha and the Spirit Bird,OBOB Parent Group
asha-and-the-spirit-bird,content,21,what is Asha's mother's name?,Enakshi,Jasbinder Bilan,Asha and the Spirit Bird,OBOB Parent Group
asha-and-the-spirit-bird,content,22,what does Asha call her grandmother?,Nanijee,Jasbinder Bilan,Asha and the Spirit Bird,OBOB Parent Group
asha-and-the-spirit-bird,content,,"to what does Asha say ""perhaps I'll call you my spirit bird""?",a lamagaia,Jasbinder Bilan,Asha and the Spirit Bird,OBOB Parent Group
asha-and-the-spirit-bird,content,26,what is the name of Asha's best friend?,Jeevan,Jasbinder Bilan,Asha and the Spirit Bird,OBOB Parent Group
asha-and-the-spirit-bird,content,28,what does Asha's mom put in the cup of warm milk that she heats up to make Asha feel better?,cinnamon,Jasbinder Bilan,Asha and the Spirit Bird,OBOB Parent Group
asha-and-the-spirit-bird,content,32,what are the names of the two people whose homecoming is celebrated on Divali after they were banished by the king?,Prince Rama and Princess Sita,Jasbinder Bilan,Asha and the Spirit Bird,OBOB Parent Group
asha-and-the-spirit-bird,content,35,"Asha's pendant, passed down only to the eldest daughter, is an ancient symbol called...what?",buta,Jasbinder Bilan,Asha and the Spirit Bird,OBOB Parent Group
asha-and-the-spirit-bird,content,44,what is the name of the palm reader?,Chitragupta,Jasbinder Bilan,Asha and the Spirit Bird,OBOB Parent Group
