Content Questions,Page #,Answer
,,
"In The Mystwick School of Musicraft, According to the first rule of Musicraft, what can a spell do?",2,Charm or do great harm
"In The Mystwick School of Musicraft, What is the name of Mrs O'Grady's chicken ?",2,Rooter
"In The Mystwick School of Musicraft, What tune is good for calming someone's nerves?",2,Ants go marching
"In The Mystwick School of Musicraft, What instrument does Mrs O'Grady have?",3,Harmonica
"In The Mystwick School of Musicraft, How many times does Amelia repeat the tune before she gets Rooter's attention?",6,Two
"In The Mystwick School of Musicraft, Who put out the kitchen fire in Mrs O' Grady's house?",7,Amelia's mother.
"In The Mystwick School of Musicraft, How long has it been since Amelia's mother died?",7,Eight years
"In The Mystwick School of Musicraft, How much money does Mrs O'Grady give Amelia?",7,Twenty
"In The Mystwick School of Musicraft, Who is the after-school Musicraft teacher?",9,Mrs Parrish
"In The Mystwick School of Musicraft, Whose picture is taped inside Amelia's flute case?",10-11,Her mom
"In The Mystwick School of Musicraft, How old is Amelia when her mom dies?",11,Four
"In The Mystwick School of Musicraft, How many blocks does Amelia have to walk from the train station to the hotel where the auditions are?",13,Four
"In The Mystwick School of Musicraft, What's the name of the professional musician in Amelia's town, other than Mrs. Parrish?",17,Mr Meadows
"In The Mystwick School of Musicraft, What is the name of the hotel where the auditions are taking place?",18,Hotel Rhapsody
"In The Mystwick School of Musicraft, How old is Amelia?",19,Twelve
"In The Mystwick School of Musicraft, _____ is key in a Mystwick musician.",20,Punctuality
"In The Mystwick School of Musicraft, How many openings are there for flutists?",20,Four
"In The Mystwick School of Musicraft, Where does Amelia have to wait for her audition to start?",20,Ballroom A
"In The Mystwick School of Musicraft, What tune played by Amelia causes the papers and the dress to burst into flames?",22,Itsy -Bitsy Spider
"In The Mystwick School of Musicraft, What's the name of the boy who played violin to put out the fire?",24,Jai Kapoor
"In The Mystwick School of Musicraft, What is Jai Kapoor's audition number?",24,241
"In The Mystwick School of Musicraft, What two instruments does Jai's dad think are not serious instruments?",26,Sax and guitar
"In The Mystwick School of Musicraft, What does Jai's mom do for work?",27,Minister of Musical Affairs for the UK
"In The Mystwick School of Musicraft, How old is Amelia when she finds her mom's flute?",32,Seven
"In The Mystwick School of Musicraft, What spells double as growth spells if tempo is altered just a bit?",38,Healing spells
"In The Mystwick School of Musicraft, What is Amelia's mother's name?",52,Susan Jones
"In The Mystwick School of Musicraft, What is Amelia's dad's name?",54/237,Eric Neal
"In The Mystwick School of Musicraft, Who is the headmaestro of Mystwick School of Musicraft?",56,Euphonia Le Roux
"In The Mystwick School of Musicraft, What is the smell of the teleportation spell?",60,Cinnamon
"In The Mystwick School of Musicraft, What flavor of gum does Jenkins give Amelia?",61,Grape
"In The Mystwick School of Musicraft, What does the parrot have around each of its claws?",61,Gold band
"In The Mystwick School of Musicraft, What's the name of the zeppelin?",63,Bumblebee
"In The Mystwick School of Musicraft, What is Jenkins feeding his parrot?",65,Barbecue potato chips
"In The Mystwick School of Musicraft, What's the name of the organist playing the teleportation spell in the zeppelin?",65,Miss Myra
"In The Mystwick School of Musicraft, How many people around the world are licensed to teleport anything bigger than a refrigerator?",65,Sixteen
"In The Mystwick School of Musicraft, What is the zeppelin's third stop?",68,Taiwan
"In The Mystwick School of Musicraft, Who gets picked up from a quiet street outside Kyoto?",68,Hana
"In The Mystwick School of Musicraft, What's the name of the twins? What instrument do they play?",69,Jamal and Amari. Violin
"In The Mystwick School of Musicraft, Who is the dean of students at the Mystwick school of Musicraft?",74-75,Ellie March
"In The Mystwick School of Musicraft, Who is the maestro of brass?",82,Mr Walters
"In The Mystwick School of Musicraft, What trees are special because they protect the school and everyone inside?",91,Echo trees
"In The Mystwick School of Musicraft, What is the name of Mrs Le Roux's musicat?",106,Wynk
"In The Mystwick School of Musicraft, What instrument does Miss Noorani play?",105,Viola
"In The Mystwick School of Musicraft, On which floor of the library does Amelia find books of spells?",118,Second floor
"In The Mystwick School of Musicraft, How many slots are there on the chart by the door in Mr Pinwhistle's class?",129,Twenty six
"In The Mystwick School of Musicraft, How many types of spells are there?",130,Four
"In The Mystwick School of Musicraft, What are green spells also known as?",130,Bio spells
"In The Mystwick School of Musicraft, What spells work on living organisms?",130,Green spells or Bio spells
"In The Mystwick School of Musicraft, What are yellow spells also known as?",131,Kinetic spells
"In The Mystwick School of Musicraft, What spells influence the minds?",131,White spells
"In The Mystwick School of Musicraft, Where do all the seventh graders gather on their first friday morning?",140,Main auditorium / Shell
"In The Mystwick School of Musicraft, What is the name of the lake that is named after the Greek god of Musicraft?",159,Orpheus lake
"In The Mystwick School of Musicraft, How many instruments are used in playing a nonet?",160,Nine
"In The Mystwick School of Musicraft, What color is Darby's pea coat?",174,Black
"In The Mystwick School of Musicraft, Where does the tunnel end?",193,Ends in Echo wood
"In The Mystwick School of Musicraft, What does Mr Pinwhistle make Amelia play instead of her flute?",199,Plastic kazoo
"In The Mystwick School of Musicraft, What does Amelia borrow from Jingfei?",202,A camera
"In The Mystwick School of Musicraft, What spell does the other Amelia Jones use to bring her dog back to life?",217,A resurrection spell
"In The Mystwick School of Musicraft, What is the name of the largest chain of spell stores in the world?",228,Spellstones
"In The Mystwick School of Musicraft, What instrument does Rosa play?",230,Saxophone
"In The Mystwick School of Musicraft, What is the most basic hovering spell?",238,"Row, Row, Row Your Boat"
"In The Mystwick School of Musicraft, What is the name of the black spell that Jai, Darby and Amelia play?",269,Dies Irae
"In The Mystwick School of Musicraft, Where does Amelia's test with the maestros take place?",294,In the Echo wood
"In The Mystwick School of Musicraft, Who is the ghost that chases Amelia through the forest?",313,Amelia's mom / Susan
"In The Mystwick School of Musicraft, On what night is the wall between the living and the dead the thinnest?",324,Halloween
"In The Mystwick School of Musicraft, What's Darby's last name?",332,Bradshaw
"In The Mystwick School of Musicraft, What's Amelia's middle name?",334,Grace
