book_key,question_type,page,text,answer,author_name,book_title,source_name
a-crane-among-wolves,content,1,What year does the story take place?,1506,June Hur,A Crane Among Wolves,OBOB Parent Group
a-crane-among-wolves,content,1,What words are inscribed in the tower at the front of the king's hunting grounds?,"""Trespassers will be executed""",June Hur,A Crane Among Wolves,OBOB Parent Group
a-crane-among-wolves,content,4,What is the king's name?,King Yeonsan,June Hur,A Crane Among Wolves,OBOB Parent Group
a-crane-among-wolves,content,7,What is the name of the town Iseul is from?,Chuncheon,June Hur,A Crane Among Wolves,OBOB Parent Group
a-crane-among-wolves,content,9,How old is Iseul at the start of the book?,17,June Hur,A Crane Among Wolves,OBOB Parent Group
a-crane-among-wolves,content,9,"How old is the innkeeper, Yul?",19,June Hur,A Crane Among Wolves,OBOB Parent Group
a-crane-among-wolves,content,12,"Who does Yul call the ""guardian of the inn""?",Wonsik,June Hur,A Crane Among Wolves,OBOB Parent Group
a-crane-among-wolves,content,13,What is the name of the famous killer for whom there is a reward?,Nameless Flower,June Hur,A Crane Among Wolves,OBOB Parent Group
a-crane-among-wolves,content,14,Where did the village elder move the Nameless Flower's victim so the king wouldn't see it?,The reed field,June Hur,A Crane Among Wolves,OBOB Parent Group
a-crane-among-wolves,content,20,Which woman took in Daehyun as her own child?,(Royal Consort) Jeong,June Hur,A Crane Among Wolves,OBOB Parent Group
a-crane-among-wolves,content,22,What color is the flower the Nameless Flower leaves on his victims?,Red,June Hur,A Crane Among Wolves,OBOB Parent Group
a-crane-among-wolves,content,23,What is clutched in the hand of the Nameless Flower's victim that Iseul finds?,Two beads,June Hur,A Crane Among Wolves,OBOB Parent Group
a-crane-among-wolves,content,24,What season were Iseul's parents killed?,Autumn,June Hur,A Crane Among Wolves,OBOB Parent Group
a-crane-among-wolves,content,28,Where do the king's stolen girls reside?,Wongaksa Temple,June Hur,A Crane Among Wolves,OBOB Parent Group
a-crane-among-wolves,content,32,What is Iseul's last name?,Hwang,June Hur,A Crane Among Wolves,OBOB Parent Group
a-crane-among-wolves,content,33,Which shoulder of Iseul's is shot by Daehyun's arrow?,Left,June Hur,A Crane Among Wolves,OBOB Parent Group
a-crane-among-wolves,content,37,What is Daehyun's horse's name?,Jeong-Hui,June Hur,A Crane Among Wolves,OBOB Parent Group
a-crane-among-wolves,content,43,What is Iseul's birth name?,(Hwang) Boyeon,June Hur,A Crane Among Wolves,OBOB Parent Group
a-crane-among-wolves,content,43,What does the name Iseul mean?,Dewdrop,June Hur,A Crane Among Wolves,OBOB Parent Group
a-crane-among-wolves,content,48,What is the name of the Inn?,Red Lantern Inn,June Hur,A Crane Among Wolves,OBOB Parent Group
a-crane-among-wolves,content,50,With what group of people does Iseul first sneak into the capital?,Court jesters,June Hur,A Crane Among Wolves,OBOB Parent Group
a-crane-among-wolves,content,54,What book would Min and Daehyun read for hours in the forest?,Romance of the Three Kingdoms,June Hur,A Crane Among Wolves,OBOB Parent Group
a-crane-among-wolves,content,56,What is the coup called to hide it?,The Great Event,June Hur,A Crane Among Wolves,OBOB Parent Group
a-crane-among-wolves,content,73,What is the name of the woman who the king denies killed herself?,Lady Seungpyeong,June Hur,A Crane Among Wolves,OBOB Parent Group
a-crane-among-wolves,content,75,What plant killed Lady Seungpyeong?,Kyungpo-buja,June Hur,A Crane Among Wolves,OBOB Parent Group
a-crane-among-wolves,content,91,What is Hyukjin's sister's name?,Sonhui,June Hur,A Crane Among Wolves,OBOB Parent Group
a-crane-among-wolves,content,106,Where does Hyukjin go to visit his grandmother?,Mount Acha,June Hur,A Crane Among Wolves,OBOB Parent Group
a-crane-among-wolves,content,135,Who would be ruler after the coup?,Grand Prince Jinseong,June Hur,A Crane Among Wolves,OBOB Parent Group
a-crane-among-wolves,content,147,2-part question: What 2 colors of beads do military hats have?,Red and yellow,June Hur,A Crane Among Wolves,OBOB Parent Group
a-crane-among-wolves,content,149,What was Hyukjin's nickname for Yeongho?,Doaji,June Hur,A Crane Among Wolves,OBOB Parent Group
a-crane-among-wolves,content,192,"Where would Daehyun visit first, if he could leave?",The sea,June Hur,A Crane Among Wolves,OBOB Parent Group
a-crane-among-wolves,content,199,What is on the necklace Iseul gives Daehyun for luck?,A garakji or a double ring,June Hur,A Crane Among Wolves,OBOB Parent Group
a-crane-among-wolves,content,205,What year was the purge when Iseul's parents were killed?,1504,June Hur,A Crane Among Wolves,OBOB Parent Group
a-crane-among-wolves,content,210,What day of the month is the coup planned for?,18th,June Hur,A Crane Among Wolves,OBOB Parent Group
a-crane-among-wolves,content,214,What is promised to 'Maggot' in exchange for his help?,Suyeon or Iseul's siter,June Hur,A Crane Among Wolves,OBOB Parent Group
a-crane-among-wolves,content,231,2-part question: What name and place are on the last page of Wonsik's notes?,Investigator Gu and Jangheung County,June Hur,A Crane Among Wolves,OBOB Parent Group
a-crane-among-wolves,content,235,2-part question: What foods does Daehyun bring as a peace offering to Iseul after Wonsik's death? Name two.,"Hangwa (sweet confections), candied fruit, or taffy-like yeot",June Hur,A Crane Among Wolves,OBOB Parent Group
a-crane-among-wolves,content,238,"What is Iseul's ""little insecurity""?",A freckle (below her left ear),June Hur,A Crane Among Wolves,OBOB Parent Group
a-crane-among-wolves,content,238,What was written on Deposed Queen Yun's execution robe?,"""Avenge my death""",June Hur,A Crane Among Wolves,OBOB Parent Group
a-crane-among-wolves,content,245,What object did Wonsik give Invesitgator Gu to identify?,A hairpin,June Hur,A Crane Among Wolves,OBOB Parent Group
a-crane-among-wolves,content,249,How many men are in Milwicheong Prison?,800,June Hur,A Crane Among Wolves,OBOB Parent Group
a-crane-among-wolves,content,266,In what type of shop does Iseul hide in before infiltrating Wongaksa Temple?,Bookshop,June Hur,A Crane Among Wolves,OBOB Parent Group
a-crane-among-wolves,content,289,To where does Iseul tell the women they must go to escape during the coup?,The mountains,June Hur,A Crane Among Wolves,OBOB Parent Group
a-crane-among-wolves,content,303,What occupation was Yul's father?,Jester,June Hur,A Crane Among Wolves,OBOB Parent Group
a-crane-among-wolves,content,330,How does Deposed King Yeonsan die?,Illness,June Hur,A Crane Among Wolves,OBOB Parent Group
a-crane-among-wolves,in-which-book,-1,is a character based on a real-life historical tyrant?,,June Hur,A Crane Among Wolves,OBOB Parent Group
a-crane-among-wolves,in-which-book,3,does a character walk for three days in the wilderness?,,June Hur,A Crane Among Wolves,OBOB Parent Group
a-crane-among-wolves,in-which-book,4,"is a character described as ""lovely as an azalea in full bloom""?",,June Hur,A Crane Among Wolves,OBOB Parent Group
a-crane-among-wolves,in-which-book,6,are an aristocrat's parents killed?,,June Hur,A Crane Among Wolves,OBOB Parent Group
a-crane-among-wolves,in-which-book,10,does a man go hunting with hundreds of women?,,June Hur,A Crane Among Wolves,OBOB Parent Group
a-crane-among-wolves,in-which-book,14,"is a ""great reward"" offered for help catching a killer?",,June Hur,A Crane Among Wolves,OBOB Parent Group
