Question,Answer
In which book does a character say his most important rule is to be invisible?,"Freewater by Amina Luqman-Dawson (p. 7, Homer)"
In which book is there a character named Two Shoes?,Freewater by Amina Luqman-Dawson (p. 14)
In which book does a character step into a sinkhole?,Freewater by Amina Luqman-Dawson (p. 20)
In which book do people travel in tree boats?,Freewater by Amina Luqman-Dawson (p. 35)
In which book is a weasel killed for food?,Freewater by Amina Luqman-Dawson (p. 40)
In which book is there a family named the Crumbs?,Freewater by Amina Luqman-Dawson (p. 42)
In which book is the kitchen located about 20 yards from the main house?,Freewater by Amina Luqman-Dawson (p. 44)
In which book is there a special occasion called Remembering Day?,Freewater by Amina Luqman-Dawson (p. 81)
In which book is there a concoction called Maypop Water?,Freewater by Amina Luqman-Dawson (p. 114)
In which book are there twins named Hope and Free?,Freewater by Amina Luqman-Dawson (p. 119)
In which book are there characters nicknamed the Bow and Arrow Girl and the Knife Boy?,"Freewater by Amina Luqman-Dawson (p. 164, 166)"
In which book is there a baby named Moonlight who dies?,Freewater by Amina Luqman-Dawson (p. 180)
In which book is there a character who tucks himself in a ball and cries in his sleep?,"Freewater by Amina Luqman-Dawson (p. 223, Ferdinand)"
"In which book is there a drawing with a big house, a river, a secret gate and sky bridges?",Freewater by Amina Luqman-Dawson (p. 256)
In which book does a fire start in cornfields?,Freewater by Amina Luqman-Dawson (p. 274)
In which book does a character get pinned under two knocked-over tables?,"Freewater by Amina Luqman-Dawson (p. 383, Mama)"
"In Freewater by Amina Luqman-Dawson, what is the name of the plantation that Homer and Ada escape from?",Southerland (p. 7)
"In Freewater by Amina Luqman-Dawson, why does Homer and Ada’s mom leave them during their escape and go back to the plantation?",To get Anna (Homer’s friend) (p. 8)
"In Freewater by Amina Luqman-Dawson, what are the first names of Stokes’s two new brothers-in-law who are overseers in training at the plantation?",Rick and Ron (p. 11)
"In Freewater by Amina Luqman-Dawson, what game is Stokes playing with his brothers-in-law the night Homer and Ada escape?",Power (p. 11)
"In Freewater by Amina Luqman-Dawson, what weapon kills the snake that coils itself around Homer’s leg in the swamp?",An arrow (p. 22)
"In Freewater by Amina Luqman-Dawson, how many fingers is Suleman missing and how did he lose them?","Three, lost one for each of the times he tried escaping from the plantation (p. 24, 41)"
"In Freewater by Amina Luqman-Dawson, what is the name of the slave at the plantation who secretly communicates with Suleman?",Old Joe (p. 42)
"In Freewater by Amina Luqman-Dawson, Nora’s dad compares the mark on her face to which animal?",Octopus (p. 45)
"In Freewater by Amina Luqman-Dawson, how old is Ada?",Seven (p. 63)
"In Freewater by Amina Luqman-Dawson, how long ago did Freewater begin?",15 years ago (p. 100)
"In Freewater by Amina Luqman-Dawson, what does Anna believe the arrow scar on her arm represents?",Directions for where she was meant to find her mother up North (p. 109)
"In Freewater by Amina Luqman-Dawson, what is the name of the woman who is tasked with making new clothes for all the slaves on the plantation for the wedding?",Petunia (p. 116)
"In Freewater by Amina Luqman-Dawson, how many children have been born at Freewater?",21 (p. 125)
"In Freewater by Amina Luqman-Dawson, what is Two Shoes’ name at Freewater?",Turner (p. 150)
"In Freewater by Amina Luqman-Dawson, who was the first child born at Freewater?",Juna (p. 154)
"In Freewater by Amina Luqman-Dawson, who is the oldest woman in Freewater?",Mrs. Light (p. 182)
"In Freewater by Amina Luqman-Dawson, what does Homer say is the first thing he’ll say to his momma when he sees her again?",“Sorry” (p. 327)
