book_key,question_type,page,text,answer,author_name,book_title,source_name
daughter-of-the-deep,content,0,What is the full name of the author whose quotation appears in the preface?,Jules Verne,Rick Riordan,Daughter of the Deep,OBOB Practice-Question Coalition
daughter-of-the-deep,content,5,in which state is Harding-Pencroft Academy?,California,Rick Riordan,Daughter of the Deep,OBOB Practice-Question Coalition
daughter-of-the-deep,content,6,what name does Dev use for Ana that she hates?,Ana Banana,Rick Riordan,Daughter of the Deep,OBOB Practice-Question Coalition
daughter-of-the-deep,content,7,how many stories do Ana and Dev free fall when they cliff dive?,Ten,Rick Riordan,Daughter of the Deep,OBOB Practice-Question Coalition
daughter-of-the-deep,content,8,which house is Ana in at academy?,Dolphin,Rick Riordan,Daughter of the Deep,OBOB Practice-Question Coalition
daughter-of-the-deep,content,8,what do Ana and Dev feed Socrates?,Squid,Rick Riordan,Daughter of the Deep,OBOB Practice-Question Coalition
daughter-of-the-deep,content,9,which school is the rival high school to Harding Pencroft?,Land Institute,Rick Riordan,Daughter of the Deep,OBOB Practice-Question Coalition
daughter-of-the-deep,content,10,what does Dev give Ana for her 15th birthday? Be specific.,Black pearl necklace,Rick Riordan,Daughter of the Deep,OBOB Practice-Question Coalition
daughter-of-the-deep,content,10,which house does Dev belong to?,Sharks,Rick Riordan,Daughter of the Deep,OBOB Practice-Question Coalition
daughter-of-the-deep,content,10,what color is the pearl that is on the necklace Dev gives to Ana?,Black,Rick Riordan,Daughter of the Deep,OBOB Practice-Question Coalition
daughter-of-the-deep,content,10,what does Dev give Ana as an early birthday gift?,black pearl necklace (the pearl belonged to their mother?,Rick Riordan,Daughter of the Deep,OBOB Practice-Question Coalition
daughter-of-the-deep,content,12,which grades attend Harding-Pencroft?,8th through 12th,Rick Riordan,Daughter of the Deep,OBOB Practice-Question Coalition
daughter-of-the-deep,content,12,what do characters call the Harding-Pencroft academy for short?,HP,Rick Riordan,Daughter of the Deep,OBOB Practice-Question Coalition
daughter-of-the-deep,content,12,what does Ana eat for breakfast on the morning of her freshman trials?,Tofu (nori) scramble,Rick Riordan,Daughter of the Deep,OBOB Practice-Question Coalition
daughter-of-the-deep,content,12,what is the name of the school Ana and Dev attend?,HP or Harding Pencroft Academy,Rick Riordan,Daughter of the Deep,OBOB Practice-Question Coalition
daughter-of-the-deep,content,13,what ancestry is Ana ? Be specific,Bundeli Indian,Rick Riordan,Daughter of the Deep,OBOB Practice-Question Coalition
daughter-of-the-deep,content,14,what is the name of Ester's emotional support dog?,Top,Rick Riordan,Daughter of the Deep,OBOB Practice-Question Coalition
daughter-of-the-deep,content,15,what grade are students allowed entry into the Verne Hall?,11th or junior year,Rick Riordan,Daughter of the Deep,OBOB Practice-Question Coalition
daughter-of-the-deep,content,16,what is the first and last name of Dev's girlfriend?,Amelia Leahy,Rick Riordan,Daughter of the Deep,OBOB Practice-Question Coalition
daughter-of-the-deep,content,17,what class does Dr. Hewett teach? Be specific.,Theoretical Marine Science or TMS,Rick Riordan,Daughter of the Deep,OBOB Practice-Question Coalition
daughter-of-the-deep,content,17,what do most of the students call Theoretical Marine Science class?,"TMS or ""too much stuff""",Rick Riordan,Daughter of the Deep,OBOB Practice-Question Coalition
daughter-of-the-deep,content,18,what is the last name of the professor who is shaped like a diving bell?,Hewett,Rick Riordan,Daughter of the Deep,OBOB Practice-Question Coalition
daughter-of-the-deep,content,20,what is the first and last name of the person who is speaking when Ana sees the line of wake split into three segments?,Gemini Twai,Rick Riordan,Daughter of the Deep,OBOB Practice-Question Coalition
daughter-of-the-deep,content,22,"what traces down Nelinah's cheeks like dirty rain, after the attack on Harding-Pencroft Academy?",Mascara,Rick Riordan,Daughter of the Deep,OBOB Practice-Question Coalition
daughter-of-the-deep,content,23,Ana the freshman prefect of which house?,Dolphin,Rick Riordan,Daughter of the Deep,OBOB Practice-Question Coalition
daughter-of-the-deep,content,24,what skill do Cephalopods have?,Problem-solving,Rick Riordan,Daughter of the Deep,OBOB Practice-Question Coalition
