book_key,question_type,page,text,answer,author_name,book_title,source_name
lo-and-behold,content,0,When is the best time to plant a tree,20 years ago,Wendy Mass and Gabi Mendez,Lo & Behold,OBOB Practice-Question Coalition
lo-and-behold,content,0,"Name 2 items in Matteos space game that astronauts have brought into space, not including moon seeds","Buzz Lightyear, Fabric and Wood, corned Beef Sandwich, Toy Snoopy, bones from a duck billed dinosaur, Guitar, light saber, pizza, Torah Scroll",Wendy Mass and Gabi Mendez,Lo & Behold,OBOB Practice-Question Coalition
lo-and-behold,content,0,Name 2 of Addies dads students,"Surekha, Doug, Lily",Wendy Mass and Gabi Mendez,Lo & Behold,OBOB Practice-Question Coalition
lo-and-behold,content,0,:What school did the Gabi Mendez graduate from,School of Art Institute Chicago,Wendy Mass and Gabi Mendez,Lo & Behold,OBOB Practice-Question Coalition
lo-and-behold,content,0,Where does Wendy Mass live,New Jersey,Wendy Mass and Gabi Mendez,Lo & Behold,OBOB Practice-Question Coalition
lo-and-behold,content,0,What is Gadget Girls first name,Wendy,Wendy Mass and Gabi Mendez,Lo & Behold,OBOB Practice-Question Coalition
lo-and-behold,content,0,"a needlepoint pillow says ""the best time to plant a tree"" was when?",20 years ago,Wendy Mass and Gabi Mendez,Lo & Behold,OBOB Practice-Question Coalition
lo-and-behold,content,0,What was the first home video game,Pong,Wendy Mass and Gabi Mendez,Lo & Behold,OBOB Practice-Question Coalition
lo-and-behold,content,0,Wendys ring turned from black to blank in the sunlight,green to purple,Wendy Mass and Gabi Mendez,Lo & Behold,OBOB Practice-Question Coalition
lo-and-behold,content,0,What two food items did wendy buy with quarters she found with her metal detector,Funnel Cake and Caramel Apple,Wendy Mass and Gabi Mendez,Lo & Behold,OBOB Practice-Question Coalition
lo-and-behold,content,0,How many stages did it take the artist to finish the book,5 Stages,Wendy Mass and Gabi Mendez,Lo & Behold,OBOB Practice-Question Coalition
lo-and-behold,content,1,How did the protagonist win a tree,by identifying 5 skittle flavors while blindfolded,Wendy Mass and Gabi Mendez,Lo & Behold,OBOB Practice-Question Coalition
lo-and-behold,content,1,how does Addie win a sapling?,She identifies five Skittles flavors while blinfolded,Wendy Mass and Gabi Mendez,Lo & Behold,OBOB Practice-Question Coalition
lo-and-behold,content,1,"In Lo and Behold by Wendy Mass & Gabi Mendez, how did Addie Brecker win a tree?",She was the only kid in kindergarten that’s could identify 5 skittle flavors blindfolded,Wendy Mass and Gabi Mendez,Lo & Behold,Lake Oswego Public Library
lo-and-behold,content,1,What grade was Addie in when she planted the tree in her backyard?,kindergarten,Wendy Mass and Gabi Mendez,Lo & Behold,Beaverton City Library
lo-and-behold,content,4,What animal enclosure at the  Zoo did the protaganists parents meet in front of,giant tortoise,Wendy Mass and Gabi Mendez,Lo & Behold,OBOB Practice-Question Coalition
lo-and-behold,content,4,"In Lo and Behold by Wendy Mass & Gabi Mendez, what did Addie's dad do for work?",A futurist,Wendy Mass and Gabi Mendez,Lo & Behold,Lake Oswego Public Library
lo-and-behold,content,5,At which age does the protagonists family take their last family picture,11 3/4 (also acceptable 11),Wendy Mass and Gabi Mendez,Lo & Behold,OBOB Practice-Question Coalition
lo-and-behold,content,5,how old is Addie when her family takes their last family picture?,11 3/4 (eleven and three-fourths),Wendy Mass and Gabi Mendez,Lo & Behold,OBOB Practice-Question Coalition
lo-and-behold,content,5,what kind of accident does Addie's mom have?,bike (bicycle) accident; fell off a bike,Wendy Mass and Gabi Mendez,Lo & Behold,OBOB Practice-Question Coalition
lo-and-behold,content,5,how old was Addie when she last took a family picture?,11 3/4,Wendy Mass and Gabi Mendez,Lo & Behold,OBOB Practice-Question Coalition
