In Which Book Questions,Page #,Title,Author
,,,
In Which Book is there a Chapter One and a Half?,4,The Name of This Book is Secret,Pseudonymous Bosch
In Which Book is Wednesday referred to as the middle child in the weekday family?,10,The Name of This Book is Secret,Pseudonymous Bosch
In Which Book do characters live in an old abandoned fire station?,14,The Name of This Book is Secret,Pseudonymous Bosch
In Which Book does a character susoect their school was built on top of a toxic waste site?,32,The Name of This Book is Secret,Pseudonymous Bosch
In Which Book does a tattered piece of paper fall out of a case and start blowing around in the breeze?,44,The Name of This Book is Secret,Pseudonymous Bosch
In Which Book does a character say people in Thailand do not have plates?,51,The Name of This Book is Secret,Pseudonymous Bosch
In Which Book do characters agree that every child should be raised with two parents in the house?,56,The Name of This Book is Secret,Pseudonymous Bosch
In Which Book is someone's house entirely underground?,66,The Name of This Book is Secret,Pseudonymous Bosch
"In Which Book does a character find a large, leather-bound notebook in a desk drawer?",73,The Name of This Book is Secret,Pseudonymous Bosch
In Which Book is someone going away on a business trip to Hawaii?,88,The Name of This Book is Secret,Pseudonymous Bosch
In Which Book ia a character afraid of flying and doesn't like the snow?,89,The Name of This Book is Secret,Pseudonymous Bosch
In Which Book does someone receive a credit card for emergencies?,92,The Name of This Book is Secret,Pseudonymous Bosch
In Which Book does a chracter hear a loud bang that sounds like gunfire?,100,The Name of This Book is Secret,Pseudonymous Bosch
In Which Book is someone given their first cell phone?,104,The Name of This Book is Secret,Pseudonymous Bosch
In Which Book does someone say human beings are more important than things? ,108,The Name of This Book is Secret,Pseudonymous Bosch
In Which Book does a character have a birthmark that resembles a crescent moon?,125,The Name of This Book is Secret,Pseudonymous Bosch
In Which Book do characters steal red candy apples from a food cart?,128,The Name of This Book is Secret,Pseudonymous Bosch
In Which Book does someone wander around a blackened fairgrounds in a daze?,142,The Name of This Book is Secret,Pseudonymous Bosch
In Which Book does a character have an obsession with travel guides?,160,The Name of This Book is Secret,Pseudonymous Bosch
"In Which Book does someone stand under a street lamp, clutching their backpack for warmth? ",174,The Name of This Book is Secret,Pseudonymous Bosch
In Which Book is there a freckle-faced young man in a white tunic standing next to a stone table?,186,The Name of This Book is Secret,Pseudonymous Bosch
In Which Book does someone order waffles with no powdered sugar?,201,The Name of This Book is Secret,Pseudonymous Bosch
"In Which Book are ""nonchalant"" and ""blasé"" someone's favorite words in a crisis?",202,The Name of This Book is Secret,Pseudonymous Bosch
In Which Book is it a rule not to speak to each other until meal time?,203,The Name of This Book is Secret,Pseudonymous Bosch
In Which Book does a giant octopuslike chandelier hand from the ceiling?,214,The Name of This Book is Secret,Pseudonymous Bosch
In Which Book is there an elaborate castle-shaped tent erected for dinner?,221,The Name of This Book is Secret,Pseudonymous Bosch
In Which Book does someone say they look 20 years younger and 20 pounds lighter?,225,The Name of This Book is Secret,Pseudonymous Bosch
In Which Book is food served in individual thimble-size serving cups?,229,The Name of This Book is Secret,Pseudonymous Bosch
In Which Book does someone go from a stutterer to a surfer in sixty seconds?,265,The Name of This Book is Secret,Pseudonymous Bosch
In Which Book is a scarf used to gag someone?,267,The Name of This Book is Secret,Pseudonymous Bosch
In Which Book are characters startled by a wig on a mannequin head?,268,The Name of This Book is Secret,Pseudonymous Bosch
In Which Book does someone's long sleeves hang like golden wings?,293,The Name of This Book is Secret,Pseudonymous Bosch
In Which Book is there a zip-lock bag of old smashed-up trail mix at the bottom of a backpack?,296,The Name of This Book is Secret,Pseudonymous Bosch
In Which Book does a character speak with an Irish brogue?,308,The Name of This Book is Secret,Pseudonymous Bosch
In Which Book is an apology not worth the paper it's written on?,4,The Name of This Book is Secret,Pseudonymous Bosch
In Which Book does a story begin on a Wednesday?,10,The Name of This Book is Secret,Pseudonymous Bosch
"In Which Book does a character have rather large, pointy ears?",11,The Name of This Book is Secret,Pseudonymous Bosch
In Which Book do characters live in an old abandoned fire station?,14,The Name of This Book is Secret,Pseudonymous Bosch
In Which Book is a character a real estate agent for the dead?,19,The Name of This Book is Secret,Pseudonymous Bosch
In Which Book does a character cut every hair on their head the exact same length?,27,The Name of This Book is Secret,Pseudonymous Bosch
In Which Book does a character call themselves a principal with principles?,32,The Name of This Book is Secret,Pseudonymous Bosch
"In Which Book is  someone ""totally addicted"" to a particular brand of lip balm?",33,The Name of This Book is Secret,Pseudonymous Bosch
In Which Book does someone think lying is an important skill to have?,50,The Name of This Book is Secret,Pseudonymous Bosch
In Which Book is someone's house entirely underground?,66,The Name of This Book is Secret,Pseudonymous Bosch
In Which Book does a character's mother call at 9 p.m. sharp every night to say good night?,104,The Name of This Book is Secret,Pseudonymous Bosch
In Which Book is someone wearing gloves even though it is hot outside?,115,The Name of This Book is Secret,Pseudonymous Bosch
In Which Book does someone have a Smoochie of the week dangling from their neck?,149,The Name of This Book is Secret,Pseudonymous Bosch
In Which Book do characters sleep in wet socks?,190,The Name of This Book is Secret,Pseudonymous Bosch
In Which Book is someone served an emerald exilir?,199,The Name of This Book is Secret,Pseudonymous Bosch
In Which Book does someone say gold promotes long life. It never tarnishes.,200,The Name of This Book is Secret,Pseudonymous Bosch
In Which Book is bear liver sauteed in cod-liver oil served for dinner?,230,The Name of This Book is Secret,Pseudonymous Bosch
In Which Book does a character close their eyes and inhale the scent of cotton candy lip gloss?,249/50,The Name of This Book is Secret,Pseudonymous Bosch
In Which Book does someone think they are bad at art because they don't understand it?,253,The Name of This Book is Secret,Pseudonymous Bosch
"In Which Book does a character say, ""Copies are what Xerox machines are for.""?",254,The Name of This Book is Secret,Pseudonymous Bosch
In Which Book does a character remember their mother's instructions : never get into a car with strangers.?,257,The Name of This Book is Secret,Pseudonymous Bosch
In Which Book has a character never before experienced the total absence of sound?,258,The Name of This Book is Secret,Pseudonymous Bosch
 In Which Book is someone in a purification chamber?,258,The Name of This Book is Secret,Pseudonymous Bosch
In Which Book does a butler go from stutterer to surfer in sixty seconds?,265,The Name of This Book is Secret,Pseudonymous Bosch
In Which Book has someone read over ten thousand riddles?,277,The Name of This Book is Secret,Pseudonymous Bosch
In Which Book does a backpack get hurled into flames?,309,The Name of This Book is Secret,Pseudonymous Bosch
In Which Book does someone say mint-chip is their favorite ice cream?,311,The Name of This Book is Secret,Pseudonymous Bosch
In Which Book does someone get mad at someone for riding in the back of a truck?,319/20,The Name of This Book is Secret,Pseudonymous Bosch
"In Which Book might someone receive medals for ""best survivalist"" and ""best code breaker""?",323/24,The Name of This Book is Secret,Pseudonymous Bosch
In Which Book has someone lost their memory but not their love for attention?,338,The Name of This Book is Secret,Pseudonymous Bosch
In Which Book is there a false bottom hidden is a box?,342,The Name of This Book is Secret,Pseudonymous Bosch
In Which Book does a character have a lot of red pens from the days he taught high school?,347,The Name of This Book is Secret,Pseudonymous Bosch
"In Which Book does someone have a ""Super-Chip"" Trail Mix recipe that does not include raisins, ever!?",353,The Name of This Book is Secret,Pseudonymous Bosch
In Which Book are you asked to forget everything you read as soon as you read it?,8,The Name of This Book is a Secret,Pseudonymous Bosch
"In Which Book is the main character introduced as ""The kind of girl who notices things that others don't""?",10,The Name of This Book is a Secret,Pseudonymous Bosch
"In Which Book do the characters come across a box with the label ""The Symphony of Smells""?",23,The Name of This Book is a Secret,Pseudonymous Bosch
In Which Book does a character say everybody here knows who everybody is. Even if they've never met?,35,The Name of This Book is a Secret,Pseudonymous Bosch
"In Which Book does a dogs barking sound an awfully lot like ""When are we going to get there?""",62,The Name of This Book is a Secret,Pseudonymous Bosch
In Which Book is there a house entirely underground?,66,The Name of This Book is a Secret,Pseudonymous Bosch
In Which Book is a hidden room revealed when a character flushes the toilet?,71,The Name of This Book is a Secret,Pseudonymous Bosch
In Which Book does a characters dog almost give away their location by growling at a cat?,81,The Name of This Book is a Secret,Pseudonymous Bosch
In Which Book does a character say that she likes staying with their grandpas becuase they let them do whatever they want?,90,The Name of This Book is a Secret,Pseudonymous Bosch
In Which Book is a story written underneath the pages in a notebook?,112,The Name of This Book is a Secret,Pseudonymous Bosch
"In Which Book do characters get into a limousine that is painted blue so dark it is almost black with the words ""Midnight Sun"" on the side?",116,The Name of This Book is a Secret,Pseudonymous Bosch
"In Which Book does a character not go to the police becuase they are young, Italian and a carny?",141,The Name of This Book is a Secret,Pseudonymous Bosch
"In Which Book does a character say ""She had seen enough commercials to know old people would do anything to look younger""?",163,The Name of This Book is a Secret,Pseudonymous Bosch
In Which Book did a doctor tell a character they should practice having feelings?,195,The Name of This Book is a Secret,Pseudonymous Bosch
In Which Book is there a lantern that was brought by ship from Egypt?,186,The Name of This Book is a Secret,Pseudonymous Bosch
"In Which Book does a mother call spas ""Me time?""",159,The Name of This Book is a Secret,Pseudonymous Bosch
In Which Book do people wear gloves even while swimming in a lap pool?,203,The Name of This Book is a Secret,Pseudonymous Bosch
In Which Book do they use a long straw to enter through your nose instead of a knife for a labotomy?,223,The Name of This Book is a Secret,Pseudonymous Bosch
In Which Book does a character say they look 20 years younger and 20 pounds lighter?,225,The Name of This Book is a Secret,Pseudonymous Bosch
In Which Book does a character say that a dinner table looked more like a shrine to some jealous and demanding god?,229,The Name of This Book is a Secret,Pseudonymous Bosch
"In Which Book does a character take an after school enrichment class called ""Art Out of Bounds""?",253,The Name of This Book is a Secret,Pseudonymous Bosch
In Which Book do chatactyers tie someones hands behind their back with a phone cord?,265,The Name of This Book is a Secret,Pseudonymous Bosch
In Which Book does it say not all Alchemists are quacks or criminals?,272,The Name of This Book is a Secret,Pseudonymous Bosch
