book_key,question_type,page,text,answer,author_name,book_title,source_name
elf-dog-and-owl-head,content,1,who scheduled the hunts?,Queen,M. T. Anderson,Elf Dog and Owl Head,OBOB Parent Group
elf-dog-and-owl-head,content,1,What do the elf-hounds hunt on Monday?,wyrms,M. T. Anderson,Elf Dog and Owl Head,OBOB Parent Group
elf-dog-and-owl-head,content,1,which day of the week is hunting wyrms scheduled for?,Monday,M. T. Anderson,Elf Dog and Owl Head,OBOB Parent Group
elf-dog-and-owl-head,content,1,What does the Queen Under the Mountain always schedule for Mondays?,A Royal Hunt,M. T. Anderson,Elf Dog and Owl Head,OBOB Parent Group
elf-dog-and-owl-head,content,4,above ground what is used to protect The People Under the Mountain's hunting party from being seen by humans?,Smoke,M. T. Anderson,Elf Dog and Owl Head,OBOB Parent Group
elf-dog-and-owl-head,content,4,What do the hunters do to signal the elf-dogs for the kill?,blow the horn,M. T. Anderson,Elf Dog and Owl Head,OBOB Parent Group
elf-dog-and-owl-head,content,4,what kind of substance comes out of the machine that the wizards use to keep the People Under the Mountain from being seen by Humans?,Smoke,M. T. Anderson,Elf Dog and Owl Head,Lake Oswego Public Library
elf-dog-and-owl-head,content,5,what is the name of Elphinore's uncle?,Greyskin,M. T. Anderson,Elf Dog and Owl Head,OBOB Parent Group
elf-dog-and-owl-head,content,8,What is the incredible smell wafting out of the convenience store?,Pizza,M. T. Anderson,Elf Dog and Owl Head,OBOB Parent Group
elf-dog-and-owl-head,content,9,"at the beginning of the story at the beginning of the story, what was a food the elegant dog had never smelled before?",Pizza,M. T. Anderson,Elf Dog and Owl Head,OBOB Parent Group
elf-dog-and-owl-head,content,11,What is the name of Clay's best friend from school?,Levi,M. T. Anderson,Elf Dog and Owl Head,OBOB Parent Group
elf-dog-and-owl-head,content,11,What is the name of Clay's younger sister?,Juniper,M. T. Anderson,Elf Dog and Owl Head,OBOB Parent Group
elf-dog-and-owl-head,content,11,What is the name of Clay's older sister?,DiRossi,M. T. Anderson,Elf Dog and Owl Head,OBOB Parent Group
elf-dog-and-owl-head,content,11,What is Clay's younger sister's name?,Juniper,M. T. Anderson,Elf Dog and Owl Head,OBOB Parent Group
elf-dog-and-owl-head,content,11,What is Clay's older sisiter's name?,DiRossi,M. T. Anderson,Elf Dog and Owl Head,OBOB Parent Group
elf-dog-and-owl-head,content,11,Who is Clay's best friend?,Levi,M. T. Anderson,Elf Dog and Owl Head,OBOB Parent Group
elf-dog-and-owl-head,content,11,what was Clay thinking as he first walked through the forest with a frisbee?,There is no dumber game to play alone than Frisbee.,M. T. Anderson,Elf Dog and Owl Head,Lake Oswego Public Library
elf-dog-and-owl-head,content,11,what are Clay's sisters' names?,Juniper and DiRossi,M. T. Anderson,Elf Dog and Owl Head,Lake Oswego Public Library
elf-dog-and-owl-head,content,11,what is the name of Clay’s best friend?,Levi,M. T. Anderson,Elf Dog and Owl Head,Cedar Mill Public Library
elf-dog-and-owl-head,content,13,what disease did Clay think the Elf-Hound had at first?,Rabies,M. T. Anderson,Elf Dog and Owl Head,OBOB Parent Group
elf-dog-and-owl-head,content,13,What saved Clay from being attacked by a blue wyrm?,Elf-dog,M. T. Anderson,Elf Dog and Owl Head,OBOB Parent Group
elf-dog-and-owl-head,content,17,how was Clay different than the underground people?,His ears were not pointed,M. T. Anderson,Elf Dog and Owl Head,OBOB Parent Group
elf-dog-and-owl-head,content,17,What part of the body is pointed for people under the mountain but not humans?,ears,M. T. Anderson,Elf Dog and Owl Head,OBOB Parent Group
elf-dog-and-owl-head,content,19,who has plastic lines strung from tree to tree for maple sugaring?,Lupiceks,M. T. Anderson,Elf Dog and Owl Head,OBOB Parent Group
elf-dog-and-owl-head,content,20,What is Clay's dad's job?,city road commissioner,M. T. Anderson,Elf Dog and Owl Head,OBOB Parent Group
elf-dog-and-owl-head,content,20,What is Clay's mom's job (before she lost it)?,waitress,M. T. Anderson,Elf Dog and Owl Head,OBOB Parent Group
elf-dog-and-owl-head,content,20,what is Clay's dad's job in the village?,road commissioner,M. T. Anderson,Elf Dog and Owl Head,OBOB Parent Group
elf-dog-and-owl-head,content,20,where does Clay's mom work as waitress?,Gerenford Diner,M. T. Anderson,Elf Dog and Owl Head,OBOB Parent Group
elf-dog-and-owl-head,content,20,What is Clay's father's occupation?,Village Road Commissioner,M. T. Anderson,Elf Dog and Owl Head,OBOB Parent Group
elf-dog-and-owl-head,content,20,what is the name of the diner where Clay's mother worked before the virus?,The Gerenford Diner,M. T. Anderson,Elf Dog and Owl Head,Lake Oswego Public Library
