book_key,question_type,page,text,answer,author_name,book_title,source_name
six-crimson-cranes,content,1,Two-Part question: What precious stones' colors are used to describe the dragon's eyes and scales?,"Ruby red eyes and jade green scales, or ruby and jade",Elizabeth Lim,Six Crimson Cranes,OBOB Parent Group
six-crimson-cranes,content,3,Which brother is Shiori's favorite?,Hasho,Elizabeth Lim,Six Crimson Cranes,OBOB Parent Group
six-crimson-cranes,content,5,What is Shiori's full first name?,Shiori'anma,Elizabeth Lim,Six Crimson Cranes,OBOB Parent Group
six-crimson-cranes,content,8,What is the main character’s mother’s fate?,Missing,Elizabeth Lim,Six Crimson Cranes,OBOB Parent Group
six-crimson-cranes,content,8,Where does Shiori first meet the dragon in his true form?,The Sacred Lake,Elizabeth Lim,Six Crimson Cranes,OBOB Parent Group
six-crimson-cranes,content,10,What is the name of the city where the story begins?,Kaul,Elizabeth Lim,Six Crimson Cranes,OBOB Parent Group
six-crimson-cranes,content,12,What is the name of the cursed kingdom?,Shorefall,Elizabeth Lim,Six Crimson Cranes,OBOB Parent Group
six-crimson-cranes,content,12,Which brother is described as least imaginative?,Andahai,Elizabeth Lim,Six Crimson Cranes,OBOB Parent Group
six-crimson-cranes,content,14,What is the main character’s secret identity?,Princess,Elizabeth Lim,Six Crimson Cranes,OBOB Parent Group
six-crimson-cranes,content,15,What is the main character’s relationship to the emperor?,Niece,Elizabeth Lim,Six Crimson Cranes,OBOB Parent Group
six-crimson-cranes,content,18,What is the name of the emperor?,Yohan,Elizabeth Lim,Six Crimson Cranes,OBOB Parent Group
six-crimson-cranes,content,22,What is the main character’s favorite flower?,Lotus,Elizabeth Lim,Six Crimson Cranes,OBOB Parent Group
six-crimson-cranes,content,22,How old is Shiori at the beginning of the book?,16,Elizabeth Lim,Six Crimson Cranes,OBOB Parent Group
six-crimson-cranes,content,25,Who is the main character’s cousin?,Corwin,Elizabeth Lim,Six Crimson Cranes,OBOB Parent Group
six-crimson-cranes,content,28,What is the name of the main character’s best friend?,Rana,Elizabeth Lim,Six Crimson Cranes,OBOB Parent Group
six-crimson-cranes,content,31,What animal does Lord Yuji remind Shiori of?,A fox,Elizabeth Lim,Six Crimson Cranes,OBOB Parent Group
