book_key,question_type,page,text,answer,author_name,book_title,source_name
ellen-outside-the-lines,content,2,What sound does Ellen's ceiling fan make?,whoosh-rattle,A.J. Sass,Ellen Outside the Lines,OBOB Parent Group
ellen-outside-the-lines,content,4,What is Laurel's last name?,McKinley,A.J. Sass,Ellen Outside the Lines,OBOB Parent Group
ellen-outside-the-lines,content,7,What term does Ellen's mother use to describe her father's voice?,Israeli airy,A.J. Sass,Ellen Outside the Lines,OBOB Parent Group
ellen-outside-the-lines,content,10,What color is Laurel's hair?,strawberry-blond,A.J. Sass,Ellen Outside the Lines,OBOB Parent Group
ellen-outside-the-lines,content,11,What is the name of Ellen's school?,Lynnwood Preparatory School,A.J. Sass,Ellen Outside the Lines,OBOB Parent Group
ellen-outside-the-lines,content,14,What is Ellen's school mascot?,Brown Thrasher,A.J. Sass,Ellen Outside the Lines,OBOB Parent Group
ellen-outside-the-lines,content,17,What is Ellen's last name?,Katz,A.J. Sass,Ellen Outside the Lines,OBOB Parent Group
ellen-outside-the-lines,content,19,Where is Isa's family originally from?,Mexico,A.J. Sass,Ellen Outside the Lines,OBOB Parent Group
ellen-outside-the-lines,content,35,What is the name of the graphic novel illustrated by Natan Katz that Ellen's classmate Andy described as incredible?,Fisher's Final,A.J. Sass,Ellen Outside the Lines,OBOB Parent Group
ellen-outside-the-lines,content,39,What is the name of the hotel the study abroad group stays at?,Hotel El Buho,A.J. Sass,Ellen Outside the Lines,OBOB Parent Group
ellen-outside-the-lines,content,43,What color flowers are on the wall of Ellen and Laurel's hotel room?,Purple,A.J. Sass,Ellen Outside the Lines,OBOB Parent Group
ellen-outside-the-lines,content,,What things are described as contagious?,"grins, yawns",A.J. Sass,Ellen Outside the Lines,OBOB Parent Group
ellen-outside-the-lines,content,1,What is the name of Ellen's therapist?,Dr. Talia,A.J. Sass,Ellen Outside the Lines,OBOB Parent Group
ellen-outside-the-lines,content,1,what is the name of the doctor that Ellen sees?,Dr. Talia,A.J. Sass,Ellen Outside the Lines,Lake Oswego Public Library
ellen-outside-the-lines,content,2,What is the name of Ellen's best friend?,Laurel,A.J. Sass,Ellen Outside the Lines,OBOB Parent Group
ellen-outside-the-lines,content,3,what time is the check-in time for the flight to Barcelona?,4:55p,A.J. Sass,Ellen Outside the Lines,Lake Oswego Public Library
ellen-outside-the-lines,content,4,What is Laurel's last name?,McKinley,A.J. Sass,Ellen Outside the Lines,OBOB Parent Group
ellen-outside-the-lines,content,,Two Part Question: What are the names of Laurel's two sisters?,Dahlia and Lily,A.J. Sass,Ellen Outside the Lines,OBOB Parent Group
ellen-outside-the-lines,content,6,What is Laurel's mom's first name?,Susannah,A.J. Sass,Ellen Outside the Lines,OBOB Parent Group
ellen-outside-the-lines,content,6,What is Ellen's Abba's first name?,Natan,A.J. Sass,Ellen Outside the Lines,OBOB Parent Group
ellen-outside-the-lines,content,6,"Mrs. McKinley says all her girls have been social butterflies, with Lily on what council?",Student,A.J. Sass,Ellen Outside the Lines,OBOB Parent Group
ellen-outside-the-lines,content,7,In which state does Ellen and her family live?,Georgia,A.J. Sass,Ellen Outside the Lines,OBOB Parent Group
