book_key,question_type,page,text,answer,author_name,book_title,source_name
circus-mirandus,content,0,What is Micah’s and his grandfather’s last name?,Tuttle,Cassie Beasley,Circus Mirandus,OBOB Practice-Question Coalition
circus-mirandus,content,0,What sound did the boiling water inside the kettle and Grandpa Ephraim’s laugh make?,blub glub,Cassie Beasley,Circus Mirandus,OBOB Practice-Question Coalition
circus-mirandus,content,0,What flew in through the window a few hours after Grandpa Ephraim finished writing his letter?,"a parrot (18), or Chintzy (23)",Cassie Beasley,Circus Mirandus,OBOB Practice-Question Coalition
circus-mirandus,content,0,"Two Part Question, you may only give two answers: Name 2 of the items that Jenny brought to the tree house when Micah got kicked out of the house after a fight with his Great-Aunt Gertrudis?","(any two) peanut butter crackers, tuna sandwiches, book on traveling circuses, a book on knot tying, a pile of thread and yarn to make their new quipu for their project",Cassie Beasley,Circus Mirandus,OBOB Practice-Question Coalition
circus-mirandus,content,0,"In the tent of The Man Who Bends Light, what fruit did the miniature sun turn into?",Mangos,Cassie Beasley,Circus Mirandus,OBOB Practice-Question Coalition
circus-mirandus,content,0,Name 2 of the places Ephraim was shown by the Lightbender?,"Antarctica, ancient Roman chariot races, edge of a cliff, in a meadow, in a desert, on an old sailing ship, the jungle, and at home with his father.",Cassie Beasley,Circus Mirandus,OBOB Practice-Question Coalition
circus-mirandus,content,0,What were the last four digits of Jenny Mendoza's phone number and why did she say it was simple to remember?,"3612 / Because the numbers double - three, six, twelve",Cassie Beasley,Circus Mirandus,OBOB Practice-Question Coalition
circus-mirandus,content,0,"Name 2 of the 3 announced career changes or ""insanities"" of Victoria's father after being a banker.","Millinery (hat making), furrier, and a missionary (to trives in Amazon rain forest).",Cassie Beasley,Circus Mirandus,OBOB Practice-Question Coalition
circus-mirandus,content,1,how many words does it take to set things in motion?,Four,Cassie Beasley,Circus Mirandus,OBOB Practice-Question Coalition
circus-mirandus,content,2,"What happened thousands of miles away in the tent of the Man Who Bends Light after Grandpa Ephraim finished writing his letter, as he added the final line, “I need you now”, to The Lightbender?",A messenger woke up.,Cassie Beasley,Circus Mirandus,OBOB Practice-Question Coalition
circus-mirandus,content,3,What is the name of the old lady from the post office?,Mrs. Yolane,Cassie Beasley,Circus Mirandus,OBOB Practice-Question Coalition
circus-mirandus,content,3,What is the name of the old lady who lives across the street from Micah?,Mrs Rochester,Cassie Beasley,Circus Mirandus,OBOB Practice-Question Coalition
circus-mirandus,content,3,What is Micah's great-aunt's name?,Gertrudis,Cassie Beasley,Circus Mirandus,OBOB Practice-Question Coalition
circus-mirandus,content,3,What is the color of the china teacup Micah washed for the third time one sunday afternoon?,Pink,Cassie Beasley,Circus Mirandus,OBOB Practice-Question Coalition
circus-mirandus,content,3,What is painted on the china teacup that Micah was washing?,Roses,Cassie Beasley,Circus Mirandus,OBOB Practice-Question Coalition
circus-mirandus,content,3,which character has fourteen kooky cats?,Mrs. Rochester,Cassie Beasley,Circus Mirandus,OBOB Practice-Question Coalition
circus-mirandus,content,3,what is the name of Micah's Great Aunt?,Gertrudis,Cassie Beasley,Circus Mirandus,OBOB Practice-Question Coalition
circus-mirandus,content,4,who came all the way from Arizona to make sure things were “done correctly” while Grandpa Ephraim was sick?,Aunt Gertrudis,Cassie Beasley,Circus Mirandus,Lake Oswego Library
circus-mirandus,content,4,"According to Micah, what is Aunt Gertrudis on the inside?",Cough syrup,Cassie Beasley,Circus Mirandus,OBOB Practice-Question Coalition
circus-mirandus,content,4,What is Aunt Gertrudis's hair color?,Dust colored,Cassie Beasley,Circus Mirandus,OBOB Practice-Question Coalition
circus-mirandus,content,4,"Where did Aunt Gertrudis come from, to take care of Grandpa Ephraim?",Arizona,Cassie Beasley,Circus Mirandus,OBOB Practice-Question Coalition
circus-mirandus,content,4,Who came from Arizona to visit Micah and Grandpa Ephraim to make sure things were “done correctly”?,"Micah's great-aunt, Gertrudis (Granpa Ephraim's sister)",Cassie Beasley,Circus Mirandus,OBOB Practice-Question Coalition
circus-mirandus,content,4,What did Aunt Gertrudis say ran in the family?,bad teeth and bad sense,Cassie Beasley,Circus Mirandus,OBOB Practice-Question Coalition
