book_key,question_type,page,text,answer,author_name,book_title,source_name
cemetery-boys,content,1,What is the main character’s chosen name?,Yadriel,Aiden Thomas,Cemetery Boys,OBOB Parent Group
cemetery-boys,content,2,What city does the story take place in?,Santa Clara,Aiden Thomas,Cemetery Boys,OBOB Parent Group
cemetery-boys,content,4,Which one of Yadriel's cousins is in charge of repainting the cemetery arch before Día de Muertos?,Miguel,Aiden Thomas,Cemetery Boys,OBOB Parent Group
cemetery-boys,content,5,What supernatural role does Yadriel want to assume?,Brujo,Aiden Thomas,Cemetery Boys,OBOB Parent Group
cemetery-boys,content,6,What family tradition is important in the story?,Spirit summoning,Aiden Thomas,Cemetery Boys,OBOB Parent Group
cemetery-boys,content,9,Who is Yadriel’s cousin that opposes him?,Maritza,Aiden Thomas,Cemetery Boys,OBOB Parent Group
cemetery-boys,content,11,What two times does a Brujx make a blood sacrifice?,Ear piercing and quince ceremonies,Aiden Thomas,Cemetery Boys,OBOB Parent Group
cemetery-boys,content,14,What kind of creature is Julian?,Ghost,Aiden Thomas,Cemetery Boys,OBOB Parent Group
cemetery-boys,content,20,What item helps Yadriel summon spirits?,Bones,Aiden Thomas,Cemetery Boys,OBOB Parent Group
cemetery-boys,content,21,What is the vessel on Lita's portaje?,A pewter sacred heart,Aiden Thomas,Cemetery Boys,OBOB Parent Group
cemetery-boys,content,25,What is Yadriel’s relationship to the dead?,Mediator,Aiden Thomas,Cemetery Boys,OBOB Parent Group
cemetery-boys,content,27,What does Yadriel fear about being a brujo?,Rejection,Aiden Thomas,Cemetery Boys,OBOB Parent Group
cemetery-boys,content,33,Where does Yadriel meet Julian’s spirit?,Cemetery,Aiden Thomas,Cemetery Boys,OBOB Parent Group
cemetery-boys,content,34,"Other than Yadriel, what member of the family wasn't allowed to have a quince?",Tío Catriz,Aiden Thomas,Cemetery Boys,OBOB Parent Group
cemetery-boys,content,37,What cultural celebration is featured?,Día de los Muertos,Aiden Thomas,Cemetery Boys,OBOB Parent Group
cemetery-boys,content,40,What does Yadriel’s mother want for them?,Acceptance,Aiden Thomas,Cemetery Boys,OBOB Parent Group
cemetery-boys,content,42,Where does Yadriel think the sun never seems to set?,East LA,Aiden Thomas,Cemetery Boys,OBOB Parent Group
cemetery-boys,content,45,What power does Julian exhibit?,Invisibility,Aiden Thomas,Cemetery Boys,OBOB Parent Group
cemetery-boys,content,50,What challenge does Yadriel face at school?,Bullying,Aiden Thomas,Cemetery Boys,OBOB Parent Group
cemetery-boys,content,52,How many kids go to Yadriel's highschool?,2500,Aiden Thomas,Cemetery Boys,OBOB Parent Group
cemetery-boys,content,53,What is the significance of the altar?,Connection,Aiden Thomas,Cemetery Boys,OBOB Parent Group
cemetery-boys,content,59,Who teaches Yadriel about magic?,Abuela,Aiden Thomas,Cemetery Boys,OBOB Parent Group
cemetery-boys,content,61,What does Julian say he knows the streets of LA like?,The back of his head,Aiden Thomas,Cemetery Boys,OBOB Parent Group
cemetery-boys,content,62,What is Yadriel’s uncle’s role?,Brujo master,Aiden Thomas,Cemetery Boys,OBOB Parent Group
cemetery-boys,content,65,What does Yadriel use to find spirits?,Ofrenda,Aiden Thomas,Cemetery Boys,OBOB Parent Group
cemetery-boys,content,68,What is the spirit world called?,The Other Side,Aiden Thomas,Cemetery Boys,OBOB Parent Group
cemetery-boys,content,73,Who threatens Yadriel’s family?,Ghost hunters,Aiden Thomas,Cemetery Boys,OBOB Parent Group
cemetery-boys,content,75,Which character can speak spanish but chooses not to?,Julian,Aiden Thomas,Cemetery Boys,OBOB Parent Group
cemetery-boys,content,78,What does Yadriel struggle to control?,Magic,Aiden Thomas,Cemetery Boys,OBOB Parent Group
cemetery-boys,content,82,What does Julian want to resolve?,Unfinished business,Aiden Thomas,Cemetery Boys,OBOB Parent Group
cemetery-boys,content,85,What is the first object not meant for spirits that Julian touches?,A pillow,Aiden Thomas,Cemetery Boys,OBOB Parent Group
cemetery-boys,content,88,What is Yadriel’s secret identity?,Trans brujo,Aiden Thomas,Cemetery Boys,OBOB Parent Group
