book_key,question_type,page,text,answer,author_name,book_title,source_name
jd-and-the-great-barber-battle,content,0,Who illustrated the book?,Akeem S. Roberts,J. Dillard,J.D. and the Great Barber Battle,Beaverton City Library
jd-and-the-great-barber-battle,content,7,how old are the Jones kids when they usually get their first haircut?,Nine,J. Dillard,J.D. and the Great Barber Battle,Lake Oswego Library
jd-and-the-great-barber-battle,content,7,Whose dad is an ex-Marine?,Xavier,J. Dillard,J.D. and the Great Barber Battle,Cedar Mill Library
jd-and-the-great-barber-battle,content,7,how many people are in JD's family?,6,J. Dillard,J.D. and the Great Barber Battle,OBOB Practice-Question Coalition
jd-and-the-great-barber-battle,content,7,what type of haircut does Xavier’s dad give him?,hi-top fade,J. Dillard,J.D. and the Great Barber Battle,OBOB Practice-Question Coalition
jd-and-the-great-barber-battle,content,7,at what age did the kids usually get their first haircut?,age 9,J. Dillard,J.D. and the Great Barber Battle,OBOB Practice-Question Coalition
jd-and-the-great-barber-battle,content,7,How many bathrooms are in the Jones' family home?,One,J. Dillard,J.D. and the Great Barber Battle,Beaverton City Library
jd-and-the-great-barber-battle,content,8,who cuts Jordan’s hair with designs like playing cards?,Naija,J. Dillard,J.D. and the Great Barber Battle,OBOB Practice-Question Coalition
jd-and-the-great-barber-battle,content,8,how much did neighbor Mr. Boom charge for a haircut?,$5,J. Dillard,J.D. and the Great Barber Battle,OBOB Practice-Question Coalition
jd-and-the-great-barber-battle,content,9,where does JD look at barber hashtags for ideas?,Instagram,J. Dillard,J.D. and the Great Barber Battle,OBOB Practice-Question Coalition
jd-and-the-great-barber-battle,content,9,what were the 3 haircuts offered at Hart and Son?,"A baldie, a Caesar, or a fade",J. Dillard,J.D. and the Great Barber Battle,OBOB Practice-Question Coalition
jd-and-the-great-barber-battle,content,9,What does J.D. always keep in his backpack?,Colored pencils and paper,J. Dillard,J.D. and the Great Barber Battle,Beaverton City Library
jd-and-the-great-barber-battle,content,9,What is the name of the only barber shop in town?,Hart and Son,J. Dillard,J.D. and the Great Barber Battle,Beaverton City Library
