In Which Book Questions,Page #,Title,Author
"In Which Book is a character called ""sticky paws""?",3,Scary Stories for Young Foxes,Christian McKay Heidicker
In which book is a young one told to come back when they lost their milk teeth?,4,Scary Stories for Young Foxes,Christian McKay Heidicker
"In which book are there ""high-sun days"" where ""grasshoppers were as dry and sour as birch bark""?",11,Scary Stories for Young Foxes,Christian McKay Heidicker
In Which Book does toad slime make a character gag?,12,Scary Stories for Young Foxes,Christian McKay Heidicker
In which book is a character and their siblings being taught live skills by a teacher? ,12,Scary Stories for Young Foxes,Christian McKay Heidicker
In Which Book do characters arrive at a Learning Tree?,15,Scary Stories for Young Foxes,Christian McKay Heidicker
In Which Book do eyes grow fuzzy with purple?,23,Scary Stories for Young Foxes,Christian McKay Heidicker
In which book does a character try to remember bird languages?,24,Scary Stories for Young Foxes,Christian McKay Heidicker
In Which Book is a character described as having a sweet apple scent?,32,Scary Stories for Young Foxes,Christian McKay Heidicker
In which book does a character experience teasing and ridicule from their siblings?,39,Scary Stories for Young Foxes,Christian McKay Heidicker
In which book does a character and their siblings wait for their mother to bring them their food?,40,Scary Stories for Young Foxes,Christian McKay Heidicker
"In Which Book does someone get a case of the ""moth flutters""?",41,Scary Stories for Young Foxes,Christian McKay Heidicker
In Which Book are there tiny creatures with pine needle teeth?,49,Scary Stories for Young Foxes,Christian McKay Heidicker
In Which Book does a character search the night sky for winged silhouettes?,53,Scary Stories for Young Foxes,Christian McKay Heidicker
In Which Book does a rockslide bury someone?,60,Scary Stories for Young Foxes,Christian McKay Heidicker
In Which Book does a character hide under a pile of leaves?,61,Scary Stories for Young Foxes,Christian McKay Heidicker
In which book does a hiccup give a character away when they are hiding?,64,Scary Stories for Young Foxes,Christian McKay Heidicker
In which book does a character fall down a steep ledge?,66,Scary Stories for Young Foxes,Christian McKay Heidicker
In Which Book is there a sky the color of rotting pumpkins?,68,Scary Stories for Young Foxes,Christian McKay Heidicker
In Which Book is there a peach grove with a centipede infestation?,77,Scary Stories for Young Foxes,Christian McKay Heidicker
In Which Book is the ground littered with silver roots?,79,Scary Stories for Young Foxes,Christian McKay Heidicker
In which book does a character feel it is her fault that she and a family member fell into danger?,81,Scary Stories for Young Foxes,Christian McKay Heidicker
"In Which Book is there a story titled ""The Tale of Mr. Tod""?",88,Scary Stories for Young Foxes,Christian McKay Heidicker
In Which Book is a character served oatmeal as scentless as mud?,100,Scary Stories for Young Foxes,Christian McKay Heidicker
In which book is a character fed an unenticing meal of oatmeal?,100,Scary Stories for Young Foxes,Christian McKay Heidicker
