Question,Answer
In which book does someone hear a coyote howl behind their house?,The Last Cuentista by Donna Barba Higuera (p. 2)
In which book did kids think about drinking coffee under a blanket?,The Last Cuentista by Donna Barba Higuera (p. 9)
In which book does a clock chime every day at 10 o’clock?,The Last Cuentista by Donna Barba Higuera (p. 17)
In which book do kids visit a warehouse with many lines of metal bins?,The Last Cuentista by Donna Barba Higuera (p. 24)
In which book is someone curious about how many stars are in the sky?,The Last Cuentista by Donna Barba Higuera (p. 35)
In which book is someone’s vision covered by green glow?,The Last Cuentista by Donna Barba Higuera (p. 42)
In which book is someone allergic to sulfa?,The Last Cuentista by Donna Barba Higuera (p. 46)
In which book does someone hear a pound like a sledgehammer on a metal drum?,The Last Cuentista by Donna Barba Higuera (p. 58)
In which book is someone called Zeta-4?,The Last Cuentista by Donna Barba Higuera (p. 79)
In which book is a girl thought of as heartless?,The Last Cuentista by Donna Barba Higuera (p. 103)
In which book are people wandering down hallways looking for stasis pods?,The Last Cuentista by Donna Barba Higuera (p. 112)
In which book is someone’s name always mispronounced?,The Last Cuentista by Donna Barba Higuera (p. 120)
In which book did someone save a prince?,The Last Cuentista by Donna Barba Higuera (p. 152)
In which book did someone tuck straws under their mattress?,The Last Cuentista by Donna Barba Higuera (p. 184)
In which book do people usually have rounded walls in their homes?,The Last Cuentista by Donna Barba Higuera (p. 193)
In which book does someone have a three-tiered waterfall of tonic in their bedroom?,The Last Cuentista by Donna Barba Higuera (p. 234)
"In The Last Cuentista by Donna Barba Higuera, what did Lita give to Petra for her 13th birthday?",A silver pendant in the shape of a sun (p. 2)
"In The Last Cuentista by Donna Barba Higuera, what do Yucatecos believe obsidian holds?",Magic (p. 3)
"In The Last Cuentista by Donna Barba Higuera, what does Petra want to be when she’s older?",A storyteller (p. 5)
"In The Last Cuentista by Donna Barba Higuera, why does Petra feel bad about leaving Earth?",So many people are left behind (p. 7)
"In The Last Cuentista by Donna Barba Higuera, what was the bright light coming from Javier’s Groom from?",His aquarium (p. 15)
"In The Last Cuentista by Donna Barba Higuera, if Petra were to put on a silvery white cap, what does she think she’ll look like?",A brown q-tip (p. 38)
"In The Last Cuentista by Donna Barba Higuera, what is Petra’s pendant made of?",Obsidian (p. 39)
"In The Last Cuentista by Donna Barba Higuera, how did Petra feel about her third dream?",Deeply disturbed (p. 53)
"In The Last Cuentista by Donna Barba Higuera, why can’t Petra have cacao?",Her mom won’t let her have caffeine (p. 59)
"In The Last Cuentista by Donna Barba Higuera, how does crock release the last of the stickiness on her body?",A warm weighted blanket (p. 82)
"In The Last Cuentista by Donna Barba Higuera, why does Petra think the pediatric cog didn’t work on her?",Because she is younger than everyone else (p. 92)
"In The Last Cuentista by Donna Barba Higuera, how does Petra know a lot about purified urine?",Her science class (p. 96)
"In The Last Cuentista by Donna Barba Higuera, what does the chancellor think is wonderful news?",Biodrones confirmed the atmosphere has sufficient oxygen (p. 99)
"In The Last Cuentista by Donna Barba Higuera, how does Petra think the 3D hologram spins?",Like a massive blue and green marble (p. 109)
In The Last Cuentista by Donna Barba Higuera what is flickering on the nameplates?,Orange utility buttons (p. 114)
"In The Last Cuentista by Donna Barba Higuera, what is one thing Petra’s mom will never do?",Brush her hair or kiss her forehead or take her on a fairy hunt (p. 115)
