book_key,question_type,page,text,answer,author_name,book_title,source_name
an-occasionally-happy-family,content,,Who was Theo named after?,The inventor of the laser Theodore Maiman,Cliff Burke,An Occasionally Happy Family,OBOB Parent Group
an-occasionally-happy-family,content,3,Name two of Theo's three friends,"Angel P., Rajneesh, Liam",Cliff Burke,An Occasionally Happy Family,OBOB Parent Group
an-occasionally-happy-family,content,5,Which of Theo's  friends goes to Camp Earth Death for the summer?,Angel P.,Cliff Burke,An Occasionally Happy Family,OBOB Parent Group
an-occasionally-happy-family,content,16,What is the name of the family's cat?,Larry,Cliff Burke,An Occasionally Happy Family,OBOB Parent Group
an-occasionally-happy-family,content,24,How long did it take to drive to the Big Bend Park for Theo's family?,8 hours,Cliff Burke,An Occasionally Happy Family,OBOB Parent Group
an-occasionally-happy-family,content,24,What is dad's favorite band?,Grateful Dead,Cliff Burke,An Occasionally Happy Family,OBOB Parent Group
an-occasionally-happy-family,content,34,When was the Big Bend Park established?,1933,Cliff Burke,An Occasionally Happy Family,OBOB Parent Group
an-occasionally-happy-family,content,185,What is Theo's dad's first name?,Stanley,Cliff Burke,An Occasionally Happy Family,OBOB Parent Group
an-occasionally-happy-family,content,,Name two of the three clubs Theo sister is a member of:,"Journalism, Yearbook,  Drama Club",Cliff Burke,An Occasionally Happy Family,OBOB Parent Group
an-occasionally-happy-family,content,16,What is the name of the neighbor who babysits the family cat?,Mrs. Stilden,Cliff Burke,An Occasionally Happy Family,OBOB Parent Group
an-occasionally-happy-family,content,24,Name two of the four Dad rules for driving to Big Bend Park,"1.  limit time on phone to 2 hours, 2.  only sleep 1 hour and not at the same time, 3.  Do not criticize dad's driving  4.  Dad controls the music",Cliff Burke,An Occasionally Happy Family,OBOB Parent Group
an-occasionally-happy-family,content,30,Name two of the three views of Texas on their road trip.,1.  gas stations (looked empty)  2.  cows (looked miserable)  3.  grass (looked dead),Cliff Burke,An Occasionally Happy Family,OBOB Parent Group
an-occasionally-happy-family,content,31,What did mom die of?,Cancer,Cliff Burke,An Occasionally Happy Family,OBOB Parent Group
an-occasionally-happy-family,content,73,What does SP stand for?,sick pic,Cliff Burke,An Occasionally Happy Family,OBOB Parent Group
an-occasionally-happy-family,content,94,What bird is Leonard Blenard seeking?,white breasted nuthatch scientific name: Sitta Carolinensis,Cliff Burke,An Occasionally Happy Family,OBOB Parent Group
an-occasionally-happy-family,content,100,Name two of the three things Theo carrying on their hike in the broken cooler.,"peanut butter, bananas, oranges",Cliff Burke,An Occasionally Happy Family,OBOB Parent Group
an-occasionally-happy-family,content,111,What occupation does Lucrecia have?,Life Coach,Cliff Burke,An Occasionally Happy Family,OBOB Parent Group
an-occasionally-happy-family,content,112,During what major holiday did Theo's family visit Big Bend National Park,Fourth of July,Cliff Burke,An Occasionally Happy Family,OBOB Parent Group
an-occasionally-happy-family,content,113,How many friends does Dad have on Facebook,183,Cliff Burke,An Occasionally Happy Family,OBOB Parent Group
an-occasionally-happy-family,content,123,Where were the two nudists in the hot Springs from?,France,Cliff Burke,An Occasionally Happy Family,OBOB Parent Group
an-occasionally-happy-family,content,125,How much did Theo's dad pay the naked couple at the hot springs to put on cothes?,20,Cliff Burke,An Occasionally Happy Family,OBOB Parent Group
an-occasionally-happy-family,content,136,What is the population of the Terlingua Ghost Town?,58,Cliff Burke,An Occasionally Happy Family,OBOB Parent Group
an-occasionally-happy-family,content,148,At which restaurant does the family and Lucrecia eat in the Terlingua Ghost Town?,Eddie's Edible Tex Mex,Cliff Burke,An Occasionally Happy Family,OBOB Parent Group
an-occasionally-happy-family,content,153,What was the name of the spa that Lucrecia takes the family to?,Desert Lotus Healing Arts Center,Cliff Burke,An Occasionally Happy Family,OBOB Parent Group
an-occasionally-happy-family,content,154,What is the name of Theo's massage therapist?,Dusk,Cliff Burke,An Occasionally Happy Family,OBOB Parent Group
an-occasionally-happy-family,content,,What is the name of Theo's graphic novel that he is working on during their vacation?,"Bob, The Boy with Perfect Memory.",Cliff Burke,An Occasionally Happy Family,OBOB Parent Group
an-occasionally-happy-family,content,1,"how do teachers try to build walls in the ""open concept"" school?",They stack books floor to ceiling.,Cliff Burke,An Occasionally Happy Family,OBOB Parent Group
an-occasionally-happy-family,content,2,TWO PARTS: what are the names of the first two books in Theo's graphic novel trilogy?,The Aliens Who Ate People and Never Got Full and The Humans Who Fought Back by Eating the Aliens Who Ate People.,Cliff Burke,An Occasionally Happy Family,OBOB Parent Group
an-occasionally-happy-family,content,2,what are the names of Theo's three friends?,"Theo's friends are Liam, Angel P. and Rajneesh.",Cliff Burke,An Occasionally Happy Family,OBOB Parent Group
an-occasionally-happy-family,content,2,name two of Theo’s three friends.,"Liam, Angel P. and Rajneesh",Cliff Burke,An Occasionally Happy Family,Lake Oswego Public Library
an-occasionally-happy-family,content,4,"what is the name of Theo's new, more realistic graphic novel series?",Theo's new graphic novel series is called Bob: The Boy with Perfect Memory,Cliff Burke,An Occasionally Happy Family,OBOB Parent Group
an-occasionally-happy-family,content,7,where did Theo and his family go on their summer vacation three of the previous four years?,Grandma’s house (in Oklahoma),Cliff Burke,An Occasionally Happy Family,Lake Oswego Public Library
an-occasionally-happy-family,content,9,what is one false thing Theo's dad keeps saying about going to Big Bend based on his previous visits?,He keeps telling his kids it is free to go to Big Bend.,Cliff Burke,An Occasionally Happy Family,OBOB Parent Group
an-occasionally-happy-family,content,16,what is Theo's cat's name?,Theo's cat's name is Larry.,Cliff Burke,An Occasionally Happy Family,OBOB Parent Group
an-occasionally-happy-family,content,16,what is the name of Theo’s cat?,Larry,Cliff Burke,An Occasionally Happy Family,Lake Oswego Public Library
an-occasionally-happy-family,content,17,"what profession did Theo's neighbors, the Stilders, both have prior to retirement?",They were both professors.,Cliff Burke,An Occasionally Happy Family,OBOB Parent Group
an-occasionally-happy-family,content,17,"what hobby does neighbor, Mr. Stilders, have in his basememt?",He collected and built model trains.,Cliff Burke,An Occasionally Happy Family,OBOB Parent Group
an-occasionally-happy-family,content,17,what makes Theo unexpectedly cry when he drops off his cat at the neighbors?,"Mrs. Stilders showed Theo a picture with his whole family, mom included, from when they first moved in next door.",Cliff Burke,An Occasionally Happy Family,OBOB Parent Group
an-occasionally-happy-family,content,21,what is significant about Theo's family's vacation to Disney World?,It is the last vacation they take while his mom was still alive.,Cliff Burke,An Occasionally Happy Family,OBOB Parent Group
an-occasionally-happy-family,content,21,how long after Theo’s family got back from a family vacation to Disney world did his mom die from cancer?,Two months,Cliff Burke,An Occasionally Happy Family,Lake Oswego Public Library
an-occasionally-happy-family,content,22,"During the year Theo's mom is dying of cancer, how much time each day is he given to spend with her?",One hour,Cliff Burke,An Occasionally Happy Family,OBOB Parent Group
an-occasionally-happy-family,content,23,how long have Theo and his family been in recovery mode after losing his mom to cancer?,Two years,Cliff Burke,An Occasionally Happy Family,Lake Oswego Public Library
an-occasionally-happy-family,content,24,TWO PART: name two of Dad's Family Road Trip Rules for Theo and his sister?,"Possible answers include: we can each use our phone for up to two hours, we can each sleep for one hour (but not at the same time), we can not criticize his driving, and he controls the music.",Cliff Burke,An Occasionally Happy Family,OBOB Parent Group
an-occasionally-happy-family,content,24,how long is the car ride to Big Bend National Park?,Eight hours,Cliff Burke,An Occasionally Happy Family,Lake Oswego Public Library
an-occasionally-happy-family,content,24,Theo’s dad has four rules for him and his sister on the car ride to Big Bend. Name two of them.,"(1) they can use their phone for up to two hours, (2) they can sleep for one hour (but not at the same time), (3) they can not criticize his driving, (4) dad gets to control the music",Cliff Burke,An Occasionally Happy Family,Lake Oswego Public Library
an-occasionally-happy-family,content,28,"in response to the question, ""What's your superhero name and what would your superpowers be,"" what does Laura say?","Laura says she would ""One-Year-Older Woman,"" which would make her 16 and allow her to drive herself on family vacations.",Cliff Burke,An Occasionally Happy Family,OBOB Parent Group
an-occasionally-happy-family,content,28,"in response to the question, ""What's your superhero name and what would your superpowers be,"" what does Theo say?","Theo says he would be ""Only-Child Man,"" so he could live without Laura.",Cliff Burke,An Occasionally Happy Family,OBOB Parent Group
an-occasionally-happy-family,content,29,what is the name of the graphic novel that Theo is currently working on?,Bob: The Boy With Perfect Memory,Cliff Burke,An Occasionally Happy Family,Lake Oswego Public Library
an-occasionally-happy-family,content,30,Where did the family vacation while their mom had terminal cancer?,Disney World,Cliff Burke,An Occasionally Happy Family,OBOB Parent Group
an-occasionally-happy-family,content,35,how much does Theo's dad have to pay for them to enter Big Bend park?,They are charged $30 to drive their car into the park.,Cliff Burke,An Occasionally Happy Family,OBOB Parent Group
an-occasionally-happy-family,content,35,how much does it cost for one vehicle at Big Bend over the 4th of July holiday week?,Thirty dollars,Cliff Burke,An Occasionally Happy Family,Lake Oswego Public Library
an-occasionally-happy-family,content,42,what does Theo's dad do for work?,He is a high school science teacher.,Cliff Burke,An Occasionally Happy Family,OBOB Parent Group
an-occasionally-happy-family,content,44,how long is Theo a Boy Scout?,He is a Boy Scout for only one week.,Cliff Burke,An Occasionally Happy Family,OBOB Parent Group
an-occasionally-happy-family,content,45,what do Theo and his family eat for dinner their first night in Big Bend?,They ate microwaved hotdogs and Goldfish crackers.,Cliff Burke,An Occasionally Happy Family,OBOB Parent Group
an-occasionally-happy-family,content,50,What did the sign say at the beginning of the hiking trail?,This is Bear Country,Cliff Burke,An Occasionally Happy Family,OBOB Parent Group
an-occasionally-happy-family,content,50,"as the family begins their first day of hiking in Big Bend, Theo sees signs warning them of what specific danger?",There are warning signs about bears.,Cliff Burke,An Occasionally Happy Family,OBOB Parent Group
an-occasionally-happy-family,content,57,what is the full name of the adult of the two strangers they encounter while hiking?,The man's name is Leonard Blenard.,Cliff Burke,An Occasionally Happy Family,OBOB Parent Group
an-occasionally-happy-family,content,57,what is Leonard Blendard's son's name?,"He is Leonard Blendard, Jr., but prefers being called Leo.",Cliff Burke,An Occasionally Happy Family,OBOB Parent Group
an-occasionally-happy-family,content,57,who is Theo named after and what was the person known for?,"He was named after Theodore Maiman, the inventor of the laser.",Cliff Burke,An Occasionally Happy Family,OBOB Parent Group
an-occasionally-happy-family,content,59,what bird is Leonard Blenard looking for while hiking?,He is looking for the elusive Colima warbler.,Cliff Burke,An Occasionally Happy Family,OBOB Parent Group
an-occasionally-happy-family,content,61,"What is Leonard's ""Big Year""?",The year of their life to find and photograph as many different native  North American bird species as possible,Cliff Burke,An Occasionally Happy Family,OBOB Parent Group
an-occasionally-happy-family,content,61,what number of birds identified and photographed in one year would set a new world record?,He has to photograph 785 different birds in one year to set the record.,Cliff Burke,An Occasionally Happy Family,OBOB Parent Group
an-occasionally-happy-family,content,61,what is the world record for the number of different native North American bird species photographed in one year?,784,Cliff Burke,An Occasionally Happy Family,Lake Oswego Public Library
an-occasionally-happy-family,content,63,"what is Leo obsessed with, even on a hike in the wild?",He is obsessed with social media and his numbers related to it (specifically his views on Instagram).,Cliff Burke,An Occasionally Happy Family,OBOB Parent Group
an-occasionally-happy-family,content,69,Whose tent did the family borrow for camping?,Craig's,Cliff Burke,An Occasionally Happy Family,OBOB Parent Group
an-occasionally-happy-family,content,76,What does Leo call his viewers?,Leo Baebies,Cliff Burke,An Occasionally Happy Family,OBOB Parent Group
an-occasionally-happy-family,content,76,what does Leo call his YouTube viewers?,He calls them his Leo Baebies.,Cliff Burke,An Occasionally Happy Family,OBOB Parent Group
an-occasionally-happy-family,content,81,Where does Laura hit Leo when he sneaks over to her and Theo's tent during the night?,his nose,Cliff Burke,An Occasionally Happy Family,OBOB Parent Group
an-occasionally-happy-family,content,82,What time during the night does Leo try to get Laura to come out of her tent to talk with him?,02:40:00,Cliff Burke,An Occasionally Happy Family,OBOB Parent Group
an-occasionally-happy-family,content,82,why does Leo go to Theo and Laura's tent at 2:40 a.m.?,He wanted Laura to kiss him.,Cliff Burke,An Occasionally Happy Family,OBOB Parent Group
an-occasionally-happy-family,content,82,what time is it when Leo comes to Laura’s tent in the middle of the night?,2:40 am,Cliff Burke,An Occasionally Happy Family,Lake Oswego Public Library
an-occasionally-happy-family,content,84,what does Theo notice at their campsite in the morning while Laura and his dad were discussing Leo?,He noticed a black bear about 500 feet away from them.,Cliff Burke,An Occasionally Happy Family,OBOB Parent Group
an-occasionally-happy-family,content,87,what does Theo tell the others to do when they see the bear?,"He tells them to talk softly, pour water on the food and wave their arms around.",Cliff Burke,An Occasionally Happy Family,OBOB Parent Group
an-occasionally-happy-family,content,95,Who scared away the bird that Leonard had been searching for and trying to photograph,Laura (with a sneeze),Cliff Burke,An Occasionally Happy Family,OBOB Parent Group
an-occasionally-happy-family,content,108,"How long had dad been ""just talking"" with Lucrecia?",Seven to eight months,Cliff Burke,An Occasionally Happy Family,OBOB Parent Group
an-occasionally-happy-family,content,108,how long has Theo and Laura's dad been dating his secret girlfriend Lucrecia?,They have been dating long distance for 7-8 months.,Cliff Burke,An Occasionally Happy Family,OBOB Parent Group
an-occasionally-happy-family,content,108,what is the name of Theo’s dad’s secret new girlfriend?,Lucrecia,Cliff Burke,An Occasionally Happy Family,Lake Oswego Public Library
an-occasionally-happy-family,content,109,Where did dad meet Lucrecia?,At college in a friend group with their mom,Cliff Burke,An Occasionally Happy Family,OBOB Parent Group
an-occasionally-happy-family,content,113,what are the two happiest days of Bob's life in Theo's graphic novel?,Bob's happiest days are his 5th surprise birthday with Spongebob Squarepants and the day his mom picks him up from school early to take him to an R-rated movie.,Cliff Burke,An Occasionally Happy Family,OBOB Parent Group
an-occasionally-happy-family,content,122,"what do Laura, Theo and their dad see when they arrive at Boquillas Hot Springs?",They see an elderly French man and woman soaking naked and drinking wine.,Cliff Burke,An Occasionally Happy Family,OBOB Parent Group
an-occasionally-happy-family,content,123,what are the first names of the couple from France that are naked when Theo and his family arrive at the hot springs?,Bernard and Sylvie,Cliff Burke,An Occasionally Happy Family,Lake Oswego Public Library
an-occasionally-happy-family,content,125,how much money does Theo’s dad pay a couple from France to put clothes on at the hot springs?,Twenty dollars,Cliff Burke,An Occasionally Happy Family,Lake Oswego Public Library
an-occasionally-happy-family,content,128,what does Laura admit to Sylvie that shocks her Dad and Theo?,Laura admitted that she kissed someone.,Cliff Burke,An Occasionally Happy Family,OBOB Parent Group
an-occasionally-happy-family,content,144,What gift did Lucrecia give Theo when they met?,Black notebook with comic panels with his initial TR,Cliff Burke,An Occasionally Happy Family,OBOB Parent Group
an-occasionally-happy-family,content,144,What was the name of the book Lucrecia gave Laura when they met?,Tales of the Big Bend,Cliff Burke,An Occasionally Happy Family,OBOB Parent Group
an-occasionally-happy-family,content,147,"on a scale of 1 to 10, what rating does Theo give Lucrecia after meeting her for the first time?",Six,Cliff Burke,An Occasionally Happy Family,Lake Oswego Public Library
an-occasionally-happy-family,content,152,what does Theo order for lunch after Lucrecia says she is paying and he can order whatever he wants?,"Theo orders the most expensive item on the menu, which is a seasoned sirloin steak burrito with loaded nachos.",Cliff Burke,An Occasionally Happy Family,OBOB Parent Group
an-occasionally-happy-family,content,153,What was the pattern painted on the building of the Desert Lotus Healing Arts Center?,swirling flower pattern,Cliff Burke,An Occasionally Happy Family,OBOB Parent Group
an-occasionally-happy-family,content,153,What was in the fountain inside the Desert Lotus Healing Arts Center?,a large granite ball painted like the world,Cliff Burke,An Occasionally Happy Family,OBOB Parent Group
an-occasionally-happy-family,content,163,Where did Theo and Laura see dad and Lucrecia first kiss?,Museum of Contemporary Art,Cliff Burke,An Occasionally Happy Family,OBOB Parent Group
an-occasionally-happy-family,content,163,What was the name of the exhibit that had a telescope with a glued on cap?,The limits of seeing,Cliff Burke,An Occasionally Happy Family,OBOB Parent Group
an-occasionally-happy-family,content,168,what bothers Theo the most about his Dad's relationship with Lucrecia?,"He thinks his Dad isn't acting like himself, wearing clothing he never has and pretending to like things he never has in the past.",Cliff Burke,An Occasionally Happy Family,OBOB Parent Group
an-occasionally-happy-family,content,171,how does the relationship between Laura and Theo change after their mom's death?,"They used to talk and hang out, but they had become distant.",Cliff Burke,An Occasionally Happy Family,OBOB Parent Group
