book_key,question_type,page,text,answer,author_name,book_title,source_name
inquisitors-tale,content,0,"name two of the creepy things that William sees or hears as he passes through the dark forest, before he meets the fiends.","Any two: Pink eyes, croaking frogs, large insects (like enormous walking sticks), a spider's web. Acceptable wording: eyes, frogs, insects, a web",Adam Gidwitz,The Inquisitor's Tale,OBOB Practice-Question Coalition
inquisitors-tale,content,1,"what is the name of the dog that ""babysits"" baby Jeanne when her parents go off to the fields to work?",Gwenforte,Adam Gidwitz,The Inquisitor's Tale,OBOB Practice-Question Coalition
inquisitors-tale,content,,what year does the story take place?,1242 (p. Prologue and back cover,Adam Gidwitz,The Inquisitor's Tale,Lake Oswego Public Library
inquisitors-tale,content,1,what kind of dog is Gwenforte and what color is the blaze down its nose?,Greyhound and copper,Adam Gidwitz,The Inquisitor's Tale,Lake Oswego Public Library
inquisitors-tale,content,2,what type of poisonous snake slithers into Jeanne's house when she is a baby?,An adder,Adam Gidwitz,The Inquisitor's Tale,OBOB Practice-Question Coalition
inquisitors-tale,content,2,"what color is the blaze on Gwenforte, and whereis it? (2 part)","Copper, nose",Adam Gidwitz,The Inquisitor's Tale,OBOB Practice-Question Coalition
inquisitors-tale,content,2,what kind of snake does Gwenforte kill to protect Jeanne?,An adder,Adam Gidwitz,The Inquisitor's Tale,Lake Oswego Public Library
inquisitors-tale,content,2,What year does the story take place?,1242,Adam Gidwitz,The Inquisitor's Tale,Beaverton City Library
inquisitors-tale,content,2,What kind of snake does Gwenforte save baby Jeanne from?,An adder,Adam Gidwitz,The Inquisitor's Tale,Beaverton City Library
inquisitors-tale,content,4,what color and type of flowers are planted by Gwenforte's grave? (2 part),"Purple, Crocus",Adam Gidwitz,The Inquisitor's Tale,OBOB Practice-Question Coalition
inquisitors-tale,content,5,who is Jeanne's favorite person among all the peasants in the town of Saint-Geneviève?,Old Theresa,Adam Gidwitz,The Inquisitor's Tale,OBOB Practice-Question Coalition
inquisitors-tale,content,5,what is the name of Peter the priest's wife?,Ygraine,Adam Gidwitz,The Inquisitor's Tale,OBOB Practice-Question Coalition
inquisitors-tale,content,5,what is the name of the bailiff?,Charles,Adam Gidwitz,The Inquisitor's Tale,OBOB Practice-Question Coalition
inquisitors-tale,content,5,who is Jeanne’s favorite peasant in her village?,Old Theresa,Adam Gidwitz,The Inquisitor's Tale,Lake Oswego Public Library
inquisitors-tale,content,6,what color were Old Theresa's eyes? Be specific.,Milky blue,Adam Gidwitz,The Inquisitor's Tale,OBOB Practice-Question Coalition
inquisitors-tale,content,13,what is the name of the place where the dog Gwenforte is buried?,The Holy Grove,Adam Gidwitz,The Inquisitor's Tale,OBOB Practice-Question Coalition
inquisitors-tale,content,13,what is the name of the place where Gwenforte is buried?,The Holy Grove,Adam Gidwitz,The Inquisitor's Tale,Lake Oswego Public Library
inquisitors-tale,content,13,What kind of dog is Gwenforte?,Greyhound,Adam Gidwitz,The Inquisitor's Tale,Beaverton City Library
inquisitors-tale,content,19,what color were Jeanne's mother's eyes?,Green,Adam Gidwitz,The Inquisitor's Tale,OBOB Practice-Question Coalition
inquisitors-tale,content,21,what is Jeanne's mother's name?,Yvette,Adam Gidwitz,The Inquisitor's Tale,OBOB Practice-Question Coalition
inquisitors-tale,content,22,"when knights come to capture Jeanne, where does Jeanne's mother say her daughter is hiding?",in the dung heap,Adam Gidwitz,The Inquisitor's Tale,OBOB Practice-Question Coalition
inquisitors-tale,content,23,Where does Jeanne's mother tell the knights she is hiding?,In a dung heap,Adam Gidwitz,The Inquisitor's Tale,Beaverton City Library
inquisitors-tale,content,32,at what library does the librarian work?,(Monastery) Saint-Martin,Adam Gidwitz,The Inquisitor's Tale,OBOB Practice-Question Coalition
inquisitors-tale,content,32,what are young monks in training called?,Oblates,Adam Gidwitz,The Inquisitor's Tale,OBOB Practice-Question Coalition
inquisitors-tale,content,33,how old is William?,Eleven,Adam Gidwitz,The Inquisitor's Tale,OBOB Practice-Question Coalition
inquisitors-tale,content,34,what is the name of William's teacher?,(Brother) Bartholomew,Adam Gidwitz,The Inquisitor's Tale,OBOB Practice-Question Coalition
inquisitors-tale,content,37,what word does Brother Bartholomew use to refer to people who look foreign?,Saracens,Adam Gidwitz,The Inquisitor's Tale,OBOB Practice-Question Coalition
inquisitors-tale,content,37,What word does Bartholomew use for foreigners?,Saracen,Adam Gidwitz,The Inquisitor's Tale,Beaverton City Library
inquisitors-tale,content,39,"when William hits the stone bench, it explodes into how many pieces?",A thousand,Adam Gidwitz,The Inquisitor's Tale,Lake Oswego Public Library
inquisitors-tale,content,43,what is the name of the place where the Foul Fiends are said to live?,"The forest of Malesherbes (or just ""Malesherbes"")",Adam Gidwitz,The Inquisitor's Tale,OBOB Practice-Question Coalition
inquisitors-tale,content,43,where do the foul fiends live?,Malesherbes,Adam Gidwitz,The Inquisitor's Tale,OBOB Practice-Question Coalition
inquisitors-tale,content,43,What is the name of the forest where the foul fiends live?,Malesherbes,Adam Gidwitz,The Inquisitor's Tale,Beaverton City Library
inquisitors-tale,content,52,what does William wear around his waist that the Wicked One ?,A belt of gold,Adam Gidwitz,The Inquisitor's Tale,Lake Oswego Public Library
inquisitors-tale,content,52,What does the Wicked One want to take from William?,A gold belt,Adam Gidwitz,The Inquisitor's Tale,Beaverton City Library
inquisitors-tale,content,53,Who fights the fiends?,William,Adam Gidwitz,The Inquisitor's Tale,Beaverton City Library
inquisitors-tale,content,55,what does William use to protect himself?,A donkey’s leg,Adam Gidwitz,The Inquisitor's Tale,Lake Oswego Public Library
inquisitors-tale,content,58,what are the names of Jacob's parents?,Bathsheba and Moise,Adam Gidwitz,The Inquisitor's Tale,OBOB Practice-Question Coalition
inquisitors-tale,content,62,who wakes up Jacob's family when Christian peasant boys are setting roofs aflame?,Jacob,Adam Gidwitz,The Inquisitor's Tale,OBOB Practice-Question Coalition
inquisitors-tale,content,64,where do Jacob's parents tell him to meet them if their first meeting place is gone?,Either Cousin Yehuda's or Saint-Denis (which is where Cousin Yehuda lives),Adam Gidwitz,The Inquisitor's Tale,OBOB Practice-Question Coalition
inquisitors-tale,content,74,what is the name of the bald petty knight?,Baldwin,Adam Gidwitz,The Inquisitor's Tale,OBOB Practice-Question Coalition
inquisitors-tale,content,75,what color is Sir Fabian's hair?,Yellow,Adam Gidwitz,The Inquisitor's Tale,OBOB Practice-Question Coalition
inquisitors-tale,content,84,name two of the colors in the fine clothing of the handsome traveler who asks to sit with the innkeeper.,"Any two: browns, yellows, hints of pale blue; (any two of just ""brown,"" ""yellow,"" or ""blue"" are acceptable)",Adam Gidwitz,The Inquisitor's Tale,OBOB Practice-Question Coalition
inquisitors-tale,content,87,which character is revealed to be Jewish?,William,Adam Gidwitz,The Inquisitor's Tale,Cedar Mill Library
inquisitors-tale,content,91,which character sleeps through being kicked a lot of times?,William,Adam Gidwitz,The Inquisitor's Tale,OBOB Practice-Question Coalition
inquisitors-tale,content,97,William is upset to realize that he left something at the inn. What is it?,His ass (or donkey),Adam Gidwitz,The Inquisitor's Tale,OBOB Practice-Question Coalition
inquisitors-tale,content,100,"which character speaks with an accent ""broad and flat"" like tilled fields?",Jeanne,Adam Gidwitz,The Inquisitor's Tale,OBOB Practice-Question Coalition
inquisitors-tale,content,104,What does a 'jongleur' do?,Juggle and sing songs,Adam Gidwitz,The Inquisitor's Tale,Beaverton City Library
inquisitors-tale,content,106,"what is the name of the character described as ""Red, Fat, and Wicked himself""? Give the full name.",Michelangelo di Bologna,Adam Gidwitz,The Inquisitor's Tale,OBOB Practice-Question Coalition
inquisitors-tale,content,108,Jeanne and Jacob fall into a river when they jump off the road. What is the name of the river?,The Oise River,Adam Gidwitz,The Inquisitor's Tale,OBOB Practice-Question Coalition
inquisitors-tale,content,110,who does the jongleur say weak ale is for? (2 part),Clerics and children,Adam Gidwitz,The Inquisitor's Tale,OBOB Practice-Question Coalition
inquisitors-tale,content,113,what are the names of the two brother knights?,Haye and Marmeluc,Adam Gidwitz,The Inquisitor's Tale,OBOB Practice-Question Coalition
inquisitors-tale,content,117,what's the name of the knight who cries in his sleep?,Fabian,Adam Gidwitz,The Inquisitor's Tale,OBOB Practice-Question Coalition
inquisitors-tale,content,117,which of the knights cries in his sleep?,Fabian,Adam Gidwitz,The Inquisitor's Tale,OBOB Practice-Question Coalition
inquisitors-tale,content,117,what is the name of the knight who cries in his sleep and is nicknamed Weasel?,Fabian,Adam Gidwitz,The Inquisitor's Tale,Lake Oswego Public Library
inquisitors-tale,content,125,Who tells the story about the dragon with deadly farts?,"Gerald the Scot, the chronicler",Adam Gidwitz,The Inquisitor's Tale,Beaverton City Library
inquisitors-tale,content,129,what color is the dragon?,Black and (sea) green (with sharp white bumps) OR black with green and blue scales,Adam Gidwitz,The Inquisitor's Tale,OBOB Practice-Question Coalition
inquisitors-tale,content,129,What is the name of the knight who tried to fight the dragon in Burgundy?,Sir Ewan the Bold,Adam Gidwitz,The Inquisitor's Tale,Beaverton City Library
inquisitors-tale,content,130,what does a dragon do to set a knight on fire?,fart,Adam Gidwitz,The Inquisitor's Tale,OBOB Practice-Question Coalition
inquisitors-tale,content,134,what are two of the dishes served at a classic meal of the French lords?,"Any two: boiled meats, grilled meats, fried meats, cheese",Adam Gidwitz,The Inquisitor's Tale,OBOB Practice-Question Coalition
inquisitors-tale,content,135,what is the name of the stinky cheese?,Epoisses,Adam Gidwitz,The Inquisitor's Tale,OBOB Practice-Question Coalition
inquisitors-tale,content,142,what color is the dragon's tongue? Be specific.,Lavender,Adam Gidwitz,The Inquisitor's Tale,OBOB Practice-Question Coalition
inquisitors-tale,content,158,what is the name of the Rabbi who is cousins with Jacob’s mom?,Rabbi Yehuda,Adam Gidwitz,The Inquisitor's Tale,Lake Oswego Public Library
inquisitors-tale,content,160,name 2 of the cathedrals modeled after Saint Denis?,"Notre Dame, Chatres, Rouens",Adam Gidwitz,The Inquisitor's Tale,OBOB Practice-Question Coalition
inquisitors-tale,content,160,What is the church that all of the other great cathedrals were modeled on?,Saint-Denis,Adam Gidwitz,The Inquisitor's Tale,Beaverton City Library
inquisitors-tale,content,161,which character is astonished to learn that some people buy all their food instead of working the fields?,Jeanne,Adam Gidwitz,The Inquisitor's Tale,OBOB Practice-Question Coalition
inquisitors-tale,content,170,who ordered to have Gwenforte killed?,Abbot Hubert,Adam Gidwitz,The Inquisitor's Tale,OBOB Practice-Question Coalition
inquisitors-tale,content,174,Who saves the group from Hubert?,Michelangelo di Bologna,Adam Gidwitz,The Inquisitor's Tale,Beaverton City Library
inquisitors-tale,content,176,"when the children first meet Miriam, wife of the great rabbi, what unmistakable smell comes from within the house?",boiling chicken broth or dumpling soup (either answer is acceptable),Adam Gidwitz,The Inquisitor's Tale,OBOB Practice-Question Coalition
