book_key,question_type,page,text,answer,author_name,book_title,source_name
counting-by-7s,content,1,what color is the metal picnic table outside of Fosters Freeze? Be specific.,Sea-green,Holly Goldberg Sloan,Counting by 7s,OBOB Practice-Question Coalition
counting-by-7s,content,1,what ingredient is added to chocolate to make it harden into a crispy shell?,(Paraffin) wax,Holly Goldberg Sloan,Counting by 7s,OBOB Practice-Question Coalition
counting-by-7s,content,2,what is Mai's older brother's name?,Quang-ha,Holly Goldberg Sloan,Counting by 7s,OBOB Practice-Question Coalition
counting-by-7s,content,2,what ingredient makes chocolate harden into a shell?,Wax,Holly Goldberg Sloan,Counting by 7s,Lake Oswego Public Library
counting-by-7s,content,2,What language is Willow learning?,Vietnamese,Holly Goldberg Sloan,Counting by 7s,Beaverton City Library
counting-by-7s,content,4,who drove Willow home the day of the accident?,Dell Duke,Holly Goldberg Sloan,Counting by 7s,OBOB Practice-Question Coalition
counting-by-7s,content,5,what color is the rolling luggage that carries Willow's schoolwork?,Red,Holly Goldberg Sloan,Counting by 7s,OBOB Practice-Question Coalition
counting-by-7s,content,5,what color is the female police officer's pony tail?,Orange,Holly Goldberg Sloan,Counting by 7s,OBOB Practice-Question Coalition
counting-by-7s,content,7,what is Dell Duke’s job?,School counselor,Holly Goldberg Sloan,Counting by 7s,Lake Oswego Public Library
counting-by-7s,content,11,"on adoption day, what Interstate exit do Willow's parents take on their way home?",17B,Holly Goldberg Sloan,Counting by 7s,OBOB Practice-Question Coalition
counting-by-7s,content,12,what number is Willow obsessed with?,Seven,Holly Goldberg Sloan,Counting by 7s,OBOB Practice-Question Coalition
counting-by-7s,content,12,"besides the number 7, what are Willow's two other obsessions?",Plants and Medical Conditions (or human disease),Holly Goldberg Sloan,Counting by 7s,OBOB Practice-Question Coalition
counting-by-7s,content,12,What are Willow's two other obsessions aside the number 7?,Medical conditions and plants,Holly Goldberg Sloan,Counting by 7s,Beaverton City Library
counting-by-7s,content,14,What region of California does Willow's family live in?,The central valley,Holly Goldberg Sloan,Counting by 7s,Beaverton City Library
counting-by-7s,content,15,what are two of the three types of citrus trees that grow next to the year-round vegetable garden at Willow's house?,"Any two: Orange, Grapefruit, Lime",Holly Goldberg Sloan,Counting by 7s,OBOB Practice-Question Coalition
counting-by-7s,content,16,what is the name of Willow's kindergarden teacher?,Mrs. King,Holly Goldberg Sloan,Counting by 7s,OBOB Practice-Question Coalition
counting-by-7s,content,20,what is Willow's favorite color?,Red,Holly Goldberg Sloan,Counting by 7s,OBOB Practice-Question Coalition
counting-by-7s,content,20,what is Willow’s favorite color?,Red,Holly Goldberg Sloan,Counting by 7s,Lake Oswego Public Library
counting-by-7s,content,20,what is Willow Chance's favorite color?,Red,Holly Goldberg Sloan,Counting by 7s,Cedar Mill Library
counting-by-7s,content,21,"how old is Willow when a flock of wild, green-rumped parrots move into the fishtail palm tree?",Eight,Holly Goldberg Sloan,Counting by 7s,OBOB Practice-Question Coalition
counting-by-7s,content,21,"according to her own calculations, how long did Willow need to sleep every night? Be specific.","Seven hours, 47 minutes",Holly Goldberg Sloan,Counting by 7s,OBOB Practice-Question Coalition
counting-by-7s,content,21,What kind of birds does Willow remember building a nest in a tree in her yard?,Parrots,Holly Goldberg Sloan,Counting by 7s,Beaverton City Library
counting-by-7s,content,22,what did Willow name the baby parrot that she rescued?,Fallen,Holly Goldberg Sloan,Counting by 7s,OBOB Practice-Question Coalition
counting-by-7s,content,22,what was the name of Willow's elementary school?,Rose (Elementary School),Holly Goldberg Sloan,Counting by 7s,OBOB Practice-Question Coalition
counting-by-7s,content,22,what is Willow’s one true companion named?,Margaret Z. Buckle,Holly Goldberg Sloan,Counting by 7s,Lake Oswego Public Library
counting-by-7s,content,22,What is the name of Willow's friend from elementary school?,Margaret Z Buckle,Holly Goldberg Sloan,Counting by 7s,Beaverton City Library
counting-by-7s,content,23,what is the name of Willow's middle school?,Sequoia (Middle School),Holly Goldberg Sloan,Counting by 7s,OBOB Practice-Question Coalition
counting-by-7s,content,24,What kind of flowers does Willow grow before middle school starts?,Corpse flowers,Holly Goldberg Sloan,Counting by 7s,Beaverton City Library
counting-by-7s,content,26,what are the two main ingredients of Willow's Healthy-Start meal?,(Beet) greens and flax (seeds),Holly Goldberg Sloan,Counting by 7s,OBOB Practice-Question Coalition
counting-by-7s,content,30,what does Willow use instead of a backpack on her first day of middle school?,A red wheeled suitcase,Holly Goldberg Sloan,Counting by 7s,Lake Oswego Public Library
counting-by-7s,content,31,what is Willow accused of when called into the principal's office?,Because she is accused of cheating,Holly Goldberg Sloan,Counting by 7s,Cedar Mill Library
counting-by-7s,content,39,how long did it take Dell to graduate from college?,Six and a half years,Holly Goldberg Sloan,Counting by 7s,OBOB Practice-Question Coalition
counting-by-7s,content,44,"What is the name for Dell's classification of ""the kooky kids who just couldn't help but dress different and act like fish out of water?""",The misfits,Holly Goldberg Sloan,Counting by 7s,Beaverton City Library
counting-by-7s,content,49,name two of the four groups in Dell Duke's counseling system.,"Any two: Misfits, Oddballs, Lone Wolves, Weirdos",Holly Goldberg Sloan,Counting by 7s,OBOB Practice-Question Coalition
counting-by-7s,content,49,what kind of candy does Mr. Dell Duke keep on his desk?,Jelly Beans,Holly Goldberg Sloan,Counting by 7s,OBOB Practice-Question Coalition
counting-by-7s,content,49,what kind of candy does Dell Duke have on his desk?,A large jar of jelly beans,Holly Goldberg Sloan,Counting by 7s,Lake Oswego Public Library
counting-by-7s,content,49,What kind of candy does Dell Duke keep on his desk?,Jellybeans,Holly Goldberg Sloan,Counting by 7s,Beaverton City Library
counting-by-7s,content,52,what is the first word Dell says when playing the Word Game with Willow?,Chocolate,Holly Goldberg Sloan,Counting by 7s,OBOB Practice-Question Coalition
counting-by-7s,content,61,what new category of strange does Dell Duke think Willow belonged to?,Genius,Holly Goldberg Sloan,Counting by 7s,OBOB Practice-Question Coalition
counting-by-7s,content,62,What does Willow call the principal?,"""Principal Eczema""",Holly Goldberg Sloan,Counting by 7s,Beaverton City Library
counting-by-7s,content,65,Willow's perfect test conditions are a room with decent ventilation and what beverage? Be specific.,Unsweetened green iced tea,Holly Goldberg Sloan,Counting by 7s,OBOB Practice-Question Coalition
counting-by-7s,content,67,what is the language that Willow learned 85 phrases of in a week?,Vietnamese,Holly Goldberg Sloan,Counting by 7s,Cedar Mill Library
counting-by-7s,content,69,What Chinese zodiac year was Mai born in?,The year of the dragon,Holly Goldberg Sloan,Counting by 7s,Beaverton City Library
counting-by-7s,content,70,what is the name of the salon operated by Quang-ha and Mai's mother?,Happy Polish Nails,Holly Goldberg Sloan,Counting by 7s,OBOB Practice-Question Coalition
counting-by-7s,content,70,what is the name of Mai and Quang-ha’s mother’s nail salon?,Happy Polish Nails,Holly Goldberg Sloan,Counting by 7s,Lake Oswego Public Library
counting-by-7s,content,75,what is the name of Dell's orange cat?,Cheddar,Holly Goldberg Sloan,Counting by 7s,OBOB Practice-Question Coalition
counting-by-7s,content,75,what is the name of Dell Duke’s cat?,Cheddar,Holly Goldberg Sloan,Counting by 7s,Lake Oswego Public Library
counting-by-7s,content,75,What is the name of Dell Duke's cat?,Cheddar,Holly Goldberg Sloan,Counting by 7s,Beaverton City Library
counting-by-7s,content,82,where in the car does Dell store the Lost Cat flyers?,On the (Passenger-side) floorboard,Holly Goldberg Sloan,Counting by 7s,OBOB Practice-Question Coalition
counting-by-7s,content,87,what two things does Willow do that makes her suddenly an explorer and a risk-taker?,"Being in a taxi, and riding in a car with a complete stranger",Holly Goldberg Sloan,Counting by 7s,OBOB Practice-Question Coalition
counting-by-7s,content,87,What was the first language that Willow learned after English?,Spanish,Holly Goldberg Sloan,Counting by 7s,Beaverton City Library
counting-by-7s,content,89,how many Vietnamese phrases does Willow learn during her first seven days of studying?,Eighty Five,Holly Goldberg Sloan,Counting by 7s,OBOB Practice-Question Coalition
counting-by-7s,content,96,What does Willow notice on Jairo Hernandez's neck?,A mole,Holly Goldberg Sloan,Counting by 7s,Beaverton City Library
counting-by-7s,content,99,what color smock is Roberta handed at the Bakersfield Imaging Center?,Lavender,Holly Goldberg Sloan,Counting by 7s,OBOB Practice-Question Coalition
counting-by-7s,content,104,what is the number of the truck that hits Willow's parents' vehicle?,#807,Holly Goldberg Sloan,Counting by 7s,OBOB Practice-Question Coalition
counting-by-7s,content,104,what is the number on the back of the medical supply truck that hit Roberta and Jimmy Chance?,#807,Holly Goldberg Sloan,Counting by 7s,OBOB Practice-Question Coalition
counting-by-7s,content,108,what is the name of Willow's kin who lives at Valiant Village?,Grace or Grandma Grace,Holly Goldberg Sloan,Counting by 7s,OBOB Practice-Question Coalition
counting-by-7s,content,114,what is the name of Pattie's nail salon?,Happy Polish Nails,Holly Goldberg Sloan,Counting by 7s,OBOB Practice-Question Coalition
counting-by-7s,content,117,what color nail polish did Pattie Nguyen wish all her customers wanted?,Red,Holly Goldberg Sloan,Counting by 7s,OBOB Practice-Question Coalition
counting-by-7s,content,117,how many shades of nail polish does Pattie’s nail salon carry?,More than 100,Holly Goldberg Sloan,Counting by 7s,Lake Oswego Public Library
counting-by-7s,content,118,what color is the new nail polish shade at Happy Polish Nails that's very popular but carries no good fortune? Be specific.,Peacock Blue,Holly Goldberg Sloan,Counting by 7s,OBOB Practice-Question Coalition
counting-by-7s,content,132,"when Willow stops going to school after her parents die, who does Willow say she will miss?","Miss Judy, or the School Nurse",Holly Goldberg Sloan,Counting by 7s,OBOB Practice-Question Coalition
counting-by-7s,content,135,what is the full name of Willow's caseworker?,Lenore Cole,Holly Goldberg Sloan,Counting by 7s,OBOB Practice-Question Coalition
counting-by-7s,content,136,What DVD movie does Willow request from her house?,Adaptation,Holly Goldberg Sloan,Counting by 7s,Beaverton City Library
counting-by-7s,content,137,how many library books did Willow mention in her note to the social worker Leonore Cole?,Seven,Holly Goldberg Sloan,Counting by 7s,OBOB Practice-Question Coalition
counting-by-7s,content,137,What is the name of the Nguyen family's nail salon?,Happy Polish Nail Salon,Holly Goldberg Sloan,Counting by 7s,Beaverton City Library
counting-by-7s,content,139,what is the full name of the county facility that provides emergency foster care?,Jamison Children's Center,Holly Goldberg Sloan,Counting by 7s,OBOB Practice-Question Coalition
counting-by-7s,content,140,what is the shape of the coffee table that Willow hits their head on when they faint?,Elephant,Holly Goldberg Sloan,Counting by 7s,OBOB Practice-Question Coalition
counting-by-7s,content,142,what is the name of the hospital Willow is taken to after hitting her head?,Mercy,Holly Goldberg Sloan,Counting by 7s,OBOB Practice-Question Coalition
counting-by-7s,content,142,What are the names of Willow's parents?,Jimmy and Roberta,Holly Goldberg Sloan,Counting by 7s,Beaverton City Library
counting-by-7s,content,143,how many sitches does Willow get?,Nine,Holly Goldberg Sloan,Counting by 7s,OBOB Practice-Question Coalition
counting-by-7s,content,146,"when Willow runs away from the hospital, where does she request the taxi drover drop her off? Be specific.",Beale Memorial Library,Holly Goldberg Sloan,Counting by 7s,OBOB Practice-Question Coalition
counting-by-7s,content,146,where did Willow want the taxi driver to take her after picking her up from the hospital?,(Beale Memorial) Library,Holly Goldberg Sloan,Counting by 7s,OBOB Practice-Question Coalition
counting-by-7s,content,156,what does Dell pull out of the inside pocket of his jacket and rip off a chunk of?,"beef jerky, or an old piece of beef jerky",Holly Goldberg Sloan,Counting by 7s,OBOB Practice-Question Coalition
counting-by-7s,content,159,who insists they stop at Happy Jack's Pie n' Burger Shop before going to social services?,Mai,Holly Goldberg Sloan,Counting by 7s,OBOB Practice-Question Coalition
counting-by-7s,content,160,what does Mai order for WIllow at Happy Jack's? Be specific.,a slice of chocolate peanut butter pie,Holly Goldberg Sloan,Counting by 7s,OBOB Practice-Question Coalition
counting-by-7s,content,160,What is the name of the diner that Willow and Mai go to?,Happy Jack's,Holly Goldberg Sloan,Counting by 7s,Beaverton City Library
counting-by-7s,content,161,what does Dell order from Happy Jacks Pie n' Burger Shop?,Coffee,Holly Goldberg Sloan,Counting by 7s,OBOB Practice-Question Coalition
counting-by-7s,content,166,what is the name of the apartment complex where Dell lives?,Gardens of Glenwood,Holly Goldberg Sloan,Counting by 7s,OBOB Practice-Question Coalition
counting-by-7s,content,187,whose address does Pattie provide to Child Protective Services?,Dell Duke’s,Holly Goldberg Sloan,Counting by 7s,Lake Oswego Public Library
counting-by-7s,content,192,what does Pattie reveal when she opens the louvered closet door in Dell's first bedroom?,"Underwear, a wall of underwear, or hundreds of underwear",Holly Goldberg Sloan,Counting by 7s,OBOB Practice-Question Coalition
counting-by-7s,content,194,what is the name of Dell Duke’s apartment complex?,The Gardens of Glenwood,Holly Goldberg Sloan,Counting by 7s,Lake Oswego Public Library
counting-by-7s,content,205,what do Quang-Ha and Willow put on Dell's skylight?,"Glass bottles, or broken bottles, or shards of glass",Holly Goldberg Sloan,Counting by 7s,OBOB Practice-Question Coalition
counting-by-7s,content,205,what do Quang-ha and Willow place over the skylight in Dell’s apartment?,Broken glass to look like a stained glass window,Holly Goldberg Sloan,Counting by 7s,Lake Oswego Public Library
counting-by-7s,content,208,what is the number of Dell's mailbox slot?,#28,Holly Goldberg Sloan,Counting by 7s,OBOB Practice-Question Coalition
counting-by-7s,content,208,what is Dell's apartment number?,#28,Holly Goldberg Sloan,Counting by 7s,OBOB Practice-Question Coalition
counting-by-7s,content,208,what is the name of the bar Dell goes to while Lenore Cole inspects his apartment?,The Hammer,Holly Goldberg Sloan,Counting by 7s,OBOB Practice-Question Coalition
counting-by-7s,content,209,what is the name of Willow’s case worker from Child Protective Service?,Lenore Cole,Holly Goldberg Sloan,Counting by 7s,Lake Oswego Public Library
counting-by-7s,content,217,What lucky item does Mai place ont he couch for Willow to find?,Acorn,Holly Goldberg Sloan,Counting by 7s,OBOB Practice-Question Coalition
counting-by-7s,content,222,what is the apartment number where Dell rents the second bedroom?,#22,Holly Goldberg Sloan,Counting by 7s,OBOB Practice-Question Coalition
counting-by-7s,content,227,what does Quang-Ha leave on the window ledge in the kitchen?,An avocado pit,Holly Goldberg Sloan,Counting by 7s,OBOB Practice-Question Coalition
counting-by-7s,content,236,what type of bird eats from the tip of Willow's finger at the Gardens of Glenwood? Be specific.,Ruby-throated hummingbird,Holly Goldberg Sloan,Counting by 7s,OBOB Practice-Question Coalition
counting-by-7s,content,239,"what does Willow ask Dell Duke to buy her when he asks ""what is one thing that I can do to make your life better""?",(Packet of) Sunflower Seeds,Holly Goldberg Sloan,Counting by 7s,OBOB Practice-Question Coalition
counting-by-7s,content,240,what kind of seeds does Dell bring to Willow to plant?,Sunflower,Holly Goldberg Sloan,Counting by 7s,Lake Oswego Public Library
counting-by-7s,content,248,what does Jairo win at the book store?,"$20,000",Holly Goldberg Sloan,Counting by 7s,OBOB Practice-Question Coalition
counting-by-7s,content,248,how much money did Jairo win for being the one millionth customer at the bookstore?,Twenty Thousand Dollars,Holly Goldberg Sloan,Counting by 7s,OBOB Practice-Question Coalition
counting-by-7s,content,248,how much money did Jairo win by being the millionth customer?,"$20,000",Holly Goldberg Sloan,Counting by 7s,Lake Oswego Public Library
counting-by-7s,content,250,where does Pattie visit every weekend on Golden State Avenue?,farmer's market,Holly Goldberg Sloan,Counting by 7s,OBOB Practice-Question Coalition
counting-by-7s,content,253,what sound is set as Dell's cellphone ring tone?,dog bark,Holly Goldberg Sloan,Counting by 7s,OBOB Practice-Question Coalition
