book_key,question_type,page,text,answer,author_name,book_title,source_name
dealing-with-dragons,content,1,"which number is ""fashionable"" in the Kingdom of Linderwall?",five,Patricia C. Wrede,Dealing with Dragons,OBOB Parent Group
dealing-with-dragons,content,1,how many sisters does Cimorene have?,six,Patricia C. Wrede,Dealing with Dragons,OBOB Parent Group
dealing-with-dragons,content,1,What is the name of the kingdom where Cimorene is raised?,Linderwall,Patricia C. Wrede,Dealing with Dragons,OBOB Parent Group
dealing-with-dragons,content,1,"What number is considered ""fashionable"" in the Kingdom of Linderwall?",5,Patricia C. Wrede,Dealing with Dragons,OBOB Parent Group
dealing-with-dragons,content,1,Who is the youngest daughter of the King of Linderwall?,Cimorene,Patricia C. Wrede,Dealing with Dragons,OBOB Parent Group
dealing-with-dragons,content,1,What color is Cimorene's hair? (Be specific.),jet black,Patricia C. Wrede,Dealing with Dragons,OBOB Parent Group
dealing-with-dragons,content,2,what age is Cimorene when her father finds out about her fencing lessons?,twelve,Patricia C. Wrede,Dealing with Dragons,OBOB Parent Group
dealing-with-dragons,content,9,who does Cimorene's parents want her to marry?,Prince Therandil,Patricia C. Wrede,Dealing with Dragons,OBOB Parent Group
dealing-with-dragons,content,19,what is the name of the dragon that chose Cimorene to be her princess?,Kazul,Patricia C. Wrede,Dealing with Dragons,OBOB Parent Group
dealing-with-dragons,content,27,what does the King offer to whoever rescues Cimorene?,half of the kingdom,Patricia C. Wrede,Dealing with Dragons,OBOB Parent Group
dealing-with-dragons,content,29,how many knights tried to rescue Cimorene before Therandil?,eight,Patricia C. Wrede,Dealing with Dragons,OBOB Parent Group
dealing-with-dragons,content,32,"what is Morwen's profession that is ""not exactly unusual in these parts""",witch,Patricia C. Wrede,Dealing with Dragons,OBOB Parent Group
dealing-with-dragons,content,33,how many cups of tea does Morwen drink while visiting Cimorene?,two,Patricia C. Wrede,Dealing with Dragons,OBOB Parent Group
dealing-with-dragons,content,37,what is the name of the character who offers Cimorene assistance when the narrow ledge she is walking on disappears?,Zemenar,Patricia C. Wrede,Dealing with Dragons,OBOB Parent Group
dealing-with-dragons,content,38,what is the name of the place where the ledge vanishes near Cimorene's feet?,The Pass of Silver Ice,Patricia C. Wrede,Dealing with Dragons,OBOB Parent Group
dealing-with-dragons,content,44,what is the name of the yellow green dragon that wanted to eat Cimorene on the day she arrived?,Moranz,Patricia C. Wrede,Dealing with Dragons,OBOB Parent Group
dealing-with-dragons,content,46,how many dragons are coming to dinner at Kazul's?,six,Patricia C. Wrede,Dealing with Dragons,OBOB Parent Group
dealing-with-dragons,content,46,what time are the dragons arriving for dinner at Kazul's?,08:30:00,Patricia C. Wrede,Dealing with Dragons,OBOB Parent Group
dealing-with-dragons,content,47,how many heads does Ballimore the giantess's son-in-law have?,12,Patricia C. Wrede,Dealing with Dragons,OBOB Parent Group
dealing-with-dragons,content,47,"what are the only 2 desserts that the ""Cauldron of Plenty"" can make?",burned mint custard and sour-cream-and-onion ice cream,Patricia C. Wrede,Dealing with Dragons,OBOB Parent Group
dealing-with-dragons,content,49,what color dress does Cimorene choose from the wardrobe for the dragon dinner party?,red,Patricia C. Wrede,Dealing with Dragons,OBOB Parent Group
dealing-with-dragons,content,49,how many trips does it take Cimorene to get the chocolate mousse to the banquet cave?,four,Patricia C. Wrede,Dealing with Dragons,OBOB Parent Group
dealing-with-dragons,content,51,what is the name of the dragon who had a book stolen from her library?,Gaurim,Patricia C. Wrede,Dealing with Dragons,OBOB Parent Group
dealing-with-dragons,content,52,which character was elected the head of the Society of Wizards last year?,Zemenar,Patricia C. Wrede,Dealing with Dragons,OBOB Parent Group
dealing-with-dragons,content,53,what is the name of the King of the Dragons?,Tokaz,Patricia C. Wrede,Dealing with Dragons,OBOB Parent Group
dealing-with-dragons,content,66,what is the name of the princess who volunteers to help Cimorene find a fire proofing spell in the library?,Alianora,Patricia C. Wrede,Dealing with Dragons,OBOB Parent Group
dealing-with-dragons,content,75,what is the title of the book that Cimorene reads in Kazul's library?,Historia Dracorum,Patricia C. Wrede,Dealing with Dragons,OBOB Parent Group
dealing-with-dragons,content,78,what is Zemenar's son's name?,Antorell,Patricia C. Wrede,Dealing with Dragons,OBOB Parent Group
dealing-with-dragons,content,83,what is the name of the object used to choose the new dragon king?,Colin's Stone,Patricia C. Wrede,Dealing with Dragons,OBOB Parent Group
dealing-with-dragons,content,92,what was the very simple first version of the password to the entrance of the Caves of Fire and Night?,Open sesame,Patricia C. Wrede,Dealing with Dragons,OBOB Parent Group
dealing-with-dragons,content,118,how long was the jinn imprisoned in the jar?,217 years,Patricia C. Wrede,Dealing with Dragons,OBOB Parent Group
dealing-with-dragons,content,131,what princess does Therandil rescue?,Keredwel,Patricia C. Wrede,Dealing with Dragons,OBOB Parent Group
dealing-with-dragons,content,141,what is the name of the dragon that helps the wizards?,Woraug,Patricia C. Wrede,Dealing with Dragons,OBOB Parent Group
dealing-with-dragons,content,148,what is the name of the purple plant with sawedged leaves that Antorell took from the valley?,Dragonsbane,Patricia C. Wrede,Dealing with Dragons,OBOB Parent Group
dealing-with-dragons,content,,"What is the name of the series from which ""Dealing With Dragons"" comes?",The Enchanted Forest Chronicles,Patricia C. Wrede,Dealing with Dragons,OBOB Parent Group
dealing-with-dragons,content,2,What 4-word phrase do people use to describe Cimorene when they're angry or annoyed with her?,"""stubborn as a pig""",Patricia C. Wrede,Dealing with Dragons,OBOB Parent Group
dealing-with-dragons,content,2,"What kind of lessons did Cimorene ""bully"" the armsmaster into giving her?",fencing,Patricia C. Wrede,Dealing with Dragons,OBOB Parent Group
dealing-with-dragons,content,3,What kind of lessons did Cimorene take from the court philosopher?,Latin lessons,Patricia C. Wrede,Dealing with Dragons,OBOB Parent Group
dealing-with-dragons,content,6,What is the only desirable trait that Cimorene believes Prince Therandil has?,he is handsome,Patricia C. Wrede,Dealing with Dragons,OBOB Parent Group
dealing-with-dragons,content,7,What was the name of Cimorene's great aunt who was married at 16 years old?,Rose,Patricia C. Wrede,Dealing with Dragons,OBOB Parent Group
