book_key,question_type,page,text,answer,author_name,book_title,source_name
ship-breaker,content,7,What is Bapi's permit code?,LC57-1844,Paolo Bacigalupi,Ship Breaker,OBOB Parent Group
ship-breaker,content,7,What are two examples of the metals that light crews like Nailer's scavenge from the ancient oil tanker?,"Copper, brass, nickel, aluminum, stainless steel",Paolo Bacigalupi,Ship Breaker,OBOB Parent Group
ship-breaker,content,11,What is the full name of Nailer's father?,Richard Lopez,Paolo Bacigalupi,Ship Breaker,OBOB Parent Group
ship-breaker,content,17,What is the name of the worker who died after getting lost in the oil tanker?,Jackson Boy,Paolo Bacigalupi,Ship Breaker,OBOB Parent Group
ship-breaker,content,29,How does Nailer escape from the oil tank?,By opening a door,Paolo Bacigalupi,Ship Breaker,OBOB Parent Group
ship-breaker,content,32,What is Pima's mother's name?,Sadna,Paolo Bacigalupi,Ship Breaker,OBOB Parent Group
ship-breaker,content,34,What is the name of the alcohol that Moon Girl gives Nailer after he almost dies?,Black Ling,Paolo Bacigalupi,Ship Breaker,OBOB Parent Group
ship-breaker,content,38,What are two examples of luck offerings given to Nailer after his near-death experience?,"Stick of pidgeon, pack of cigarettes, bottle of liquor, silver earring,  shell, sack of rice",Paolo Bacigalupi,Ship Breaker,OBOB Parent Group
ship-breaker,content,43,"What mythical animal does Nailer's father, Richard Lopez, have tattooed on his arms?",Dragons,Paolo Bacigalupi,Ship Breaker,OBOB Parent Group
ship-breaker,content,51,Where do Pima and Nailer take shelter during the storm?,A small limestone cave,Paolo Bacigalupi,Ship Breaker,OBOB Parent Group
ship-breaker,content,55,"What is the name of the half-man who travels with Nailer and Nita, giving them protection?",Tool,Paolo Bacigalupi,Ship Breaker,OBOB Parent Group
ship-breaker,content,62,What city does Pima think the wrecked clipper ship is from?,Boston,Paolo Bacigalupi,Ship Breaker,OBOB Parent Group
ship-breaker,content,68,What material do Pima and Nailer find in the wrecked clipper ship that they think will make them rich?,Silver,Paolo Bacigalupi,Ship Breaker,OBOB Parent Group
ship-breaker,content,81,What fruit does Pima give the girl rescued from the clipper ship to eat?,An orange,Paolo Bacigalupi,Ship Breaker,OBOB Parent Group
