book_key,question_type,page,text,answer,author_name,book_title,source_name
marshmallow-jordan,content,0,Why does Jordan miss the first basketball game?,she's at water polo practice,Alina Chau,Marshmallow & Jordan,OBOB Practice-Question Coalition
marshmallow-jordan,content,1,what was color was Hans’ rain jacket when he was riding his bike in the rain?,yellow,Alina Chau,Marshmallow & Jordan,OBOB Practice-Question Coalition
marshmallow-jordan,content,10,What color is Hans' jacket?,Yellow,Alina Chau,Marshmallow & Jordan,Cedar Mill Library
marshmallow-jordan,content,10,what is the basketball coaches name?,Coach Prayogo,Alina Chau,Marshmallow & Jordan,OBOB Practice-Question Coalition
marshmallow-jordan,content,10,what color are the basketball uniforms?,red,Alina Chau,Marshmallow & Jordan,OBOB Practice-Question Coalition
marshmallow-jordan,content,10,What is the name of the basketball coach?,Coach Prayogo,Alina Chau,Marshmallow & Jordan,OBOB Practice-Question Coalition
marshmallow-jordan,content,10,What is Lynn's older brother's name?,Hans,Alina Chau,Marshmallow & Jordan,OBOB Practice-Question Coalition
marshmallow-jordan,content,11,what number is on Jordan’s basketball jersey?,23,Alina Chau,Marshmallow & Jordan,OBOB Practice-Question Coalition
marshmallow-jordan,content,12,Hans brings smoothies for his sister and friend. What kind are they?,Avocado and chocolate,Alina Chau,Marshmallow & Jordan,Lake Oswego Library
marshmallow-jordan,content,13,What is the name of the school?,Kahawaii Multicultural School,Alina Chau,Marshmallow & Jordan,OBOB Practice-Question Coalition
marshmallow-jordan,content,18,where does Jordan find Marshmallow?,Jordan,Alina Chau,Marshmallow & Jordan,OBOB Practice-Question Coalition
marshmallow-jordan,content,19,Jordan hears something whimpering in the playground on the way home from school. What is it?,A white elephant,Alina Chau,Marshmallow & Jordan,Lake Oswego Library
marshmallow-jordan,content,23,what color is the scooter Jordan finds for Marshmallow?,red,Alina Chau,Marshmallow & Jordan,OBOB Practice-Question Coalition
marshmallow-jordan,content,23,What does Jordan use to help the elephant walk with it's injuried leg?,a broken scooter,Alina Chau,Marshmallow & Jordan,OBOB Practice-Question Coalition
marshmallow-jordan,content,23,What does Jordan find to help an elephant with skinned knees?,Scooter,Alina Chau,Marshmallow & Jordan,Beaverton City Library
marshmallow-jordan,content,25,What does Jordan's mom do for work?,vet,Alina Chau,Marshmallow & Jordan,OBOB Practice-Question Coalition
marshmallow-jordan,content,25,What is Jordan's mom's occupation?,A veterinarian,Alina Chau,Marshmallow & Jordan,Beaverton City Library
marshmallow-jordan,content,33,what color are Marshmallow’s eyes?,blue,Alina Chau,Marshmallow & Jordan,OBOB Practice-Question Coalition
marshmallow-jordan,content,34,What does Nenek clean Marshmallow's knee with?,Hydrogen peroxide,Alina Chau,Marshmallow & Jordan,Cedar Mill Library
marshmallow-jordan,content,37,What does Nanek give the injured elephant as a snack?,Fruits and vegetables from her garden and/or a lemper,Alina Chau,Marshmallow & Jordan,Beaverton City Library
marshmallow-jordan,content,39,what does Jordan’s mom hang up when she gets home?,her purse,Alina Chau,Marshmallow & Jordan,OBOB Practice-Question Coalition
marshmallow-jordan,content,39,what color is Jordan’s mom’s purse?,green,Alina Chau,Marshmallow & Jordan,OBOB Practice-Question Coalition
marshmallow-jordan,content,43,What does Jordan's mom say an elephant can't eat because it will get sick?,Meat,Alina Chau,Marshmallow & Jordan,Beaverton City Library
marshmallow-jordan,content,44,how many chimes does the windchime outside Jordan’s house have?,4,Alina Chau,Marshmallow & Jordan,OBOB Practice-Question Coalition
marshmallow-jordan,content,48,what does Jordan’s mom say will help Marshmallow?,antibiotic,Alina Chau,Marshmallow & Jordan,OBOB Practice-Question Coalition
marshmallow-jordan,content,55,Jordan prays to an elephant god to watch over her elephant friend. What is the name of the god?,Lord Ganesh,Alina Chau,Marshmallow & Jordan,Lake Oswego Library
marshmallow-jordan,content,55,Who does Jordan bring an offering to and say a little prayer to?,Lord Ganesh,Alina Chau,Marshmallow & Jordan,Beaverton City Library
marshmallow-jordan,content,58,what is the first name that Jordan suggests for her elephant?,Cotton Puff,Alina Chau,Marshmallow & Jordan,Lake Oswego Library
marshmallow-jordan,content,61,where does Jordan’s dad say Marshmallow may have escaped from?,a tourist trap,Alina Chau,Marshmallow & Jordan,OBOB Practice-Question Coalition
marshmallow-jordan,content,66,what color is Mr. Al-Samarrai’s hair and beard?,white,Alina Chau,Marshmallow & Jordan,OBOB Practice-Question Coalition
marshmallow-jordan,content,66,what does Mr. Al-Samarria say the geography of Indonesia is dominated by?,volcanoes,Alina Chau,Marshmallow & Jordan,OBOB Practice-Question Coalition
