book_key,question_type,page,text,answer,author_name,book_title,source_name
mystwick-school-of-musicraft,content,0,Whose picture is taped inside Amelia's flute case?,Her mom,Jessica Khoury,The Mystwick School of Musicraft,OBOB Practice-Question Coalition
mystwick-school-of-musicraft,content,0,What is Amelia's dad's name?,Eric Neal,Jessica Khoury,The Mystwick School of Musicraft,OBOB Practice-Question Coalition
mystwick-school-of-musicraft,content,0,Who is the dean of students at the Mystwick school of Musicraft?,Ellie March,Jessica Khoury,The Mystwick School of Musicraft,OBOB Practice-Question Coalition
mystwick-school-of-musicraft,content,2,what is the first rule of Musicraft?,"A spell can charm or do great harm. Before you play, clear the way.",Jessica Khoury,The Mystwick School of Musicraft,Lake Oswego Library
mystwick-school-of-musicraft,content,2,"According to the first rule of Musicraft, what can a spell do?",Charm or do great harm,Jessica Khoury,The Mystwick School of Musicraft,OBOB Practice-Question Coalition
mystwick-school-of-musicraft,content,2,What is the name of Mrs O'Grady's chicken?,Rooter,Jessica Khoury,The Mystwick School of Musicraft,OBOB Practice-Question Coalition
mystwick-school-of-musicraft,content,2,What tune is good for calming someone's nerves?,Ants go marching,Jessica Khoury,The Mystwick School of Musicraft,OBOB Practice-Question Coalition
mystwick-school-of-musicraft,content,2,What is the name of the chicken Amelia is trying to charm?,Rooter,Jessica Khoury,The Mystwick School of Musicraft,OBOB Practice-Question Coalition
mystwick-school-of-musicraft,content,2,How much did Mrs. Grady offer to pay Amelia for the chicken charm?,$5.00,Jessica Khoury,The Mystwick School of Musicraft,OBOB Practice-Question Coalition
mystwick-school-of-musicraft,content,2,"How much money does Mrs. O'Grady offer Amelia to charm Rooter the chicken, and how much does she give after?",She offers Five dollars and gives her twenty,Jessica Khoury,The Mystwick School of Musicraft,Beaverton City Library
mystwick-school-of-musicraft,content,3,What instrument does Mrs O'Grady have?,Harmonica,Jessica Khoury,The Mystwick School of Musicraft,OBOB Practice-Question Coalition
mystwick-school-of-musicraft,content,6,How many times does Amelia repeat the tune before she gets Rooter's attention?,Two,Jessica Khoury,The Mystwick School of Musicraft,OBOB Practice-Question Coalition
mystwick-school-of-musicraft,content,7,Who put out the kitchen fire in Mrs O' Grady's house?,Amelia's mother.,Jessica Khoury,The Mystwick School of Musicraft,OBOB Practice-Question Coalition
mystwick-school-of-musicraft,content,7,How long has it been since Amelia's mother died?,Eight years,Jessica Khoury,The Mystwick School of Musicraft,OBOB Practice-Question Coalition
mystwick-school-of-musicraft,content,7,How much money does Mrs O'Grady give Amelia?,Twenty,Jessica Khoury,The Mystwick School of Musicraft,OBOB Practice-Question Coalition
mystwick-school-of-musicraft,content,7,How much does Mrs O'Grady pay Amelia for charming her chicken?,20 dollars,Jessica Khoury,The Mystwick School of Musicraft,OBOB Practice-Question Coalition
mystwick-school-of-musicraft,content,7,How much does Mrs. Grady pay Amelia for the chicken charm?,$20.00,Jessica Khoury,The Mystwick School of Musicraft,OBOB Practice-Question Coalition
mystwick-school-of-musicraft,content,9,Who is the after-school Musicraft teacher?,Mrs Parrish,Jessica Khoury,The Mystwick School of Musicraft,OBOB Practice-Question Coalition
mystwick-school-of-musicraft,content,11,How old was Amelia when her mother died?,Four,Jessica Khoury,The Mystwick School of Musicraft,Cedar Mill Library
mystwick-school-of-musicraft,content,11,How old is Amelia when her mom dies?,Four,Jessica Khoury,The Mystwick School of Musicraft,OBOB Practice-Question Coalition
mystwick-school-of-musicraft,content,11,How old was Amelia when her Mom died?,four,Jessica Khoury,The Mystwick School of Musicraft,OBOB Practice-Question Coalition
mystwick-school-of-musicraft,content,13,How many blocks does Amelia have to walk from the train station to the hotel where the auditions are?,Four,Jessica Khoury,The Mystwick School of Musicraft,OBOB Practice-Question Coalition
mystwick-school-of-musicraft,content,16,What song does the saxophonist play on the trolley?,"""Over the Rainbow""",Jessica Khoury,The Mystwick School of Musicraft,OBOB Practice-Question Coalition
mystwick-school-of-musicraft,content,16,"What is the name for the most powerful practitioners of musicraft, who often only come from top schools?",Maestros,Jessica Khoury,The Mystwick School of Musicraft,Beaverton City Library
