Question,Answer
In which book do seven siblings sneak out together in the middle of the night?,Scary Stories for Young Foxes by Christian McKay Heidicker (p. 3)
In which book is there a teacher named Miss Vix?,Scary Stories for Young Foxes by Christian McKay Heidicker (p. 11)
In which book is there a yellow stench that gives its victims gooey eyes?,Scary Stories for Young Foxes by Christian McKay Heidicker (p. 23)
In which book does a mom tell her children their father died in a terrible accident before they were born?,Scary Stories for Young Foxes by Christian McKay Heidicker (p. 40)
"In which book does a mother tell her child that 'everything will come twice as hard for them, but the rewards will be twice as wonderful?'",Scary Stories for Young Foxes by Christian McKay Heidicker (p. 44)
In which book is a character instructed to play dead as part of a game and is eventually found because they can’t stop hiccupping?,Scary Stories for Young Foxes by Christian McKay Heidicker (p. 61)
"In which book is a character named after the famous children’s author, Beatrix Potter?",Scary Stories for Young Foxes by Christian McKay Heidicker (p. 88)
In which book is a character caught after running into a screen door?,Scary Stories for Young Foxes by Christian McKay Heidicker (p. 121)
In which book are there locations called Antler Wood and Boulder Fields?,Scary Stories for Young Foxes by Christian McKay Heidicker (p. 123-124)
In which book is a character missing a leg?,Scary Stories for Young Foxes by Christian McKay Heidicker (p. 133)
In which book does a character make up a water monster called The Golgathursh to try and scare another character?,Scary Stories for Young Foxes by Christian McKay Heidicker (p. 161)
In which book is there a chapter called The Lilac Kingdom?,Scary Stories for Young Foxes by Christian McKay Heidicker (p. 185)
"In which book does one character say to another, 'Anything is better than you?'",Scary Stories for Young Foxes by Christian McKay Heidicker (p. 229)
In which book does a father want his son to be killed?,Scary Stories for Young Foxes by Christian McKay Heidicker (p. 237)
In which book does a character come back to life?,Scary Stories for Young Foxes by Christian McKay Heidicker (p. 283)
In which book does a son cause his father to slide into frigid water?,Scary Stories for Young Foxes by Christian McKay Heidicker (p. 302)
"In Scary Stories for Young Foxes by Christian McKay Heidicker, where does the old storyteller live?",Bog Cavern (p. 2)
"In Scary Stories for Young Foxes by Christian McKay Heidicker, what is the name of the kit who was the runt of the litter and bit his teacher’s paw when she went to lick his wounds?",Alfie (p. 17)
"In Scary Stories for Young Foxes by Christian McKay Heidicker, what is the name of the only kit who makes it back to her den after avoiding her teacher biting her skin?",Mia (p. 29)
"In Scary Stories for Young Foxes by Christian McKay Heidicker, what type of animal does Uly’s mom lead him to before congratulating him on officially becoming a hunter?",A squirrel (p. 47)
"In Scary Stories for Young Foxes by Christian McKay Heidicker, what is the name of the kit that is killed by a red and yellow coral snake?",Ava (p. 56)
"In Scary Stories for Young Foxes by Christian McKay Heidicker, what is Uly’s father’s name?",Mr. Scratch (p. 63)
"In Scary Stories for Young Foxes by Christian McKay Heidicker, what is the name of the third story about the woman who peels foxes’ skins?",House of Trix (p. 71)
"In Scary Stories for Young Foxes by Christian McKay Heidicker, what name does Miss Potter call Mia?",Little Miss (p. 89)
"In Scary Stories for Young Foxes by Christian McKay Heidicker, what is the name of the rabbit’s wife that Miss Potter killed?",Sara (p. 93)
"In Scary Stories for Young Foxes by Christian McKay Heidicker, what does Mia do to Miss Potter’s drawing to keep herself alive longer?",She pees on it (p. 111)
"In Scary Stories for Young Foxes by Christian McKay Heidicker, what color are Mia’s eyes?",Blue and gold (p. 143)
"In Scary Stories for Young Foxes by Christian McKay Heidicker, what does Mr. Scratch’s kingdom smell like?",Lilacs or flowers (p. 191)
"In Scary Stories for Young Foxes by Christian McKay Heidicker, what are the names of the two vixens who are living in Mr. Scratch’s kingdom when Mia arrives?",Mercy and Odette (p. 202)
"In Scary Stories for Young Foxes by Christian McKay Heidicker, Mia learns that Mr. Scratch’s first name is what?",Wynn (p. 209)
"In Scary Stories for Young Foxes by Christian McKay Heidicker, what does Mr. Scratch find in his bed and in his food?","A (moldy) paw (p. 231, 233)"
"In Scary Stories for Young Foxes by Christian McKay Heidicker, how many babies are there in the litter of foxes that Uly and Mia?",Five (p. 261)
"In Scary Stories for Young Foxes by Christian McKay Heidicker, what is the name of the last little kit who stays to listen to the entire story?",Mia (p. 308)
