book_key,question_type,page,text,answer,author_name,book_title,source_name
the-sunbearer-trials,content,2,Which diose cracked open the clay star filled with the diose's powers?,Luna,Aiden Thomas,The Sunbearer Trials,OBOB Parent Group
the-sunbearer-trials,content,12,What is the name of the contest?,Sunbearer Trials,Aiden Thomas,The Sunbearer Trials,OBOB Parent Group
the-sunbearer-trials,content,12,What color is Chavo's bird Macho?,Blue,Aiden Thomas,The Sunbearer Trials,OBOB Parent Group
the-sunbearer-trials,content,18,Where does Teo take Veronica during the fire?,The walk in freezer,Aiden Thomas,The Sunbearer Trials,OBOB Parent Group
the-sunbearer-trials,content,23,What is the name of the world?,Reino del Sol,Aiden Thomas,The Sunbearer Trials,OBOB Parent Group
the-sunbearer-trials,content,25,What is the name of Huemac's bird companion?,Cielo,Aiden Thomas,The Sunbearer Trials,OBOB Parent Group
the-sunbearer-trials,content,35,What is the only gold city Teo's boat passes through on the way to the trials?,Puerto Cascadas,Aiden Thomas,The Sunbearer Trials,OBOB Parent Group
the-sunbearer-trials,content,38,What is the color assigned to low-status class?,Jade,Aiden Thomas,The Sunbearer Trials,OBOB Parent Group
the-sunbearer-trials,content,42,What pattern was the suit of Chisme's that Teo ruined?,Anaconda print,Aiden Thomas,The Sunbearer Trials,OBOB Parent Group
the-sunbearer-trials,content,47,What does the winner carry?,Light,Aiden Thomas,The Sunbearer Trials,OBOB Parent Group
the-sunbearer-trials,content,57,How many days do the sunbearer trials take place over?,10,Aiden Thomas,The Sunbearer Trials,OBOB Parent Group
the-sunbearer-trials,content,61,What does the loser become?,Sacrifice,Aiden Thomas,The Sunbearer Trials,OBOB Parent Group
the-sunbearer-trials,content,68,Who's bedroom is across from Teo's in Sol Temple?,Xio,Aiden Thomas,The Sunbearer Trials,OBOB Parent Group
the-sunbearer-trials,content,73,Who is Teo's mother?,Quetzal,Aiden Thomas,The Sunbearer Trials,OBOB Parent Group
the-sunbearer-trials,content,73,"Which character has ""nearly every"" hero trading card?",Xio,Aiden Thomas,The Sunbearer Trials,OBOB Parent Group
the-sunbearer-trials,content,82,What is Diosa Lumbre's home city?,San Fuego,Aiden Thomas,The Sunbearer Trials,OBOB Parent Group
the-sunbearer-trials,content,86,Who is Teo's best friend?,Niya,Aiden Thomas,The Sunbearer Trials,OBOB Parent Group
the-sunbearer-trials,content,93,What city does the first trial take place in?,La Cumbre,Aiden Thomas,The Sunbearer Trials,OBOB Parent Group
the-sunbearer-trials,content,99,"When all the golds enter the training room on the boat, what equipment does Niya go to?",The rock wall,Aiden Thomas,The Sunbearer Trials,OBOB Parent Group
the-sunbearer-trials,content,100,Who is the 13-year-old semidiós?,Xio,Aiden Thomas,The Sunbearer Trials,OBOB Parent Group
the-sunbearer-trials,content,106,What Diose did competitors have to fight in a trial 90 years ago?,Diosa Culebra,Aiden Thomas,The Sunbearer Trials,OBOB Parent Group
the-sunbearer-trials,content,117,Who is the god of bad luck?,Mala Suerte,Aiden Thomas,The Sunbearer Trials,OBOB Parent Group
the-sunbearer-trials,content,125,Who is the god of birds?,Quetzal,Aiden Thomas,The Sunbearer Trials,OBOB Parent Group
the-sunbearer-trials,content,138,Who is the god of fire?,Lumbre,Aiden Thomas,The Sunbearer Trials,OBOB Parent Group
the-sunbearer-trials,content,146,Who is Teo's ex-best friend?,Aurelio,Aiden Thomas,The Sunbearer Trials,OBOB Parent Group
the-sunbearer-trials,content,160,Who is the god favored to win?,Sol,Aiden Thomas,The Sunbearer Trials,OBOB Parent Group
the-sunbearer-trials,content,180,Who is the god who is banished?,Obsidian,Aiden Thomas,The Sunbearer Trials,OBOB Parent Group
the-sunbearer-trials,content,193,Who is the god associated with the moon?,Luna,Aiden Thomas,The Sunbearer Trials,OBOB Parent Group
the-sunbearer-trials,content,211,Who is the god associated with the sea?,Mar,Aiden Thomas,The Sunbearer Trials,OBOB Parent Group
the-sunbearer-trials,content,234,Who is the god associated with the earth?,Tierra,Aiden Thomas,The Sunbearer Trials,OBOB Parent Group
the-sunbearer-trials,content,251,Who is the god associated with the underworld?,Mictlan,Aiden Thomas,The Sunbearer Trials,OBOB Parent Group
the-sunbearer-trials,content,274,Who is the god associated with the sky?,Cielo,Aiden Thomas,The Sunbearer Trials,OBOB Parent Group
the-sunbearer-trials,content,286,Who is the god associated with the wind?,Viento,Aiden Thomas,The Sunbearer Trials,OBOB Parent Group
the-sunbearer-trials,content,303,Who is the god associated with the stars?,Estrella,Aiden Thomas,The Sunbearer Trials,OBOB Parent Group
the-sunbearer-trials,content,315,Who is the god associated with the night?,Noche,Aiden Thomas,The Sunbearer Trials,OBOB Parent Group
the-sunbearer-trials,content,325,Who is the god associated with the day?,Dia,Aiden Thomas,The Sunbearer Trials,OBOB Parent Group
the-sunbearer-trials,content,350,Who is the god associated with the harvest?,Cosecha,Aiden Thomas,The Sunbearer Trials,OBOB Parent Group
the-sunbearer-trials,content,358,Who is the god associated with the hunt?,Caza,Aiden Thomas,The Sunbearer Trials,OBOB Parent Group
the-sunbearer-trials,content,,What color was the metal on Ocelo's sandals that Niya manipulated to trip them?,Gold,Aiden Thomas,The Sunbearer Trials,OBOB Parent Group
the-sunbearer-trials,content,113,Which competitor can throw lightning?,Atzi,Aiden Thomas,The Sunbearer Trials,OBOB Parent Group
the-sunbearer-trials,content,124,What character ranked 6th in the first trial?,Dezi,Aiden Thomas,The Sunbearer Trials,OBOB Parent Group
the-sunbearer-trials,content,131,How does Aurelio ruin Auristela's selfies on the boat after the first trial?,Yawning,Aiden Thomas,The Sunbearer Trials,OBOB Parent Group
the-sunbearer-trials,content,139,Who sponsors Auristela's Instagraphía account?,A multilevel marketing smoothie company,Aiden Thomas,The Sunbearer Trials,OBOB Parent Group
the-sunbearer-trials,content,148,Who helps Teo learn to fully extend his wings?,Aurelio,Aiden Thomas,The Sunbearer Trials,OBOB Parent Group
the-sunbearer-trials,content,155,In what city do people not wear shoes to feel the rumbling of a volcano?,La Cumbre,Aiden Thomas,The Sunbearer Trials,OBOB Parent Group
the-sunbearer-trials,content,163,What material is the basin that holds the La Cumbre sun stone made of?,Amethyst,Aiden Thomas,The Sunbearer Trials,OBOB Parent Group
the-sunbearer-trials,content,170,What kind of birds does Teo have wake up Ocelo on the boat?,Toucans,Aiden Thomas,The Sunbearer Trials,OBOB Parent Group
the-sunbearer-trials,content,178,What kind of alebrije did Aurelio get?,Gecko,Aiden Thomas,The Sunbearer Trials,OBOB Parent Group
the-sunbearer-trials,content,188,Which competitor didn't finish the second trial?,Ocelo,Aiden Thomas,The Sunbearer Trials,OBOB Parent Group
the-sunbearer-trials,content,,Who threatens Teo after the second trial?,Auristela,Aiden Thomas,The Sunbearer Trials,OBOB Parent Group
the-sunbearer-trials,content,204,What color suit do the competitors wear to tour the alebrije sanctuary and have dinner at Diosa Fauna's temple?,Brown,Aiden Thomas,The Sunbearer Trials,OBOB Parent Group
the-sunbearer-trials,content,212,What are the names of Diosa Fauna's children who are at the dinner?,Catalina and Alejandra,Aiden Thomas,The Sunbearer Trials,OBOB Parent Group
the-sunbearer-trials,content,217,Who talks to Teo first after he runs away from dinner in Diosa Fauna's temple?,Niya,Aiden Thomas,The Sunbearer Trials,OBOB Parent Group
the-sunbearer-trials,content,227,Who is Niya's partner in the third trial?,Auristela,Aiden Thomas,The Sunbearer Trials,OBOB Parent Group
the-sunbearer-trials,content,234,Which competitor does Teo tag first in the third trial?,Dezi,Aiden Thomas,The Sunbearer Trials,OBOB Parent Group
the-sunbearer-trials,content,244,What color is the ribbon that Atzi wears in her hair?,Silver,Aiden Thomas,The Sunbearer Trials,OBOB Parent Group
the-sunbearer-trials,content,252,Who takes Atzi food when she doesn't come to dinner after the third trial?,Xochi,Aiden Thomas,The Sunbearer Trials,OBOB Parent Group
the-sunbearer-trials,content,258,When does Diosa Lumbre let Auristela and Aurelio go home?,On their birthday,Aiden Thomas,The Sunbearer Trials,OBOB Parent Group
the-sunbearer-trials,content,266,What does Xio bring Teo from the soccer game he wasn't allowed to go see?,A scarf,Aiden Thomas,The Sunbearer Trials,OBOB Parent Group
the-sunbearer-trials,content,275,How many points is the replica Sol Stone worth in the fourth trial?,500,Aiden Thomas,The Sunbearer Trials,OBOB Parent Group
the-sunbearer-trials,content,284,Which character gets shoved by a giant stone hand,Niya,Aiden Thomas,The Sunbearer Trials,OBOB Parent Group
the-sunbearer-trials,content,290,Who steps on the wrong tile in the fourth trial?,Xio,Aiden Thomas,The Sunbearer Trials,OBOB Parent Group
the-sunbearer-trials,content,297,Where does Marino keep his stones during the fourth trial?,His pockets,Aiden Thomas,The Sunbearer Trials,OBOB Parent Group
the-sunbearer-trials,content,307,Who shattered the replica Sol Stone,Auristela,Aiden Thomas,The Sunbearer Trials,OBOB Parent Group
the-sunbearer-trials,content,313,What material is the scarf Niya wears in Laberinto?,Cashmere,Aiden Thomas,The Sunbearer Trials,OBOB Parent Group
the-sunbearer-trials,content,322,What does Teo put on the TV the night before the final feast?,A nature documentary,Aiden Thomas,The Sunbearer Trials,OBOB Parent Group
the-sunbearer-trials,content,332,Who visits Teo in his room after his outburst at the final feast?,Huemac,Aiden Thomas,The Sunbearer Trials,OBOB Parent Group
the-sunbearer-trials,content,337,"From the top of Sol Temple, which light beam is Quetzlan?",The westmost one,Aiden Thomas,The Sunbearer Trials,OBOB Parent Group
the-sunbearer-trials,content,345,What is Vengaza's constellation?,A goat head with horns,Aiden Thomas,The Sunbearer Trials,OBOB Parent Group
the-sunbearer-trials,content,356,Which real competitor does Teo run into first in the fifth trial?,Marino,Aiden Thomas,The Sunbearer Trials,OBOB Parent Group
the-sunbearer-trials,content,364,"Who attacks Xio, Niya, and Teo before they can cross the finish line in the fifth trial?",Auristela,Aiden Thomas,The Sunbearer Trials,OBOB Parent Group
the-sunbearer-trials,content,371,Name two competitors other that Teo who failed to complete the fifth trial.,"Xochi, Atzi, Dezi, Auristela",Aiden Thomas,The Sunbearer Trials,OBOB Parent Group
the-sunbearer-trials,content,380,Who leads Auristela to the sacrificial stone?,Fantasma,Aiden Thomas,The Sunbearer Trials,OBOB Parent Group
the-sunbearer-trials,content,385,Which competitor is secretly an obsidian?,Xio,Aiden Thomas,The Sunbearer Trials,OBOB Parent Group
the-sunbearer-trials,content,394,What is Tierra's plan to bring Sol back?,Assembling all the Sol Stones,Aiden Thomas,The Sunbearer Trials,OBOB Parent Group
the-sunbearer-trials,in-which-book,6,does a character vandalize a poster?,,Aiden Thomas,The Sunbearer Trials,OBOB Parent Group
the-sunbearer-trials,in-which-book,12,does Teo compete in the Sunbearer Trials?,,Aiden Thomas,The Sunbearer Trials,OBOB Parent Group
the-sunbearer-trials,in-which-book,15,is a bakery on fire?,,Aiden Thomas,The Sunbearer Trials,OBOB Parent Group
the-sunbearer-trials,in-which-book,21,does a character step on a doll?,,Aiden Thomas,The Sunbearer Trials,OBOB Parent Group
the-sunbearer-trials,in-which-book,23,does Teo sprout golden wings?,,Aiden Thomas,The Sunbearer Trials,OBOB Parent Group
the-sunbearer-trials,in-which-book,38,does Xio join the competition?,,Aiden Thomas,The Sunbearer Trials,OBOB Parent Group
the-sunbearer-trials,in-which-book,47,is the Sunbearer announced on live television?,,Aiden Thomas,The Sunbearer Trials,OBOB Parent Group
the-sunbearer-trials,in-which-book,61,does Niya support Teo?,,Aiden Thomas,The Sunbearer Trials,OBOB Parent Group
the-sunbearer-trials,in-which-book,73,does Aurelio compete?,,Aiden Thomas,The Sunbearer Trials,OBOB Parent Group
the-sunbearer-trials,in-which-book,73,does Teo confront Aurelio for the first time?,,Aiden Thomas,The Sunbearer Trials,OBOB Parent Group
