book_key,question_type,page,text,answer,author_name,book_title,source_name
better-with-butter,content,3,"who does Marvel choose to dress up as for her ""Famous Californian"" presentation?",Grandma Prisbrey,Victoria Piontek,Better with Butter,OBOB Parent Group
better-with-butter,content,3,What was Grandma Prisbey famous for?,Building a village out of recycled garbage,Victoria Piontek,Better with Butter,OBOB Parent Group
better-with-butter,content,4,What color is Marvel's wig for her famous Californian costume?,gray,Victoria Piontek,Better with Butter,OBOB Parent Group
better-with-butter,content,7,Who does Marvel choose to do her famous Californian speech on?,Grandma Prisbey,Victoria Piontek,Better with Butter,OBOB Parent Group
better-with-butter,content,19,Who helps Principal Huxx move Marvel off the stage?,PE teacher,Victoria Piontek,Better with Butter,OBOB Parent Group
better-with-butter,content,43,What grade is Marvel's brother Reef in?,11th,Victoria Piontek,Better with Butter,OBOB Parent Group
better-with-butter,content,43,What branch of the military is Marvel's dad in?,navy,Victoria Piontek,Better with Butter,OBOB Parent Group
better-with-butter,content,46,Which text book did Butter try to eat?,math book,Victoria Piontek,Better with Butter,OBOB Parent Group
better-with-butter,content,66,Where does Marvel's dad suggest they keep Butter for the night until he can build a proper enclosure?,the garage,Victoria Piontek,Better with Butter,OBOB Parent Group
better-with-butter,content,91,What was Ms. Day doing that distracted her from not stopping the video before Marvel's turn on stage?,texting,Victoria Piontek,Better with Butter,OBOB Parent Group
better-with-butter,content,101,What treat does Marvel give Butter when she was trying to train her to walk on a leash?,cheerios,Victoria Piontek,Better with Butter,OBOB Parent Group
better-with-butter,content,104,What does Addie suggest that Marvel try in order to get Butter to walk on the leash?,make a trail of cheerios,Victoria Piontek,Better with Butter,OBOB Parent Group
better-with-butter,content,105,What does Marvel want to buy at the pet store?,a leash,Victoria Piontek,Better with Butter,OBOB Parent Group
better-with-butter,content,106,how much money does dad give Marvel to buy a leash?,20,Victoria Piontek,Better with Butter,OBOB Parent Group
better-with-butter,content,111,what does Marvel purchase at the pet store for Butter?,leash,Victoria Piontek,Better with Butter,OBOB Parent Group
better-with-butter,content,114,what is the name of the Newfoundland that Addie and Marvel meet at the pet store?,Sonny,Victoria Piontek,Better with Butter,OBOB Parent Group
better-with-butter,content,116,Whose dog was nipping at Marvel's ankles trying to get to Butter at the pet store?,Jamie's,Victoria Piontek,Better with Butter,OBOB Parent Group
better-with-butter,content,121,what is the title on the flyer Marvel makes?,Lost Creature,Victoria Piontek,Better with Butter,OBOB Parent Group
better-with-butter,content,132,what page numbers did Butter eat out of Marvel's math book?,243 & 244,Victoria Piontek,Better with Butter,OBOB Parent Group
better-with-butter,content,153,who does Marvel borrow a credit card from to join the ESA registry?,her brother Reef,Victoria Piontek,Better with Butter,OBOB Parent Group
better-with-butter,content,154,what does Marvel use as fabric to make Butter's ESA vest?,Reef's scrimmage pinnie,Victoria Piontek,Better with Butter,OBOB Parent Group
better-with-butter,content,154,Where is Marvel so excited to go to for the first time just because Butter will be with her?,School,Victoria Piontek,Better with Butter,OBOB Parent Group
better-with-butter,content,184,What skill is Marvel worried about Butter being able to perform for Mr. J?,Leave it,Victoria Piontek,Better with Butter,OBOB Parent Group
better-with-butter,content,187,"Which play do Addie, Theo and Mercedes suggest the class perform?",Heidi,Victoria Piontek,Better with Butter,OBOB Parent Group
better-with-butter,content,189,which play does the sixth grade class vote to perform?,Heidi,Victoria Piontek,Better with Butter,OBOB Parent Group
better-with-butter,content,196,Who offers to help with the set of the play?,Marvel's dad,Victoria Piontek,Better with Butter,OBOB Parent Group
better-with-butter,content,198,Who does Marvel want to play the lead role with Butter in the play?,Theo,Victoria Piontek,Better with Butter,OBOB Parent Group
better-with-butter,content,198,"Where does Marvel take Butter to practice the ""Leave it Command""?",the garden,Victoria Piontek,Better with Butter,OBOB Parent Group
better-with-butter,content,223,What was hanging out of Ellie's backpack that made Butter want to lunge and grab?,a piece of paper,Victoria Piontek,Better with Butter,OBOB Parent Group
better-with-butter,content,226,What is Mercedes role in the school play?,Assistant stage manager,Victoria Piontek,Better with Butter,OBOB Parent Group
better-with-butter,content,228,What is Marvel's first role in the school play?,A townsperson,Victoria Piontek,Better with Butter,OBOB Parent Group
better-with-butter,content,230,which villain character would Theo rather be in the student show?,Aunt Dete,Victoria Piontek,Better with Butter,OBOB Parent Group
better-with-butter,content,252,which character drives a white pick up truck with a trailer?,Gloria Fizzle,Victoria Piontek,Better with Butter,OBOB Parent Group
better-with-butter,content,279,which bus stop does Marvel get off at to visit Gloria and Butter?,Fort Cronkhite,Victoria Piontek,Better with Butter,OBOB Parent Group
better-with-butter,content,,Who's credit card does Marvel use to buy the ESA certificate?,Reef's,Victoria Piontek,Better with Butter,OBOB Parent Group
better-with-butter,content,,What trick is Marvel trying to teach Butter to do for the play?,To kiss Grandpa at the end of the play,Victoria Piontek,Better with Butter,OBOB Parent Group
better-with-butter,content,3,Who does Marvel choose for her presentation on a famous Californian?,Grandma Prisbrey,Victoria Piontek,Better with Butter,OBOB Parent Group
