book_key,question_type,page,text,answer,author_name,book_title,source_name
the-last-cuentista,content,1,What kind of log did Lita throw into the fire?,A piñon log,Donna Barba Higuera,The Last Cuentista,Beaverton City Library
the-last-cuentista,content,1,What did Lita give Petra for her thirteenth birthday?,A Silver pendant in the shape of a sun,Donna Barba Higuera,The Last Cuentista,Beaverton City Library
the-last-cuentista,content,2,what is the name of Petra's grandmother?,Lita,Donna Barba Higuera,The Last Cuentista,OBOB Practice-Question Coalition
the-last-cuentista,content,2,what type of stone is in the silver pendant that Lita give to Petra?,Obsidian,Donna Barba Higuera,The Last Cuentista,OBOB Practice-Question Coalition
the-last-cuentista,content,2,what did Lita give to Petra for her 13th birthday?,A silver pendant in the shape of a sun,Donna Barba Higuera,The Last Cuentista,Lake Oswego Public Library
the-last-cuentista,content,3,who was the fire snake's mother?,Earth,Donna Barba Higuera,The Last Cuentista,OBOB Practice-Question Coalition
the-last-cuentista,content,3,what do Yucatecos believe obsidian holds?,Magic,Donna Barba Higuera,The Last Cuentista,Lake Oswego Public Library
the-last-cuentista,content,5,what does Petra want to be when she’s older?,A storyteller,Donna Barba Higuera,The Last Cuentista,Lake Oswego Public Library
the-last-cuentista,content,6,where is the initial launch site located?,San Juan National Forest or the Colorado forest,Donna Barba Higuera,The Last Cuentista,OBOB Practice-Question Coalition
the-last-cuentista,content,6,Where was the launch site to the shuttle?,San Juan National Forest,Donna Barba Higuera,The Last Cuentista,Beaverton City Library
the-last-cuentista,content,7,how many ships are leaving earth?,Three,Donna Barba Higuera,The Last Cuentista,OBOB Practice-Question Coalition
the-last-cuentista,content,7,why does Petra feel bad about leaving Earth?,So many people are left behind,Donna Barba Higuera,The Last Cuentista,Lake Oswego Public Library
the-last-cuentista,content,8,What was the name of Petra's brother?,Javier,Donna Barba Higuera,The Last Cuentista,Beaverton City Library
the-last-cuentista,content,10,what is the name of Petra's tortoise?,Rapido,Donna Barba Higuera,The Last Cuentista,OBOB Practice-Question Coalition
the-last-cuentista,content,10,What was the name of the planet that Petra and her family are going to?,Sagan,Donna Barba Higuera,The Last Cuentista,Beaverton City Library
the-last-cuentista,content,10,what is the name of the planet that everyone escapes to?,Planet Sagan,Donna Barba Higuera,The Last Cuentista,Cedar Mill Library
the-last-cuentista,content,13,how many years are Petra and her family supposed to be asleep on the ship?,380 years,Donna Barba Higuera,The Last Cuentista,OBOB Practice-Question Coalition
the-last-cuentista,content,13,How long was the sleep supposed to last?,380 years,Donna Barba Higuera,The Last Cuentista,Beaverton City Library
the-last-cuentista,content,15,what was the bright light coming from Javier’s Groom from?,His aquarium,Donna Barba Higuera,The Last Cuentista,Lake Oswego Public Library
the-last-cuentista,content,21,how old is Petra at the beginning of the book?,Twelve,Donna Barba Higuera,The Last Cuentista,OBOB Practice-Question Coalition
the-last-cuentista,content,22,what is the name of the monitor that watches over the children?,Ben,Donna Barba Higuera,The Last Cuentista,OBOB Practice-Question Coalition
the-last-cuentista,content,23,what is the name of the condition that affects Petra's eyes?,Retinitis pigmentosa,Donna Barba Higuera,The Last Cuentista,OBOB Practice-Question Coalition
the-last-cuentista,content,27,what is the name of the tallest tree on earth?,Hyperion,Donna Barba Higuera,The Last Cuentista,OBOB Practice-Question Coalition
the-last-cuentista,content,31,how many rows of six stasis pods per row are there in the 'youth' room?,Three,Donna Barba Higuera,The Last Cuentista,OBOB Practice-Question Coalition
the-last-cuentista,content,38,"if Petra were to put on a silvery white cap, what does she think she’ll look like?",A brown q-tip,Donna Barba Higuera,The Last Cuentista,Lake Oswego Public Library
the-last-cuentista,content,39,what is Petra’s pendant made of?,Obsidian,Donna Barba Higuera,The Last Cuentista,Lake Oswego Public Library
the-last-cuentista,content,45,Who was the last child to be put in the sleeping pods?,Suma,Donna Barba Higuera,The Last Cuentista,Beaverton City Library
the-last-cuentista,content,52,what is the name of the story Ben first reads to pods in the youth room / Petra?,The Epic of Gilgamesh,Donna Barba Higuera,The Last Cuentista,OBOB Practice-Question Coalition
the-last-cuentista,content,53,how did Petra feel about her third dream?,Deeply disturbed,Donna Barba Higuera,The Last Cuentista,Lake Oswego Public Library
the-last-cuentista,content,59,why can’t Petra have cacao?,Her mom won’t let her have caffeine,Donna Barba Higuera,The Last Cuentista,Lake Oswego Public Library
the-last-cuentista,content,61,Which park did Petra go to with her dad when she turned twelve?,Rockhound State Park,Donna Barba Higuera,The Last Cuentista,Beaverton City Library
the-last-cuentista,content,63,what type of rock are Pena and her dad looking for at Rockhound State Park?,Jasper,Donna Barba Higuera,The Last Cuentista,OBOB Practice-Question Coalition
the-last-cuentista,content,67,what is Petra's name when she is taken out of stasis?,Zeta-1,Donna Barba Higuera,The Last Cuentista,OBOB Practice-Question Coalition
the-last-cuentista,content,68,what number is Petra's pod?,Twelve,Donna Barba Higuera,The Last Cuentista,OBOB Practice-Question Coalition
the-last-cuentista,content,68,"what date (month, day, and year) did Petra and her family leave Earth?",July 28th 2061 or 7-28-2061,Donna Barba Higuera,The Last Cuentista,OBOB Practice-Question Coalition
the-last-cuentista,content,70,what does Suma's name become under the Collective?,Zeta-2,Donna Barba Higuera,The Last Cuentista,OBOB Practice-Question Coalition
the-last-cuentista,content,74,name the two subjects Petra is an expert in when she is taken out of stasis?,Botany and geology,Donna Barba Higuera,The Last Cuentista,OBOB Practice-Question Coalition
the-last-cuentista,content,74,What year did Petra arrive at Sagan?,2432,Donna Barba Higuera,The Last Cuentista,Beaverton City Library
the-last-cuentista,content,75,what was Petra named after?,The Greek root of the word for rock,Donna Barba Higuera,The Last Cuentista,OBOB Practice-Question Coalition
the-last-cuentista,content,75,What was Petra named after?,Rock,Donna Barba Higuera,The Last Cuentista,Beaverton City Library
the-last-cuentista,content,79,What Petra's new name supposed to be?,Zeta-1,Donna Barba Higuera,The Last Cuentista,Beaverton City Library
the-last-cuentista,content,82,what is Zeta-3's real first name?,Rubio,Donna Barba Higuera,The Last Cuentista,OBOB Practice-Question Coalition
the-last-cuentista,content,82,what color is Rubio's hair?,Strawberry blonde,Donna Barba Higuera,The Last Cuentista,OBOB Practice-Question Coalition
the-last-cuentista,content,82,how does crock release the last of the stickiness on her body?,A warm weighted blanket,Donna Barba Higuera,The Last Cuentista,Lake Oswego Public Library
the-last-cuentista,content,92,why does Petra think the pediatric cog didn’t work on her?,Because she is younger than everyone else,Donna Barba Higuera,The Last Cuentista,Lake Oswego Public Library
the-last-cuentista,content,93,what is the Chancellor's first name?,Nyla,Donna Barba Higuera,The Last Cuentista,OBOB Practice-Question Coalition
the-last-cuentista,content,96,how does Petra know a lot about purified urine?,Her science class,Donna Barba Higuera,The Last Cuentista,Lake Oswego Public Library
