In Which Book Questions,Page #,Title,Author
In which book does a character go to the Cinncinati Zoo?,1,Candidly Cline,Kathryn Ormsbee
"In which book does the main character live in Paris, Kentucky?",1,Candidly Cline,Kathryn Ormsbee
In which book does a character eat hush puppies?,2,Candidly Cline,Kathryn Ormsbee
In which book does a character order fried catfish with hushpuppies and tartar sauce on the side?,2,Candidly Cline,Kathryn Ormsbee
"In which book is there a McDonald's, a Dairy Queen, and a Walmart?",2,Candidly Cline,Kathryn Ormsbee
In which book does a character drink an Arnold Palmer with their take out meals?,3,Candidly Cline,Kathryn Ormsbee
In which book does a character have a voice that could saw through tough steak?,4,Candidly Cline,Kathryn Ormsbee
In which book does a character use a chili-crusted ladle as a microphone?,4,Candidly Cline,Kathryn Ormsbee
"In which book, does a character have cotton candy pink hair and tattoos?",5,Candidly Cline,Kathryn Ormsbee
In which book does a character feel like a party balloon that's been jabbed with a pin?,7,Candidly Cline,Kathryn Ormsbee
In which book does a character sometimes watch the Weather Channel for fun?,8,Candidly Cline,Kathryn Ormsbee
In which book does a character buy brain teasers once a month in the hope that their mom will start liking them?,8,Candidly Cline,Kathryn Ormsbee
In which book does a character wear green slippers?,9,Candidly Cline,Kathryn Ormsbee
In which book do characters watch The Porter Wagoner Show?,10,Candidly Cline,Kathryn Ormsbee
In which book did a character own a cherrywood piano?,11,Candidly Cline,Kathryn Ormsbee
In which book does a character ask for a Spotify subscription?,12,Candidly Cline,Kathryn Ormsbee
In which book did a character beg to go to a Brandi Carlile concert as their birthday and Christmas presents combined?,12,Candidly Cline,Kathryn Ormsbee
In which book does someone have skin that seems to be in a perpetual state of sunburn?,13,Candidly Cline,Kathryn Ormsbee
"In which book is someone told, “No Sodas!” at a sleepover?",15,Candidly Cline,Kathryn Ormsbee
In which book does a character eat cookies for breakfast?,16,Candidly Cline,Kathryn Ormsbee
In which book does a character bake English muffin pizzas?,18,Candidly Cline,Kathryn Ormsbee
In which book have the characters watched the movie The Princess Bride together approximately 50 times?,18,Candidly Cline,Kathryn Ormsbee
In which book does a character attend Dunbar Middle School?,19,Candidly Cline,Kathryn Ormsbee
In which book does a character wear a floppy orange hat?,21,Candidly Cline,Kathryn Ormsbee
In which book does a character wear perfume that smells like honeysuckle?,21,Candidly Cline,Kathryn Ormsbee
In which book does a character work in a church nursery for $15 for two hours?,22,Candidly Cline,Kathryn Ormsbee
"In which book does a character say, ""When God closes a door, he opens a window""?",24,Candidly Cline,Kathryn Ormsbee
In which book does a character have the middle name Louise?,26,Candidly Cline,Kathryn Ormsbee
"In which book does a character have an expression ""sourer than pickle juice""?",27,Candidly Cline,Kathryn Ormsbee
In which books do characters eat lunch at the Hacienda Mexican Grill?,27,Candidly Cline,Kathryn Ormsbee
"In which book does a character want to say ""You're stabbing my dream in the heart and watching it bleed""? ",28,Candidly Cline,Kathryn Ormsbee
In which book does a character feel like they're trying to swallow an apple whole?,29,Candidly Cline,Kathryn Ormsbee
In which book does a character say “music is medicine”?,30,Candidly Cline,Kathryn Ormsbee
In which book did a character have a crush on Brandi Carlile all through seventh grade?,30,Candidly Cline,Kathryn Ormsbee
In which book does a character live in a farmhouse built over a century ago?,33,Candidly Cline,Kathryn Ormsbee
"In which book does a character say, ""Listen up: middle school can suck, but you will make it through""?",34,Candidly Cline,Kathryn Ormsbee
In which book does a character have an Etsy shop selling custom portraits?,35,Candidly Cline,Kathryn Ormsbee
In which book do kids discuss the cafeteria pizza as being from a parallel universe?,36,Candidly Cline,Kathryn Ormsbee
In which book does a character draw a venn diagram in the air?,36,Candidly Cline,Kathryn Ormsbee
In which book is there a Harvest Dance planned for Halloween?,39,Candidly Cline,Kathryn Ormsbee
In which book does a character have a hundred-watt smile?,40,Candidly Cline,Kathryn Ormsbee
In which book does a character have a collection of scarves in a cedar chest?,44,Candidly Cline,Kathryn Ormsbee
In which book is a character's eyebrow pierced with a silver rod?,44,Candidly Cline,Kathryn Ormsbee
"In which book does a character feel like a ""happy-go-lucky bobblehead""?",46,Candidly Cline,Kathryn Ormsbee
In which book does a character wear purple Keds?,47,Candidly Cline,Kathryn Ormsbee
In which book are old photographs and a rainy-day fund kept in a blue tin?,51,Candidly Cline,Kathryn Ormsbee
In which book does a character keep a rainy-day fund in her closet?,52,Candidly Cline,Kathryn Ormsbee
In which book does a character's grandmother wink like a coconspirator? ,53,Candidly Cline,Kathryn Ormsbee
In which book does a character teach themself to play guitar by using free YouTube tutorials?,55,Candidly Cline,Kathryn Ormsbee
"In which book does a character say ""there's no better recipe for a good night's sleep than a clear conscience""?",56,Candidly Cline,Kathryn Ormsbee
In which book does a character use a pill splitter to cut pills in half?,57,Candidly Cline,Kathryn Ormsbee
In which book does a character greet a two year-old by making an air horn sound?,61,Candidly Cline,Kathryn Ormsbee
In which book does someone shove a Goldfish cracker up their nose?,62,Candidly Cline,Kathryn Ormsbee
In which book does a character leave their first night of a new job carrying their socks and shoes in a grocery bag?,66,Candidly Cline,Kathryn Ormsbee
In which book does the main character's mom drive a Camry?,68,Candidly Cline,Kathryn Ormsbee
In which book is there a postal worker named Sarah?,69,Candidly Cline,Kathryn Ormsbee
In which book does the postal worker show up around 4:30 pm every day?,69,Candidly Cline,Kathryn Ormsbee
In which book does a character reach 100 orders on their Etsy shop?,70,Candidly Cline,Kathryn Ormsbee
In which book does a character keep reading glasses on a sequined chain around their neck?,72,Candidly Cline,Kathryn Ormsbee
In which book do characters have a celebratory dance party?,73,Candidly Cline,Kathryn Ormsbee
In which book does someone get smacked in the nose with a baton?,76,Candidly Cline,Kathryn Ormsbee
"In which book do characters play a game called ""chubby bunny""?",78,Candidly Cline,Kathryn Ormsbee
In which book does a character sign their name and phone number on a clipboard stuck to the wall?,80,Candidly Cline,Kathryn Ormsbee
In which book does a character drive a pumpkin-orange Chevy?,84,Candidly Cline,Kathryn Ormsbee
"In which book does a character drive an “ancient, pumpkin-orange Chevy” named Brenda?",84,Candidly Cline,Kathryn Ormsbee
"In which book does a character say, ""Getaway driver, at your service""?",84,Candidly Cline,Kathryn Ormsbee
In which book does a character have a bright pink bob as their hairstyle?,85,Candidly Cline,Kathryn Ormsbee
In which book is there a building with columns that look like chicken feet?,85,Candidly Cline,Kathryn Ormsbee
In which book does a character say you can't judge a firecracker by it's size?,91,Candidly Cline,Kathryn Ormsbee
"In which book is someone described by another character as ""precious""?",93,Candidly Cline,Kathryn Ormsbee
