book_key,question_type,page,text,answer,author_name,book_title,source_name
the-eyes-and-the-impossible,content,11,"What type of food does Johannes love and eat ""with gusto""?",Pupusas,Dave Eggers,The Eyes and the Impossible,OBOB Parent Group
the-eyes-and-the-impossible,content,12,Johannes says which type of animal knows nothing?,The ducks,Dave Eggers,The Eyes and the Impossible,OBOB Parent Group
the-eyes-and-the-impossible,content,18,Who are the keepers of the equilibrium?,The bison,Dave Eggers,The Eyes and the Impossible,OBOB Parent Group
the-eyes-and-the-impossible,content,25,What is the name of the gull Johannes calls his closest friend?,Bertrand,Dave Eggers,The Eyes and the Impossible,OBOB Parent Group
the-eyes-and-the-impossible,content,28,Sonja the squirrel lives much of the time in the shade of which two types of trees?,Pines and eucalyptus,Dave Eggers,The Eyes and the Impossible,OBOB Parent Group
the-eyes-and-the-impossible,content,36,A picture of a child's face shows many of which two types of objects normally seen in the sky?,Birds and stars,Dave Eggers,The Eyes and the Impossible,OBOB Parent Group
the-eyes-and-the-impossible,content,43,"God is the sun, clouds are her messengers, and rain is only what?",Rain,Dave Eggers,The Eyes and the Impossible,OBOB Parent Group
the-eyes-and-the-impossible,content,46,What does a Trouble Traveler call Johannes after throwing a blue rope around his neck?,Splotchy,Dave Eggers,The Eyes and the Impossible,OBOB Parent Group
the-eyes-and-the-impossible,content,69,Where does Johannes find Bertrand after first looking at the waterfall and garbage can?,The archery field,Dave Eggers,The Eyes and the Impossible,OBOB Parent Group
the-eyes-and-the-impossible,content,75,What would Meredith like to do if given enough room?,Run,Dave Eggers,The Eyes and the Impossible,OBOB Parent Group
the-eyes-and-the-impossible,content,85,What does Johannes call the most maniacal and wrong things humans have ever created?,The screaming sound of vehicles going backward,Dave Eggers,The Eyes and the Impossible,OBOB Parent Group
the-eyes-and-the-impossible,content,88,What color dress is the little girl who fell off the bridge wearings?,Yellow,Dave Eggers,The Eyes and the Impossible,OBOB Parent Group
the-eyes-and-the-impossible,content,91,What does a young man mistake a drowning girl for?,Hairy garbage,Dave Eggers,The Eyes and the Impossible,OBOB Parent Group
the-eyes-and-the-impossible,content,96,What kind of animal are Johnson and Sharif?,Raccoons,Dave Eggers,The Eyes and the Impossible,OBOB Parent Group
the-eyes-and-the-impossible,content,102,Name two of the things Johannes says are tired when he sleeps for weeks?,"Bones, muscles, skin, fur, eyes",Dave Eggers,The Eyes and the Impossible,OBOB Parent Group
the-eyes-and-the-impossible,content,110,What does Bertrand bring Johannes to show that he's a ridiculous clown-dog clad in pink and fake diamonds?,A piece of glass,Dave Eggers,The Eyes and the Impossible,OBOB Parent Group
the-eyes-and-the-impossible,content,123,The signs say the museum is open every day except for which day of the week?,Monday,Dave Eggers,The Eyes and the Impossible,OBOB Parent Group
the-eyes-and-the-impossible,content,127,What does Johannes decide is his higher purpose?,To liberate the bison,Dave Eggers,The Eyes and the Impossible,OBOB Parent Group
the-eyes-and-the-impossible,content,207,"Making noise, breaking some things, setting off a car alarm, and biting a human are all within which animal's power?",Squirrels or raccoons,Dave Eggers,The Eyes and the Impossible,OBOB Parent Group
the-eyes-and-the-impossible,content,,What is the name of a gull's final flight?,Coda,Dave Eggers,The Eyes and the Impossible,OBOB Parent Group
the-eyes-and-the-impossible,content,,What shape keeps putting Johannes in a trance?,Rectangles,Dave Eggers,The Eyes and the Impossible,OBOB Parent Group
the-eyes-and-the-impossible,content,124,How many humans are usually at the museum on Mondays?,About eight,Dave Eggers,The Eyes and the Impossible,OBOB Parent Group
the-eyes-and-the-impossible,content,135,What kind of flower used to grow by the windmill?,Tulips,Dave Eggers,The Eyes and the Impossible,OBOB Parent Group
the-eyes-and-the-impossible,content,143,Who helps shred and remove Johannes' sweater?,Sonja,Dave Eggers,The Eyes and the Impossible,OBOB Parent Group
the-eyes-and-the-impossible,content,145,Whose eyes are described as being like those of a cat—very bright and light?,Goats,Dave Eggers,The Eyes and the Impossible,OBOB Parent Group
the-eyes-and-the-impossible,content,148,What is described as froth rushing on a billion tiny white leegs and then crumbling to nothing?,Ocean waves,Dave Eggers,The Eyes and the Impossible,OBOB Parent Group
the-eyes-and-the-impossible,content,152,Signs appear in the park that look like Johannes but are about what animal?,Coyotes,Dave Eggers,The Eyes and the Impossible,OBOB Parent Group
the-eyes-and-the-impossible,content,,"Which goat thinks she is ""horrible, a monster, a blight""?",Helene,Dave Eggers,The Eyes and the Impossible,OBOB Parent Group
the-eyes-and-the-impossible,content,13,What is the first name of the pup chosen by Johannes' mom to live in the human lair?,Leonard,Dave Eggers,The Eyes and the Impossible,OBOB Parent Group
the-eyes-and-the-impossible,content,16,"While running like light through the park, Johannes hears a rumbling voice say what word?",Stop,Dave Eggers,The Eyes and the Impossible,OBOB Parent Group
the-eyes-and-the-impossible,content,17,How many years old does Johannes estimate Freya the Bison is?,"6,000 years old",Dave Eggers,The Eyes and the Impossible,OBOB Parent Group
the-eyes-and-the-impossible,content,18,What animals are known as the Keepers of the Equilibrium?,Bison,Dave Eggers,The Eyes and the Impossible,OBOB Parent Group
the-eyes-and-the-impossible,content,19,Name one of the types of humans who can be a problem?,Concerteers OR Campers OR Trouble Travelers,Dave Eggers,The Eyes and the Impossible,OBOB Parent Group
the-eyes-and-the-impossible,content,23,What color is the heavy cloak worn by an archer that tickeld the grass as they walked?,yellow,Dave Eggers,The Eyes and the Impossible,OBOB Parent Group
the-eyes-and-the-impossible,content,25,What is the three-word name of the place where Johannes meets with the Assistant Eyes?,Great Round Rock,Dave Eggers,The Eyes and the Impossible,OBOB Parent Group
the-eyes-and-the-impossible,content,26,What is the two-word first name of the gull who first took their final flight?,Rose-Marie,Dave Eggers,The Eyes and the Impossible,OBOB Parent Group
the-eyes-and-the-impossible,content,28,[TWO PARTS] Name the two types of trees that create shade where the squirrels live?,Pine AND Eucalyptus,Dave Eggers,The Eyes and the Impossible,OBOB Parent Group
the-eyes-and-the-impossible,content,28,What two-word greeting does Yolanda say to Bertrand?,Low Low,Dave Eggers,The Eyes and the Impossible,OBOB Parent Group
the-eyes-and-the-impossible,content,28,There is only one member of the Assistant Eyes who can read written human language. What type of animal are they?,Pelican,Dave Eggers,The Eyes and the Impossible,OBOB Parent Group
the-eyes-and-the-impossible,content,31,What day of the week are some of the roads in the park closed to cars?,Sunday,Dave Eggers,The Eyes and the Impossible,OBOB Parent Group
the-eyes-and-the-impossible,content,44,Johannes passes what type of bird sitting as a pair on the low boughs of a live oak tree?,Starling(s),Dave Eggers,The Eyes and the Impossible,OBOB Parent Group
the-eyes-and-the-impossible,content,45,What color are the grasping human hands in the rectangle that Johannes is captivated by?,Blue,Dave Eggers,The Eyes and the Impossible,OBOB Parent Group
the-eyes-and-the-impossible,content,46,What type of hat is the person wearing who puts a leash on Johannes?,Cowboy,Dave Eggers,The Eyes and the Impossible,OBOB Parent Group
the-eyes-and-the-impossible,content,46,What name is Johannes given by the person who attaches a leash to him?,Splotchy,Dave Eggers,The Eyes and the Impossible,OBOB Parent Group
the-eyes-and-the-impossible,content,52,What type of sandwich does the person who leashes Johannes try and feed him?,Turkey,Dave Eggers,The Eyes and the Impossible,OBOB Parent Group
the-eyes-and-the-impossible,content,59,"When in the van with the travelers, who does the squirrel jump to after Pamela?",Twisty,Dave Eggers,The Eyes and the Impossible,OBOB Parent Group
the-eyes-and-the-impossible,content,68,[TWO PARTS] What are the first names of two of the bison?,Freya OR Samuel OR Meredith,Dave Eggers,The Eyes and the Impossible,OBOB Parent Group
the-eyes-and-the-impossible,content,70,How many archers are present when we see Bertrand fly between the archers and their targets for the first time?,Six,Dave Eggers,The Eyes and the Impossible,OBOB Parent Group
the-eyes-and-the-impossible,content,78,"When Johannes is thinking up the bison escape plan, what is the first name of the character who Johannes thinks will be good at opening the gate?",Angus,Dave Eggers,The Eyes and the Impossible,OBOB Parent Group
the-eyes-and-the-impossible,content,82,"It is noted that ""ducks are irresponsible and self-centered"" but what type of animals ""are just plain strange""?",Loons,Dave Eggers,The Eyes and the Impossible,OBOB Parent Group
the-eyes-and-the-impossible,content,82,What is the two-word term for the people in the building full of rectangles wearing white uniforms?,Picture Police,Dave Eggers,The Eyes and the Impossible,OBOB Parent Group
the-eyes-and-the-impossible,content,87,What food item is the pond in the park shaped like?,Peanut,Dave Eggers,The Eyes and the Impossible,OBOB Parent Group
the-eyes-and-the-impossible,content,88,What is the little girl on the bridge who wears a yellow dress carrying? Be specific.,Plastic doll,Dave Eggers,The Eyes and the Impossible,OBOB Parent Group
the-eyes-and-the-impossible,content,89,What type of animal is Gregory?,Turtle,Dave Eggers,The Eyes and the Impossible,OBOB Parent Group
the-eyes-and-the-impossible,content,104,What color is the clothing brought to Johannes to wear as a disguise?,(Bright) pink,Dave Eggers,The Eyes and the Impossible,OBOB Parent Group
the-eyes-and-the-impossible,content,123,What day of the week is the museum closed?,Monday,Dave Eggers,The Eyes and the Impossible,OBOB Parent Group
the-eyes-and-the-impossible,content,127,Johannes is convinced that his purpose it to liberate what animals?,Bison,Dave Eggers,The Eyes and the Impossible,OBOB Parent Group
the-eyes-and-the-impossible,content,132,At what time of day do the Assistant Eyes meet?,Noon,Dave Eggers,The Eyes and the Impossible,OBOB Parent Group
the-eyes-and-the-impossible,content,139,Where do the weed-eating animals at the windmill come from?,main-land,Dave Eggers,The Eyes and the Impossible,OBOB Parent Group
the-eyes-and-the-impossible,content,144,What color vest does the white-haired Bison keeper wear?,Red,Dave Eggers,The Eyes and the Impossible,OBOB Parent Group
the-eyes-and-the-impossible,content,147,"What type of animal is described as ""cat-eye strangers who ate prickly plants without pause""?",Goat,Dave Eggers,The Eyes and the Impossible,OBOB Parent Group
the-eyes-and-the-impossible,content,155,What is the first name of the goat who has criss-crossed lines on their horns?,Helene,Dave Eggers,The Eyes and the Impossible,OBOB Parent Group
the-eyes-and-the-impossible,content,171,What three words does Johannes say to the cruel goats?,You dissapoint me,Dave Eggers,The Eyes and the Impossible,OBOB Parent Group
the-eyes-and-the-impossible,content,181,What letter do all the ducks' names start with?,J,Dave Eggers,The Eyes and the Impossible,OBOB Parent Group
the-eyes-and-the-impossible,content,199,Where did the arrow pierce Bertrand? Be specific.,Left wing,Dave Eggers,The Eyes and the Impossible,OBOB Parent Group
the-eyes-and-the-impossible,content,205,What kind of tall trees hold the hammock that the hammock-man lies in near the bison encloser office?,Pine,Dave Eggers,The Eyes and the Impossible,OBOB Parent Group
the-eyes-and-the-impossible,content,206,Which animals start wearing time-machines on their furry wrists?,Raccoons,Dave Eggers,The Eyes and the Impossible,OBOB Parent Group
the-eyes-and-the-impossible,content,212,Three horses are chosen for their what to help the bison excape?,Their size,Dave Eggers,The Eyes and the Impossible,OBOB Parent Group
the-eyes-and-the-impossible,content,218,What does Helene call the person who whistles for the goats to get back on the ship?,The goatherd,Dave Eggers,The Eyes and the Impossible,OBOB Parent Group
the-eyes-and-the-impossible,content,219,The goats and bison have to get over what to reach the flat stretch of beach?,The dunes,Dave Eggers,The Eyes and the Impossible,OBOB Parent Group
the-eyes-and-the-impossible,content,221,Yolanda tells Johannes that Angus said they only have a certain number of minutes to free the bison - how many minutes did Angus say they have?,Eighteen,Dave Eggers,The Eyes and the Impossible,OBOB Parent Group
the-eyes-and-the-impossible,content,226,"The ship appears to be lit by ""a million lights of white"" and what two colors?",Blue and yellow,Dave Eggers,The Eyes and the Impossible,OBOB Parent Group
the-eyes-and-the-impossible,content,226,What is Johannes' favorite thing to say?,Ha ha hoooooo!,Dave Eggers,The Eyes and the Impossible,OBOB Parent Group
the-eyes-and-the-impossible,content,236,What three words does Johannes say dozens of times while standing on a hilltop?,I could go,Dave Eggers,The Eyes and the Impossible,OBOB Parent Group
the-eyes-and-the-impossible,content,246,Who does Johannes carry to the ship on his back?,Bertrand,Dave Eggers,The Eyes and the Impossible,OBOB Parent Group
