Question,Answer
In which book does the main character’s hometown share a name with the capital of France?,Candidly Cline by Kathryn Ormsbee (p. 1)
In which book does a character require an Arnold Palmer drink with their meal?,Candidly Cline by Kathryn Ormsbee (p. 3)
In which book does a character’s grandmother live with them and their mom?,Candidly Cline by Kathryn Ormsbee (p. 8)
In which book did a character’s father die in a car accident before they were born?,Candidly Cline by Kathryn Ormsbee (p. 13)
In which book has a character and their best friend watched the movie The Princess Bride together “probably” 50 times?,Candidly Cline by Kathryn Ormsbee (p. 18)
In which book does a character give another character their rainy day fund?,Candidly Cline by Kathryn Ormsbee (p. 52)
In which book does a character reminisce about their grandparents having their first date at Magnolia Square?,Candidly Cline by Kathryn Ormsbee (p. 83)
In which book is the main character’s middle name Louise?,Candidly Cline by Kathryn Ormsbee (p. 86)
In which book does a character tell a boy they can’t go to a dance with him because they have something else going on that night?,Candidly Cline by Kathryn Ormsbee (p. 109)
In which book do characters play a game called Romans and Christians?,Candidly Cline by Kathryn Ormsbee (p. 148)
In which book do characters use a church nursery for a “prison”?,Candidly Cline by Kathryn Ormsbee (p. 155)
In which book is a character working on a school project about school lunches and plant-based milk for an earth science class?,Candidly Cline by Kathryn Ormsbee (p. 180-181)
In which book does a character’s best friend transfer to a different school without telling them?,Candidly Cline by Kathryn Ormsbee (p. 198)
In which book does a character come home from school to find a pink envelope taped to the door with $200 inside?,Candidly Cline by Kathryn Ormsbee (p. 208)
In which book does an adult share that they got a yellow rose tattoo on their arm when they were a senior in high school?,Candidly Cline by Kathryn Ormsbee (p. 234)
In which book does a character get caught in a lie when their grandmother goes missing?,Candidly Cline by Kathryn Ormsbee (p. 246)
"In Candidly Cline by Kathryn Ormsbee, what is the name of the diner where Cline’s mom works?",The Goldenrod Diner (p. 3)
"In Candidly Cline by Kathryn Ormsbee, what’s the name of the character who gives Cline the flyer about the singer-songwriter workshop?",Delia (p. 5)
"In Candidly Cline by Kathryn Ormsbee, the flyer for the singer-songwriter workshop says applications must be postmarked on or before which date?",September 16th (p. 6)
"In Candidly Cline by Kathryn Ormsbee, what’s the total price of the singer-songwriter workshop, including the application fee?",$315 (p. 6)
"In Candidly Cline by Kathryn Ormsbee, what famous singer is Cline named after?",Patsy Cline (p. 11)
"In Candidly Cline by Kathryn Ormsbee, what is the name of Cline’s school?",Dunbar Middle School (p. 19)
"In Candidly Cline by Kathryn Ormsbee, what’s the name of the character who hires Cline to work in the nursery?",Mrs. Yune (p. 23)
"In Candidly Cline by Kathryn Ormsbee, what’s the name of the playlist Cline plays on her phone when she’s in a real funk or wants to punch someone in the gut for some awful thing they said?",“Cline Kicks the World’s Butt” (p. 29)
"In Candidly Cline by Kathryn Ormsbee, what’s the slow stretch of time between lunch and supper called at the diner where Cline’s mom works?",Dead Hour (p. 43)
"In Candidly Cline by Kathryn Ormsbee, how much money is in the envelope that Cline initially gives as a first payment for the singer-songwriter workshop?",$135 (p. 87)
"In Candidly Cline by Kathryn Ormsbee, Cline makes up three facts about Sylvie Sharpe when she introduces her to the workshop class. Name two of them.","(1) She’s sensitive to fluorescent lights, (2) she has a cartilage piercing, and (3) she really likes naps (p. 97)"
"In Candidly Cline by Kathryn Ormsbee, Sylvie gives Cline a list of five rock musicians to listen to. Name two of them.","Joan Jett, Stevie Nicks, Brittany Howard, Janis Joplin, Courtney Love (p. 141)"
"In Candidly Cline by Kathryn Ormsbee, what title do Cline and Sylvie give the name of their song?",Destination Unknown (p. 185)
"In Candidly Cline by Kathryn Ormsbee, what’s the name of the festival that Cline and Sylvie audition for?",The Daylight Saving Bluegrass Festival (p. 189)
"In Candidly Cline by Kathryn Ormsbee, how long does Cline get grounded for when she gets in trouble with her mom for hiding the singer-songwriter workshop from her?",A month (p. 250)
"In Candidly Cline by Kathryn Ormsbee, who comes to Cline’s house to persuade her mom to let her audition for the music festival with Sylvie?",Mrs. Johnson (p. 259)
