book_key,question_type,page,text,answer,author_name,book_title,source_name
legends-and-lattes,content,1,What is the name of the monster that Viv defeats in the prologue?,Scalvert Queen,Travis Baldree,Legends & Lattes,OBOB Parent Group
legends-and-lattes,content,3,How many years had Viv been adventuring for before she retired?,Twenty-two,Travis Baldree,Legends & Lattes,OBOB Parent Group
legends-and-lattes,content,9,"Where does Laney direct Viv to go search for Ansom, the owner of the building that Viv wants to buy?",Rawbone Alley,Travis Baldree,Legends & Lattes,OBOB Parent Group
legends-and-lattes,content,11,What does Viv offer Ansom in exchange for the deed to the old livery?,8 platinum chits,Travis Baldree,Legends & Lattes,OBOB Parent Group
legends-and-lattes,content,13,What is the address of the locksmith business Markev and Sons?,827 Mason's Lane,Travis Baldree,Legends & Lattes,OBOB Parent Group
legends-and-lattes,content,19,What is Cal's full first name?,Calamity,Travis Baldree,Legends & Lattes,OBOB Parent Group
legends-and-lattes,content,32,What is the name of the gnomish city where Viv first came across coffee?,Azimuth,Travis Baldree,Legends & Lattes,OBOB Parent Group
legends-and-lattes,content,42,"How much money is the going rate for the involuntary donation to The Madgrial, according to Lack?",One sovereign and two silvers,Travis Baldree,Legends & Lattes,OBOB Parent Group
legends-and-lattes,content,46,What is the full name of the gnomish barista who invented lattes?,Latte Diameter,Travis Baldree,Legends & Lattes,OBOB Parent Group
legends-and-lattes,content,52,"After Viv suggests 3 silver, 8 bits as a weekly pay, what amount does Tandri ask for?",Four silver,Travis Baldree,Legends & Lattes,OBOB Parent Group
legends-and-lattes,content,58,Who from Viv's old adventuring party comes to visit her and delivers the coffee machine?,Roon,Travis Baldree,Legends & Lattes,OBOB Parent Group
legends-and-lattes,content,61,What does Roon give to Viv so she can contact him before Roon leaves?,A Blink Stone,Travis Baldree,Legends & Lattes,OBOB Parent Group
legends-and-lattes,content,69,What baked good does Laney gift to Viv after Viv gets a sign for the cafe?,A fig cake,Travis Baldree,Legends & Lattes,OBOB Parent Group
legends-and-lattes,content,80,How many people are lined up at the door of the cafe on it's second day of opening to get free samples?,Three,Travis Baldree,Legends & Lattes,OBOB Parent Group
legends-and-lattes,content,90,What is the name of the Ackers student to visits the cafe to study ley lines?,Hemington,Travis Baldree,Legends & Lattes,OBOB Parent Group
legends-and-lattes,content,96,What does Tandri suggest naming the dire-cat who mysteriously appears in the cafe?,Amity,Travis Baldree,Legends & Lattes,OBOB Parent Group
legends-and-lattes,content,103,What baked good does Thimble make Viv and Tandri that they start sellling at the cafe?,Cinnamon rolls,Travis Baldree,Legends & Lattes,OBOB Parent Group
legends-and-lattes,content,121,What hard to find spice does Viv buy to be used in thimblets?,Cardamom,Travis Baldree,Legends & Lattes,OBOB Parent Group
legends-and-lattes,content,125,What are the cardamum desserts named after Thimble called?,Thimblets,Travis Baldree,Legends & Lattes,OBOB Parent Group
legends-and-lattes,content,138,Which member of Viv's old party doesn't come when she summons them with the blink stone?,Fennus,Travis Baldree,Legends & Lattes,OBOB Parent Group
