Question,Answer
In which book does the main character come home to a police car in their driveway?,Counting by 7s by Holly Goldberg Sloan (p. 4)
In which book does a character weep when they are happy but is quiet when they are sad?,Counting by 7s by Holly Goldberg Sloan (p. 11)
In which book does a character’s middle school have a sequoia tree as a mascot?,Counting by 7s by Holly Goldberg Sloan (p. 23)
In which book is a character drawn to choose glasses that look like the ones Gandhi wore?,Counting by 7s by Holly Goldberg Sloan (p. 26)
In which book does a school counselor break students into four groups?,Counting by 7s by Holly Goldberg Sloan (p. 43)
In which book did a character say they once played chess for 20 hours straight and experienced signs of mild psychosis?,Counting by 7s by Holly Goldberg Sloan (p. 52)
In which book does a character watch a documentary about the animals of Madagascar?,Counting by 7s by Holly Goldberg Sloan (p. 58)
In which book does a character learn some expressions in Vietnamese to make a connection with a new friend?,Counting by 7s by Holly Goldberg Sloan (p. 88)
In which book does a character write a note to another character about the mole on their neck?,Counting by 7s by Holly Goldberg Sloan (p. 97)
In which book does a character die in a car crash shortly after a cancer diagnosis?,Counting by 7s by Holly Goldberg Sloan (p. 104)
In which book does a family live in a garage?,Counting by 7s by Holly Goldberg Sloan (p. 123)
In which book does a character wear green shoes with no laces?,Counting by 7s by Holly Goldberg Sloan (p. 158)
In which book is every character given helium balloons at a funeral?,Counting by 7s by Holly Goldberg Sloan (p. 171)
In which book does a character decide reality is a blender where hopes and dreams are mixed with fear and despair?,Counting by 7s by Holly Goldberg Sloan (p. 176)
In which book does a character have a patio set inside their apartment?,Counting by 7s by Holly Goldberg Sloan (p. 190)
"In Counting by 7s by Holly Goldberg Sloan, what ingredient makes chocolate harden into a shell?",Wax (p. 2)
"In Counting by 7s by Holly Goldberg Sloan, what is Dell Duke’s job?",School counselor (p. 7)
"In Counting by 7s by Holly Goldberg Sloan, what is Willow’s favorite color?",Red (p. 20)
"In Counting by 7s by Holly Goldberg Sloan, what is Willow’s one true companion named?",Margaret Z. Buckle (p. 22)
"In Counting by 7s by Holly Goldberg Sloan, what does Willow use instead of a backpack on her first day of middle school?",A red wheeled suitcase (p. 30)
"In Counting by 7s by Holly Goldberg Sloan, what kind of candy does Dell Duke have on his desk?",A large jar of jelly beans (p. 49)
"In Counting by 7s by Holly Goldberg Sloan, what is the name of Mai and Quang-ha’s mother’s nail salon?",Happy Polish Nails (p. 70)
"In Counting by 7s by Holly Goldberg Sloan, what is the name of Dell Duke’s cat?",Cheddar (p. 75)
"In Counting by 7s by Holly Goldberg Sloan, how many shades of nail polish does Pattie’s nail salon carry?",More than 100 (p. 117)
"In Counting by 7s by Holly Goldberg Sloan, whose address does Pattie provide to Child Protective Services?",Dell Duke’s (p. 187)
"In Counting by 7s by Holly Goldberg Sloan, what is the name of Dell Duke’s apartment complex?",The Gardens of Glenwood (p. 194)
"In Counting by 7s by Holly Goldberg Sloan, what do Quang-ha and Willow place over the skylight in Dell’s apartment?",Broken glass to look like a stained glass window (p. 205)
"In Counting by 7s by Holly Goldberg Sloan, what is the name of Willow’s case worker from Child Protective Service?",Lenore Cole (p. 209)
"In Counting by 7s by Holly Goldberg Sloan, what kind of seeds does Dell bring to Willow to plant?",Sunflower (p. 240)
"In Counting by 7s by Holly Goldberg Sloan, how much money did Jairo win by being the millionth customer?","$20,000 (p. 248)"
"In Counting by 7s by Holly Goldberg Sloan, what is Dell Duke’s apartment number in Glenwood Gardens?",#28 (p. 296)
