book_key,question_type,page,text,answer,author_name,book_title,source_name
escape-from-mr-lemoncellos-library,content,1,what is Kyle's last name?,Keeley,Chris Grabenstein,Escape from Mr. Lemoncello's Library,OBOB Parent Group
escape-from-mr-lemoncellos-library,content,2,"which brother does Kyle say is a ""total jock""?",Mike,Chris Grabenstein,Escape from Mr. Lemoncello's Library,OBOB Parent Group
escape-from-mr-lemoncellos-library,content,2,how old is Mike?,17 years old,Chris Grabenstein,Escape from Mr. Lemoncello's Library,OBOB Parent Group
escape-from-mr-lemoncellos-library,content,2,what is the name of Kyle's fifteen-year-old brother?,Curtis,Chris Grabenstein,Escape from Mr. Lemoncello's Library,OBOB Parent Group
escape-from-mr-lemoncellos-library,content,2,how old is Kyle?,12 years old,Chris Grabenstein,Escape from Mr. Lemoncello's Library,OBOB Parent Group
escape-from-mr-lemoncellos-library,content,6,"Two-Part: After breaking the window, how much money does Kyle get deducted from his allowance, and for how long?",50 cents; for the rest of the year,Chris Grabenstein,Escape from Mr. Lemoncello's Library,OBOB Parent Group
escape-from-mr-lemoncellos-library,content,7,"what is the name of the ""world-famous"" librarian who works at Alexandraiville's new public library?",Dr. Yanina Zinchenko,Chris Grabenstein,Escape from Mr. Lemoncello's Library,OBOB Parent Group
escape-from-mr-lemoncellos-library,content,7,how long has the new public library been under construction?,Five years,Chris Grabenstein,Escape from Mr. Lemoncello's Library,OBOB Parent Group
escape-from-mr-lemoncellos-library,content,13,what one game did Kyle's mom have on her computer?,Diner Dash,Chris Grabenstein,Escape from Mr. Lemoncello's Library,OBOB Parent Group
escape-from-mr-lemoncellos-library,content,20,"what is the first and last name of the character whose family's motto is ""Knowledge is power""?",Charles Chiltington,Chris Grabenstein,Escape from Mr. Lemoncello's Library,OBOB Parent Group
escape-from-mr-lemoncellos-library,content,21,what is the first and last name of the character who is the president of the school's Library Aide Society?,Miguel Fernandez,Chris Grabenstein,Escape from Mr. Lemoncello's Library,OBOB Parent Group
escape-from-mr-lemoncellos-library,content,21,state the exact two sentences that Kyle wrote for his extra-credit essay.,"""Balloons.  There might be ballons.""",Chris Grabenstein,Escape from Mr. Lemoncello's Library,OBOB Parent Group
escape-from-mr-lemoncellos-library,content,23,"what is Mr. Lemoncello's ""first and probably most famous game""?",Family Frenzy,Chris Grabenstein,Escape from Mr. Lemoncello's Library,OBOB Parent Group
escape-from-mr-lemoncellos-library,content,25,"what is the first and last name of the character who Miguel says is, ""probably on of [his] top library aides""?",Andrew Peckleman,Chris Grabenstein,Escape from Mr. Lemoncello's Library,OBOB Parent Group
escape-from-mr-lemoncellos-library,content,25,what is the name of Kyle's school librarian?,Mrs. Yunghans,Chris Grabenstein,Escape from Mr. Lemoncello's Library,OBOB Parent Group
escape-from-mr-lemoncellos-library,content,26,"what is the first and last name of the ""Princess of 7th grade""?",Haley Daley,Chris Grabenstein,Escape from Mr. Lemoncello's Library,OBOB Parent Group
escape-from-mr-lemoncellos-library,content,37,what is the name of the song that Mr. Lemoncello's shoes were squeaking out at the assembly?,"""Pop Goes the Weasel""",Chris Grabenstein,Escape from Mr. Lemoncello's Library,OBOB Parent Group
escape-from-mr-lemoncellos-library,content,40,what number does Kyle have on his library card?,12,Chris Grabenstein,Escape from Mr. Lemoncello's Library,OBOB Parent Group
escape-from-mr-lemoncellos-library,content,40,Two-Part: List the two book titles that Kyle has on the back of his library card.,"I Love You, Stinky Face and The Napping House",Chris Grabenstein,Escape from Mr. Lemoncello's Library,OBOB Parent Group
escape-from-mr-lemoncellos-library,content,50,"Two-Part: list two of the three ""short words"" that Mr. Lemoncello says before the library lock-in begins.","short, memorandum, and underpants",Chris Grabenstein,Escape from Mr. Lemoncello's Library,OBOB Parent Group
escape-from-mr-lemoncellos-library,content,70,what are the names of the twin brother security guards at Mr. Lemoncello's library?,Clarence and Clement,Chris Grabenstein,Escape from Mr. Lemoncello's Library,OBOB Parent Group
