book_key,question_type,page,text,answer,author_name,book_title,source_name
the-magical-imperfect,content,0,what are two of the words that float in Etan's drawing of a blue river?,"Any two: baseball, Jordan, mother, Malia, Shabbat, candles, challah, family",Chris Baron,The Magical Imperfect,OBOB Practice-Question Coalition
the-magical-imperfect,content,1,what is the name of Etan's former best friend?,Jordan,Chris Baron,The Magical Imperfect,OBOB Practice-Question Coalition
the-magical-imperfect,content,1,What kind of drill does Etan's school make the kids do each week?,Earthquake,Chris Baron,The Magical Imperfect,Beaverton City Library
the-magical-imperfect,content,3,what medical condition does Etan have?,Selective Mutism,Chris Baron,The Magical Imperfect,OBOB Practice-Question Coalition
the-magical-imperfect,content,3,what type of shop does Etan's grandfather own?,Jewelry,Chris Baron,The Magical Imperfect,OBOB Practice-Question Coalition
the-magical-imperfect,content,3,What job does Etan's father work?,A builder,Chris Baron,The Magical Imperfect,Beaverton City Library
the-magical-imperfect,content,4,what type of ice cream would Etan get after Little League games?,Rocky Road,Chris Baron,The Magical Imperfect,OBOB Practice-Question Coalition
the-magical-imperfect,content,4,what would Mom buy after Little League games?,Rocky Road ice cream,Chris Baron,The Magical Imperfect,Lake Oswego Public Library
the-magical-imperfect,content,4,What was Etan's favorite ice cream flavor?,Rocky Road,Chris Baron,The Magical Imperfect,Beaverton City Library
the-magical-imperfect,content,5,how often can Etan visit his mom?,Once a month.,Chris Baron,The Magical Imperfect,OBOB Practice-Question Coalition
the-magical-imperfect,content,5,What did Etan's mother say the city's heart was?,The hospital,Chris Baron,The Magical Imperfect,Beaverton City Library
the-magical-imperfect,content,7,what street has the oldest shops in Ship's Haven?,Main Street,Chris Baron,The Magical Imperfect,OBOB Practice-Question Coalition
the-magical-imperfect,content,7,which character remembers when there were more wagons pulled by horses than cars on the road?,Mrs. Li,Chris Baron,The Magical Imperfect,OBOB Practice-Question Coalition
the-magical-imperfect,content,7,What street has the oldest shops in Ship's Haven?,Main Street,Chris Baron,The Magical Imperfect,Beaverton City Library
the-magical-imperfect,content,8,what is the name of Etan's neighbor?,Mrs. Hershkowitz,Chris Baron,The Magical Imperfect,OBOB Practice-Question Coalition
the-magical-imperfect,content,9,which candy shop sells crystal clear rock candy?,Dimitri's Candy Shop,Chris Baron,The Magical Imperfect,OBOB Practice-Question Coalition
the-magical-imperfect,content,11,what is the name of the bakery owner?,Mr. Cohen,Chris Baron,The Magical Imperfect,OBOB Practice-Question Coalition
the-magical-imperfect,content,11,what two items does Etan order from the bakery for his grandfather?,One salt bagel and one (black) coffee,Chris Baron,The Magical Imperfect,OBOB Practice-Question Coalition
the-magical-imperfect,content,12,what kind of shop does Etan’s Grandfather work in?,A jewelry shop,Chris Baron,The Magical Imperfect,Lake Oswego Public Library
the-magical-imperfect,content,15,what was on the silver medal Etan's grandfather made for him?,A boy flexing his muscles,Chris Baron,The Magical Imperfect,OBOB Practice-Question Coalition
the-magical-imperfect,content,19,what is Mrs. Hershkowitz's first name?,Ruth,Chris Baron,The Magical Imperfect,OBOB Practice-Question Coalition
the-magical-imperfect,content,21,What is Etan's favorite errand to do for his neighbor?,Walking the dog,Chris Baron,The Magical Imperfect,Beaverton City Library
the-magical-imperfect,content,22,what is the name of the dog that Etan walks?,Buddy,Chris Baron,The Magical Imperfect,OBOB Practice-Question Coalition
the-magical-imperfect,content,22,what is the name of Buddy's owner?,Mrs. Hershkowitz,Chris Baron,The Magical Imperfect,OBOB Practice-Question Coalition
the-magical-imperfect,content,22,what is the name of Mrs Hershkowitz's dog?,Buddy,Chris Baron,The Magical Imperfect,OBOB Practice-Question Coalition
the-magical-imperfect,content,25,what language does Mrs. Hershkowitz speak that Etan can't understand?,Yiddish,Chris Baron,The Magical Imperfect,OBOB Practice-Question Coalition
the-magical-imperfect,content,27,what road does Malia live on?,Forest Road,Chris Baron,The Magical Imperfect,OBOB Practice-Question Coalition
the-magical-imperfect,content,27,what is Malia's address?,1401 Forest Road,Chris Baron,The Magical Imperfect,OBOB Practice-Question Coalition
the-magical-imperfect,content,28,what town does Etan live in?,Ship's Haven,Chris Baron,The Magical Imperfect,OBOB Practice-Question Coalition
