book_key,question_type,page,text,answer,author_name,book_title,source_name
all-my-rage,content,25,"Who tells Misbah she will have three children: ""A boy. A girl. And a third that is not she, nor he, nor of the third gender."" ?",A fortune teller,Sabaa Tahir,All My Rage,OBOB Parent Group
all-my-rage,content,,Excerpts of a poem by Elizabeth Bishop are repeated throughout the book.  What is the name of the poem?,"""One Art""",Sabaa Tahir,All My Rage,OBOB Parent Group
all-my-rage,content,3,"What town and country is Salahudin's mother, Misbah from ?","Lahore, Pakistan",Sabaa Tahir,All My Rage,OBOB Parent Group
all-my-rage,content,4,what does Salahudin call his father?,Abu,Sabaa Tahir,All My Rage,OBOB Parent Group
all-my-rage,content,,what phrase does Salahudin repeat to himself to self-soothe?,"""Breathe. Five seconds in. Seven seconds out.""",Sabaa Tahir,All My Rage,OBOB Parent Group
all-my-rage,content,9,"What is the name of Ashlee's cousin who supplies ""most of Juniper High with narcotics""",Art (Art Britman),Sabaa Tahir,All My Rage,OBOB Parent Group
all-my-rage,content,16,"According to Noor, what is the only thing she has and her uncle have in common is their love for what?",Nineties Music,Sabaa Tahir,All My Rage,OBOB Parent Group
all-my-rage,content,18,How many colleges did Noor apply to?,Seven,Sabaa Tahir,All My Rage,OBOB Parent Group
all-my-rage,content,28,What does Noor call Salahudin's mom?,Auntie,Sabaa Tahir,All My Rage,OBOB Parent Group
all-my-rage,content,43,What is Auntie Misbah's last word she spoke to Noor?,"""Forgive""",Sabaa Tahir,All My Rage,OBOB Parent Group
all-my-rage,content,54,What Johnny Cash and U2 song did Ama love?,"""The Wanderer""",Sabaa Tahir,All My Rage,OBOB Parent Group
all-my-rage,content,57,What is the name of the motel that Salahudin and his family run?,The Cloud's Rest Inn Motel,Sabaa Tahir,All My Rage,OBOB Parent Group
all-my-rage,content,102,What room at the motel makes him sick to go in (and even to look at or smell)?,the laundry room,Sabaa Tahir,All My Rage,OBOB Parent Group
all-my-rage,content,109,What college does Noor's nemesis get in to?,Princeton,Sabaa Tahir,All My Rage,OBOB Parent Group
all-my-rage,content,114,Who doesn't want Noor to go to college?,Chachu (her uncle),Sabaa Tahir,All My Rage,OBOB Parent Group
all-my-rage,content,131,"Who says: ""The more you ask for the better.  Because it means you've put your faith into something greater than yourself.""",Ama/Misbah,Sabaa Tahir,All My Rage,OBOB Parent Group
all-my-rage,content,141,Noor recites the details of Chachu saving her every time he abuses her or she thinks of him with rageful thoughts.  In this recitation what does she say was ripped out of his hands?,His nails,Sabaa Tahir,All My Rage,OBOB Parent Group
all-my-rage,content,155,"When was the first time Misbah ever saw Toufiq ""lose himself in drink""?",the day his parents were killed,Sabaa Tahir,All My Rage,OBOB Parent Group
