In which book Questions,Page #,Title,Author
"In which book are dogs said to be ""growling and yapping""?",2,Freewater,Amina Luqman-Dawson
In which book do characters run into a dark forest as they try to run away from growling and yapping dogs?,2,Freewater ,Amina Luqman-Dawson
In which book does a character's ankle get bitten by a dog?,3,Freewater ,Amina Luqman-Dawson
"In which book do characters jump into a river, even though they can't swim?",4,Freewater,Amina Luqman-Dawson
"In which book does a character liken everything to ""monsters and angels""?",5,Freewater,Amina Luqman-Dawson
In which book does a character consider the most important rule in order to survive was being invisible?,7,Freewater ,Amina Luqman-Dawson
"In which book does a character learn that ""all attention, even the good kind, could be dangerous?"" ",7,Freewater ,Amina Luqman-Dawson
"In which book is a character proud of ""driving enslaved souls in the fields until they could hardly stand from exhaustion""?",11,Freewater ,Amina Luqman-Dawson
In which book do characters play a game of balancing playing cards on their noses?,12,Freewater,Amina Luqman-Dawson
In which book does a character keep chewing and spitting tobacco on the ground as they talked with someone?,16,Freewater ,Amina Luqman-Dawson
In which book does a character step into a sinkhole?,20,Freewater,Amina Luqman-Dawson
In which book does a snake coil around a character's legs?,21,Freewater,Amina Luqman-Dawson
"In which book is a character's skin described as ""sweet, deep, glowing hickory brown""?",23,Freewater ,Amina Luqman-Dawson
In which book does a character shoot a flaming arrow that strikes dry leaves causing a swamp fire?,26,Freewater ,Amina Luqman-Dawson
In which book does a character use an ax to clear a path?,28,Freewater,Amina Luqman-Dawson
"In which book does a character say that ""green water is better than no water.""?",34,Freewater ,Amina Luqman-Dawson
In which book does a character have a mark on their face that is said to resemble an octopus?,45,Freewater,Amina Luqman-Dawson
In which book does a bear come out of the thicket and run after two people?,60,Freewater ,Amina Luqman-Dawson
"In which book is a character said to have a ""what's this"" trap?",66,Freewater,Amina Luqman-Dawson
In which book do characters cross a sky bridge made out of rope?,71,Freewater ,Amina Luqman-Dawson
"In which book does a character know how to shear a sheep, change a horseshoe, and prune roses?",74,Freewater,Amina Luqman-Dawson
"In which book does a character have a dream about catching ""the beast""?",81,Freewater,Amina Luqman-Dawson
"In which book does a character stir a bowl with herbs, acorns, and berries?",82,Freewater,Amina Luqman-Dawson
In which book is a character making a wooden bracelet?,87,Freewater,Amina Luqman-Dawson
"In which book does a character say, ""You have to believe you can hit something, if you ever expect to do it""?",98,Freewater,Amina Luqman-Dawson
"In which book is it said that a character sees things ""as they were meant to be""?",108,Freewater,Amina Luqman-Dawson
"In which book does a character make ""maypop water""?",114,Freewater,Amina Luqman-Dawson
"In which book do characters form a ""Memory Circle""?",121,Freewater,Amina Luqman-Dawson
"In which book does a character's mother say, ""I am your mother in this hard world. My work is not to make you happy""?",128,Freewater,Amina Luqman-Dawson
In which book does the leader of a meeting ask for everyone's agreement?,130,Freewater,Amina Luqman-Dawson
"In which book are there characters named Wisdom, Faith and Jupiter?",138,Freewater ,Amina Luqman-Dawson
In which book is a barn set on fire?,139,Freewater,Amina Luqman-Dawson
"In which book is a character the ""conductor"" of a ""fire opera""?",139,Freewater,Amina Luqman-Dawson
In which book does a character sneak into their father's library to get a cloth colored book about flowers?,142,Freewater ,Amina Luqman-Dawson
In which book do characters drink water from wooden bowls?,156,Freewater,Amina Luqman-Dawson
In which book does a character slice off a thin branch from a tree to turn into a walking stick for a girl?,162,Freewater ,Amina Luqman-Dawson
In which book do characters eat grapes dipped in honey?,164,Freewater ,Amina Luqman-Dawson
In which book is burned chicken the first step in a plan?,167,Freewater,Amina Luqman-Dawson
In which book does a character bury a jar?,172,Freewater,Amina Luqman-Dawson
"In which book is it said that ""your whole world can change in twenty-one days""?",182,Freewater,Amina Luqman-Dawson
In which book does a character's shoulder have a raised C-mark like a curved serpent slithering under their deep brown skin?,184,Freewater ,Amina Luqman-Dawson
In which book does a character pin a hem on a dress?,192,Freewater,Amina Luqman-Dawson
In which book do characters make rope from wood?,196,Freewater,Amina Luqman-Dawson
In which book is there a stand off between two characters who tried to claim a spot and tree as theirs?,196,Freewater ,Amina Luqman-Dawson
In which book does a pig fall off an edge?,202,Freewater,Amina Luqman-Dawson
In which book is a character surprised when another character has matches?,225,Freewater,Amina Luqman-Dawson
"In which book is it said that characters ""silently screamed""?",247,Freewater,Amina Luqman-Dawson
In which book does a character steal whiskey?,250,Freewater,Amina Luqman-Dawson
In which book does a character throw shoes into a body of water?,257,Freewater,Amina Luqman-Dawson
In which book does a cornfield catch fire?,273,Freewater,Amina Luqman-Dawson
In which book is a character told to sleep in the toolshed?,297,Freewater,Amina Luqman-Dawson
In which book are there militiamen roaming the property during a wedding?,298,Freewater ,Amina Luqman-Dawson
In which book is a boat carried up a tree?,302,Freewater,Amina Luqman-Dawson
In which book does a character throw up over the side of a bridge?,306,Freewater,Amina Luqman-Dawson
In which book do characters agree on the sound for a warning call?,308,Freewater,Amina Luqman-Dawson
"In which book does a character pack dresses, a baby doll, smoked meat and biscuits, and a knife in a backpack?",313,Freewater ,Amina Luqman-Dawson
In which book does a character hide bags behind a bale of hay?,315,Freewater,Amina Luqman-Dawson
In which book do characters walk in a zig-zag line to avoid traps?,319,Freewater,Amina Luqman-Dawson
In which book is a door hidden behind a wall of vines?,323,Freewater,Amina Luqman-Dawson
In which book is a white powder dabbed onto a character's face?,330,Freewater,Amina Luqman-Dawson
"In which book is a character known as their ""mother's student""?",333,Freewater,Amina Luqman-Dawson
"In which book does a character describe seeing platters of meat, creamed vegetables and gravies piled high in the kitchen?",340,Freewater ,Amina Luqman-Dawson
In which book does a character have a vision of sheep and puffy clouds?,341,Freewater,Amina Luqman-Dawson
In which book do cakes and cookies slide to the floor?,362,Freewater,Amina Luqman-Dawson
In which book does a character cut someone with a knife?,369,Freewater,Amina Luqman-Dawson
In which book does a character use their friend's knife to get away from their captors?,369,Freewater ,Amina Luqman-Dawson
In which book do two characters sprint across a grass lawn?,370,Freewater,Amina Luqman-Dawson
In which book is there an incident of flaming arrows being shot and landing on tents?,379,Freewater ,Amina Luqman-Dawson
In which book is a wedding reception interrupted by a fire?,380,Freewater,Amina Luqman-Dawson
In which book does a character get trapped under a table?,383,Freewater,Amina Luqman-Dawson
In which book does a character smash a chair?,383,Freewater,Amina Luqman-Dawson
