book_key,question_type,page,text,answer,author_name,book_title,source_name
the-remarkable-rescue-at-milkweed-meadow,content,1,How do the squirrels tail's get stuck together?,sap,Elaine Dimopoulos,The Remarkable Rescue at Milkweed Meadow,OBOB.dog Community
the-remarkable-rescue-at-milkweed-meadow,content,2,What color is Butternut's fur described as? Be specific.,Wet wheat,Elaine Dimopoulos,The Remarkable Rescue at Milkweed Meadow,OBOB Parent Group
the-remarkable-rescue-at-milkweed-meadow,content,3,What is the name of the dove that Blue talks to under the feeder?,Culver,Elaine Dimopoulos,The Remarkable Rescue at Milkweed Meadow,OBOB Parent Group
the-remarkable-rescue-at-milkweed-meadow,content,6,Who is the eldest of Butternut's rabbit siblings?,Kale,Elaine Dimopoulos,The Remarkable Rescue at Milkweed Meadow,OBOB Parent Group
the-remarkable-rescue-at-milkweed-meadow,content,8,Name two of Butternut's sisters.,"Lavender, Clover, Thistle, Goosegrasee, Baby Sweetcorn",Elaine Dimopoulos,The Remarkable Rescue at Milkweed Meadow,OBOB Parent Group
the-remarkable-rescue-at-milkweed-meadow,content,8,Name two of Butternut's brothers.,"Kale, Chicory, Watercress, Mallow",Elaine Dimopoulos,The Remarkable Rescue at Milkweed Meadow,OBOB Parent Group
the-remarkable-rescue-at-milkweed-meadow,content,12,What kind of rabbit is Bun Bun?,Eastern Cottontail,Elaine Dimopoulos,The Remarkable Rescue at Milkweed Meadow,OBOB Parent Group
the-remarkable-rescue-at-milkweed-meadow,content,15,What did Bun Bun change their name to when they escaped to the forest?,Sage,Elaine Dimopoulos,The Remarkable Rescue at Milkweed Meadow,OBOB Parent Group
the-remarkable-rescue-at-milkweed-meadow,content,,Name 2 things that Grandmother Sage taught her kits.,"Stories Matter, Rabbits Have Dignity, Stay Alive",Elaine Dimopoulos,The Remarkable Rescue at Milkweed Meadow,OBOB Parent Group
the-remarkable-rescue-at-milkweed-meadow,content,17,What is the name of the animal that can eat milkweed?,Monarch caterpillars,Elaine Dimopoulos,The Remarkable Rescue at Milkweed Meadow,OBOB Parent Group
