book_key,question_type,page,text,answer,author_name,book_title,source_name
starfish,content,0,[Two Parts] Ellie's dad books a trip to see fall foliage. To what two U.S. States does Ellie mention they will travel?,ANY TWO: Vermont; New Hampshire; New York,Lisa Fipps,Starfish,OBOB Practice-Question Coalition
starfish,content,0,In what city and state does Lisa Fipps live?,"Kokomo, Indiana",Lisa Fipps,Starfish,OBOB Practice-Question Coalition
starfish,content,2,what is Ellie's full name?,Eliana Elizabeth Montgomery Hofstein,Lisa Fipps,Starfish,OBOB Practice-Question Coalition
starfish,content,2,"What is Ellie's full, four-part name?",Eliana Elizabeth Montgomery-Hofstein,Lisa Fipps,Starfish,OBOB Practice-Question Coalition
starfish,content,2,What is Eliana's middle name?,Elizabeth,Lisa Fipps,Starfish,OBOB Practice-Question Coalition
starfish,content,2,Who is Eliana's best friend who moves away?,Viv,Lisa Fipps,Starfish,OBOB Practice-Question Coalition
starfish,content,2,What is Eliana's nickname given to her after a birthday party?,Splash,Lisa Fipps,Starfish,OBOB Practice-Question Coalition
starfish,content,2,How old was Eliana when the made the splashiest cannonball ever?,5,Lisa Fipps,Starfish,OBOB Practice-Question Coalition
starfish,content,2,what is the name of Ellie’s best friend?,Viv,Lisa Fipps,Starfish,Lake Oswego Public Library
starfish,content,2,Who was Eliana's best friend's name?,Viv,Lisa Fipps,Starfish,Beaverton City Library
starfish,content,3,what is Ellie's sister's name?,Anais,Lisa Fipps,Starfish,OBOB Practice-Question Coalition
starfish,content,3,"How old did Ellie turn when her sister nick-named her ""Splash""?",Five,Lisa Fipps,Starfish,OBOB Practice-Question Coalition
starfish,content,3,What is the first name of Ellie's brother?,Liam,Lisa Fipps,Starfish,OBOB Practice-Question Coalition
starfish,content,3,who first gives Ellie the nickname Splash?,"Ellie’s sister, Anais",Lisa Fipps,Starfish,Lake Oswego Public Library
starfish,content,5,Ellie has a list in her diary. What is the three-word title of the list? Must be exact.,Fat Girl Rules,Lisa Fipps,Starfish,OBOB Practice-Question Coalition
starfish,content,5,What is the list that Eliana makes for herself called?,Fat Girl Rules,Lisa Fipps,Starfish,OBOB Practice-Question Coalition
starfish,content,5,what list is in Ellie’s diary?,List of Fat Girl Rules,Lisa Fipps,Starfish,Lake Oswego Public Library
starfish,content,8,which state does Viv move to?,Indiana,Lisa Fipps,Starfish,OBOB Practice-Question Coalition
starfish,content,8,where does Viv learn to bellydance? Must be specific.,Dallas Public Library,Lisa Fipps,Starfish,OBOB Practice-Question Coalition
starfish,content,8,what is Ellie's dog's name?,Gigi,Lisa Fipps,Starfish,OBOB Practice-Question Coalition
starfish,content,8,Viv and her mother move to another U.S. State. To which state do they move?,Indiana,Lisa Fipps,Starfish,OBOB Practice-Question Coalition
starfish,content,8,What is the name of the establishment where Viv learned to belly dance?,Dallas Public Library,Lisa Fipps,Starfish,OBOB Practice-Question Coalition
starfish,content,8,What is the name of Ellie's dog?,Gigi,Lisa Fipps,Starfish,OBOB Practice-Question Coalition
starfish,content,8,What state does Viv move to?,Indiana,Lisa Fipps,Starfish,OBOB Practice-Question Coalition
starfish,content,8,What is Eliana's dog's name?,Gigi,Lisa Fipps,Starfish,OBOB Practice-Question Coalition
starfish,content,8,"what breed is Ellie’s dog, Gigi?",A pug,Lisa Fipps,Starfish,Lake Oswego Public Library
starfish,content,8,What state was Viv moving to?,Indiana,Lisa Fipps,Starfish,Beaverton City Library
starfish,content,8,What did Eliana stream as a party for Viv going away?,The Latin Music Festival,Lisa Fipps,Starfish,Beaverton City Library
starfish,content,8,What kind of dog did Eliana and her family own?,A pug,Lisa Fipps,Starfish,Beaverton City Library
starfish,content,9,what is the full name of Ellie's new neighbor?,Catalina Rodriguez,Lisa Fipps,Starfish,OBOB Practice-Question Coalition
starfish,content,9,which music group do Ellie and Catalina bond over?,Dias Divertidos,Lisa Fipps,Starfish,OBOB Practice-Question Coalition
starfish,content,9,what two music genres does El like best?,Rap and country,Lisa Fipps,Starfish,OBOB Practice-Question Coalition
starfish,content,9,"What is the full first and last name of Ellie's new neighbor, whom she originally refers to as ""trampoline girl""?",Catalina Rodriguez,Lisa Fipps,Starfish,OBOB Practice-Question Coalition
starfish,content,10,"[Two Parts] Ellie says that she loves music because of the lyrics. Which two types of music does she say are her ""faves""?",Rap AND Country,Lisa Fipps,Starfish,OBOB Practice-Question Coalition
starfish,content,10,What musical instrument does Catalina Rodriguez play?,guitar,Lisa Fipps,Starfish,OBOB Practice-Question Coalition
starfish,content,10,which instrument does Catalina play?,Guitar,Lisa Fipps,Starfish,Lake Oswego Public Library
starfish,content,14,What artist does Eliana compare Viv to because she has to move?,Picasso,Lisa Fipps,Starfish,OBOB Practice-Question Coalition
starfish,content,15,Ellie points to the only visible star where she lives. What is the name of the star?,Sirius OR (The) dog star,Lisa Fipps,Starfish,OBOB Practice-Question Coalition
starfish,content,17,what is the name of El's school?,Kiser Academy,Lisa Fipps,Starfish,OBOB Practice-Question Coalition
starfish,content,17,what is the name of Catalina's school?,Bishop Joseph Catholic School,Lisa Fipps,Starfish,OBOB Practice-Question Coalition
starfish,content,17,What is the name of the school that Catalina will attend? Must be exact.,Bishop Joseph Catholic (School),Lisa Fipps,Starfish,OBOB Practice-Question Coalition
starfish,content,17,What is the two-word name of the school that Ellie attends?,Kiser Academy,Lisa Fipps,Starfish,OBOB Practice-Question Coalition
starfish,content,17,What school does Catalina attend?,Bishop Joseph Catholic School,Lisa Fipps,Starfish,OBOB Practice-Question Coalition
starfish,content,17,what is the name of Ellie’s school?,Kiser Academy,Lisa Fipps,Starfish,Lake Oswego Public Library
starfish,content,21,what does El want to be when she grows up?,storyteller AND poet,Lisa Fipps,Starfish,OBOB Practice-Question Coalition
starfish,content,22,what kind of car does Liam drive?,(red) mustang,Lisa Fipps,Starfish,OBOB Practice-Question Coalition
starfish,content,22,What color and type of car does Liam drive?,red Mustang,Lisa Fipps,Starfish,OBOB Practice-Question Coalition
starfish,content,28,What are names of Eliana's Enemy #1 and Enemy #2?,Marissa and Kortnee,Lisa Fipps,Starfish,OBOB Practice-Question Coalition
starfish,content,28,What song does Marissa sing in front of Eliana on the first day of school?,"""Baby Beluga""",Lisa Fipps,Starfish,OBOB Practice-Question Coalition
starfish,content,29,what is the name of the chef at the Kiser Cafe?,Chef Brigitte,Lisa Fipps,Starfish,OBOB Practice-Question Coalition
starfish,content,29,What is the first name of the chef at Ellie's school?,(Chef) Brigitte,Lisa Fipps,Starfish,OBOB Practice-Question Coalition
starfish,content,30,what is the name of enemy #1?,Marissa,Lisa Fipps,Starfish,OBOB Practice-Question Coalition
starfish,content,30,what is the name of enemy #2?,Kortnee,Lisa Fipps,Starfish,OBOB Practice-Question Coalition
starfish,content,30,what are the first names of Enemy Number 1 and Enemy Number 2?,Marissa AND Kortnee,Lisa Fipps,Starfish,OBOB Practice-Question Coalition
starfish,content,30,Who is Enemy #1?,Marissa,Lisa Fipps,Starfish,OBOB Practice-Question Coalition
starfish,content,30,Who is Enemy #2?,Kortnee,Lisa Fipps,Starfish,OBOB Practice-Question Coalition
starfish,content,30,what are the first names of Enemy Number 1 and Enemy Number 2?,Marissa (Enemy #1) and Kortnee (Enemy #2,Lisa Fipps,Starfish,Lake Oswego Public Library
starfish,content,31,what is the name of the librarian who has a Canadian accent?,Mrs. Pochon,Lisa Fipps,Starfish,OBOB Practice-Question Coalition
starfish,content,31,What is the last name of the librarian at Ellie's school?,Pochon,Lisa Fipps,Starfish,OBOB Practice-Question Coalition
starfish,content,31,What is the librarian's name at Kiser Academy?,Mrs. Pochon,Lisa Fipps,Starfish,OBOB Practice-Question Coalition
starfish,content,31,what is the name of the school librarian?,Mrs. Pochon,Lisa Fipps,Starfish,Lake Oswego Public Library
starfish,content,32,what is Ellie's therapist's name?,Dr. Wood,Lisa Fipps,Starfish,OBOB Practice-Question Coalition
