book_key,question_type,page,text,answer,author_name,book_title,source_name
dragon-pearl,content,3,What is the shape of Min's house?,dome,Yoon Ha Lee,Dragon Pearl,OBOB Parent Group
dragon-pearl,content,4,What type of magic is Min's family's heritage?,fox (magic),Yoon Ha Lee,Dragon Pearl,OBOB Parent Group
dragon-pearl,content,4,what are foxes known for doing in the old days?,Playing tricks [like changing into beautiful humans and bringing in lonely travelers and suck out their lives],Yoon Ha Lee,Dragon Pearl,Lake Oswego Public Library
dragon-pearl,content,7,What is the name of the league that Jinju and other planets belong to?,Thousand Worlds,Yoon Ha Lee,Dragon Pearl,OBOB Parent Group
dragon-pearl,content,13,What is Min's true form?,red fox,Yoon Ha Lee,Dragon Pearl,OBOB Parent Group
dragon-pearl,content,13,What does Min shift into when the man brings Jun's letter to her home?,a table,Yoon Ha Lee,Dragon Pearl,OBOB Parent Group
dragon-pearl,content,19,The auntie Min dislikes most is the mother of whom?,Bora,Yoon Ha Lee,Dragon Pearl,OBOB Parent Group
dragon-pearl,content,,"Two part question:  Name two of the items, besides clothes, that Min packs into her backpack.","scroll (in plastic case),(breathing) masks, filters, data-slate, jades",Yoon Ha Lee,Dragon Pearl,OBOB Parent Group
dragon-pearl,content,31,What is the name of the ship that Jun was assigned to in the Space Force?,The Pale Lightning,Yoon Ha Lee,Dragon Pearl,OBOB Parent Group
dragon-pearl,content,32,What object could make Jinju a fully terraformed world?,The Dragon Pearl,Yoon Ha Lee,Dragon Pearl,OBOB Parent Group
dragon-pearl,content,32,What does the city name Hongok mean?,ruby,Yoon Ha Lee,Dragon Pearl,OBOB Parent Group
dragon-pearl,content,43,Where does Min leave her backpack?,restaurant,Yoon Ha Lee,Dragon Pearl,OBOB Parent Group
dragon-pearl,content,46,Which planet is famous for its gardens?,Madang,Yoon Ha Lee,Dragon Pearl,OBOB Parent Group
dragon-pearl,content,47,"Fill in the blank, This was sketched on the info kiosk - Don't play ________ at Nari's.",Dice,Yoon Ha Lee,Dragon Pearl,OBOB Parent Group
dragon-pearl,content,51,Who did Nari start her gambling business with?,Min's mom (Seomi),Yoon Ha Lee,Dragon Pearl,OBOB Parent Group
dragon-pearl,content,54,What did Nari want Min to use her Charm to get the customers to do?,relax,Yoon Ha Lee,Dragon Pearl,OBOB Parent Group
dragon-pearl,content,63,What is the name of the bouncer who helps Min leave Nari's?,Yong,Yoon Ha Lee,Dragon Pearl,OBOB Parent Group
dragon-pearl,content,,What is the name of the ship Min travels off of Jinju on?,Red Azalea,Yoon Ha Lee,Dragon Pearl,OBOB Parent Group
dragon-pearl,content,80,What system does Min have to fix a lot at home that helps her fix the Red Azalea?,ecofilter,Yoon Ha Lee,Dragon Pearl,OBOB Parent Group
dragon-pearl,content,,"What does Min ""throw at"" the doctor on the Pale Lightning so she'll believe Min is Jang?",Charm,Yoon Ha Lee,Dragon Pearl,OBOB Parent Group
dragon-pearl,content,,"Name one of the ""more respectable supernaturals"" the Space Force accepts.","Dragons, tigers, celestial maidens, goblins",Yoon Ha Lee,Dragon Pearl,OBOB Parent Group
dragon-pearl,content,6,what does it mean when foxes get the sensation of sneezing?,They smell another fox’s magic,Yoon Ha Lee,Dragon Pearl,Lake Oswego Public Library
dragon-pearl,content,8,why does the investigator want to speak to Min about the message Jun addressed to her?,The investigator wonders if there is a coded language that only Min can understand,Yoon Ha Lee,Dragon Pearl,Lake Oswego Public Library
dragon-pearl,content,19,which of Min’s aunties does she dislike the most?,Auntie Kim Areum,Yoon Ha Lee,Dragon Pearl,Lake Oswego Public Library
dragon-pearl,content,27,"in Min’s family photo she brought on her journey, which corner is there a blotch?",Lower left corner,Yoon Ha Lee,Dragon Pearl,Lake Oswego Public Library
dragon-pearl,content,57,which Captain has a scar on their chin?,Captain Hye,Yoon Ha Lee,Dragon Pearl,Lake Oswego Public Library
dragon-pearl,content,58,what does Nari’s parlor do to kill a customer's luck?,use charm on the wine,Yoon Ha Lee,Dragon Pearl,Lake Oswego Public Library
dragon-pearl,content,92,What is the name of the dragon Min befriends on the Pale Lightning?,Haneul,Yoon Ha Lee,Dragon Pearl,OBOB Parent Group
dragon-pearl,content,96,what is Sujin’s magical club or wand?,A spork,Yoon Ha Lee,Dragon Pearl,Lake Oswego Public Library
dragon-pearl,content,100,what bunk number did Jang sleep in?,Bunk 12,Yoon Ha Lee,Dragon Pearl,Lake Oswego Public Library
dragon-pearl,content,113,What item in Jang's personal effects indicated to Min that he came from a wealthy family?,professional portraits (photos),Yoon Ha Lee,Dragon Pearl,OBOB Parent Group
dragon-pearl,content,120,What does Min do to the laundry robot on the Pale Lightning to fix it?,reboot it,Yoon Ha Lee,Dragon Pearl,OBOB Parent Group
dragon-pearl,content,122,why is the Pearl so valuable?,It has the power to destroy and create,Yoon Ha Lee,Dragon Pearl,Lake Oswego Public Library
dragon-pearl,content,129,"What bunk number did Jun, Min's brother, stay in?",Two,Yoon Ha Lee,Dragon Pearl,OBOB Parent Group
dragon-pearl,content,160,Along which Meridian does Sujin get burned?,Meridian 3,Yoon Ha Lee,Dragon Pearl,OBOB Parent Group
dragon-pearl,content,162,"What is it called when you synchronize ""your gi with the ship's so it's like a part of your own body""?",Engineer's Trance,Yoon Ha Lee,Dragon Pearl,OBOB Parent Group
dragon-pearl,content,169,What was the code Min used to enter the captain's quarters?,1483,Yoon Ha Lee,Dragon Pearl,OBOB Parent Group
dragon-pearl,content,169,What does Min smell as soon as she sneaks into the captain's quarters?,fox magic (her brother),Yoon Ha Lee,Dragon Pearl,OBOB Parent Group
dragon-pearl,content,169,what is the passcode to enter Captain Hwan’s quarters?,1-4-8-3,Yoon Ha Lee,Dragon Pearl,Lake Oswego Public Library
dragon-pearl,content,171,"What did the Aunties teach Min as part of her ""cultural heritage""?",calligraphy,Yoon Ha Lee,Dragon Pearl,OBOB Parent Group
dragon-pearl,content,173,What other name is Fourth Colony known by?,Ghost Colony,Yoon Ha Lee,Dragon Pearl,OBOB Parent Group
dragon-pearl,content,188,Which spirits wiped out the colonists of the Fourth Colony?,pox spirits,Yoon Ha Lee,Dragon Pearl,OBOB Parent Group
dragon-pearl,content,196,Which person on the ship does Min shape shift into in order to visit the prisoners?,Captain Hwan,Yoon Ha Lee,Dragon Pearl,OBOB Parent Group
dragon-pearl,content,201,What happens to Min when she throws a lot of Charm around?,gets a headache,Yoon Ha Lee,Dragon Pearl,OBOB Parent Group
dragon-pearl,content,204,What is the Scholar's name?,Chul,Yoon Ha Lee,Dragon Pearl,OBOB Parent Group
dragon-pearl,content,212,What color shines when Min realizes something is wrong on their Gate-jump to the Fourth Colony?,white,Yoon Ha Lee,Dragon Pearl,OBOB Parent Group
dragon-pearl,content,212,what is the Fourth Colony known for?,Ghosts,Yoon Ha Lee,Dragon Pearl,Lake Oswego Public Library
dragon-pearl,content,214,What does the EMP is EMP mines stand for?,Electromagnetic pulses,Yoon Ha Lee,Dragon Pearl,OBOB Parent Group
dragon-pearl,content,228,What color is Min's pelt in fox form?,red,Yoon Ha Lee,Dragon Pearl,OBOB Parent Group
dragon-pearl,content,233,Who's footsteps did Min follow while they stayed invisible?,Sujin,Yoon Ha Lee,Dragon Pearl,OBOB Parent Group
dragon-pearl,content,242,"Sujin conjures something with their spork that causes Min to feel homesick when they're in the escape pod, what is it?",Shrimp crackers or packets of shrimp crackers,Yoon Ha Lee,Dragon Pearl,OBOB Parent Group
dragon-pearl,content,248,What color does Min's display light up to let them know the air is breathable on the Fourth Colony?,blue,Yoon Ha Lee,Dragon Pearl,OBOB Parent Group
dragon-pearl,content,254,What does Hanuel use to scratch a map in dirt?,a twig,Yoon Ha Lee,Dragon Pearl,OBOB Parent Group
dragon-pearl,content,,"Where does Jun lead Min, Sujin and Hanuel when they land on the Fourth Colony?",his shuttle,Yoon Ha Lee,Dragon Pearl,OBOB Parent Group
dragon-pearl,content,261,"How many spirits, in addition to Jun, were at his shuttle?",five,Yoon Ha Lee,Dragon Pearl,OBOB Parent Group
dragon-pearl,content,277,What is another word used for goblin in this book?,Dokkaebi,Yoon Ha Lee,Dragon Pearl,OBOB Parent Group
dragon-pearl,content,279,What animal does Min turn into to get the Pearl?,hawk,Yoon Ha Lee,Dragon Pearl,OBOB Parent Group
dragon-pearl,content,280,What is the size of the Dragon Pearl?,human fist,Yoon Ha Lee,Dragon Pearl,OBOB Parent Group
