book_key,question_type,page,text,answer,author_name,book_title,source_name
serpents-secret,content,1,What creature swallowed up Kiranmala's parents?,Rakkhosh,Sayantani DasGupta,The Serpent's Secret,Beaverton City Library
serpents-secret,content,2,what is the name of Kiran's archnemesis?,Jovi,Sayantani DasGupta,The Serpent's Secret,Lake Oswego Public Library
serpents-secret,content,2,Who was supposed to be Kiranmala's archnemesis?,Jovi,Sayantani DasGupta,The Serpent's Secret,Beaverton City Library
serpents-secret,content,2,What kind of birthday would Kiranmala always have?,A Halloween birthday,Sayantani DasGupta,The Serpent's Secret,Beaverton City Library
serpents-secret,content,3,what costume did the parents insist on wearing everyyear,Indian princess,Sayantani DasGupta,The Serpent's Secret,OBOB Practice-Question Coalition
serpents-secret,content,3,what do Kiran's parents want her to dress up as for Halloween?,An Indian princess,Sayantani DasGupta,The Serpent's Secret,Cedar Mill Library
serpents-secret,content,4,what was the store the main characters father owned,Royal farms convenience emporium,Sayantani DasGupta,The Serpent's Secret,OBOB Practice-Question Coalition
serpents-secret,content,6,Where does Kiranmala live?,"Parsippany, New Jersey",Sayantani DasGupta,The Serpent's Secret,OBOB Practice-Question Coalition
serpents-secret,content,7,who woke up Kiran on her 12th birthday,ZuZu,Sayantani DasGupta,The Serpent's Secret,OBOB Practice-Question Coalition
serpents-secret,content,8,What does the main character’s scar resemble?,a pair of saggy glasses,Sayantani DasGupta,The Serpent's Secret,OBOB Practice-Question Coalition
serpents-secret,content,8,what did Kiran use to hide her scar on her birthday,Bandana and black hoodie,Sayantani DasGupta,The Serpent's Secret,OBOB Practice-Question Coalition
serpents-secret,content,11,What color is Ma’s sari?,bright yellow and green,Sayantani DasGupta,The Serpent's Secret,OBOB Practice-Question Coalition
serpents-secret,content,14,What were the two sweets that Kiranmala's mother liked to make for the trick-or-treaters?,Rasagollas and Sandesh,Sayantani DasGupta,The Serpent's Secret,Beaverton City Library
serpents-secret,content,14,what are the two homemade sweets Kiranmala's Ma gives out to the trick or treaters?,Rasagollas and Sandesh,Sayantani DasGupta,The Serpent's Secret,Cedar Mill Library
serpents-secret,content,15,What color birthday card did Kiran get from her dad for her 12th birthday,Bright neon pink,Sayantani DasGupta,The Serpent's Secret,OBOB Practice-Question Coalition
serpents-secret,content,15,what are the sweet syrupy treats that Kiran's mom makes called?,Rasagollas,Sayantani DasGupta,The Serpent's Secret,Lake Oswego Public Library
serpents-secret,content,16,What do Kiranmala’s parents leave for her as a clue?,a hastily written note,Sayantani DasGupta,The Serpent's Secret,OBOB Practice-Question Coalition
serpents-secret,content,17,"in the birthday card Kiran's mom leaves, what is unusual about the card and name one of two things left in the card?","1) The note stops at an inkblot, (2) there were a wad of bills and a yellow sheet of blank paper",Sayantani DasGupta,The Serpent's Secret,Lake Oswego Public Library
serpents-secret,content,19,which brother is older between the two princes?,Neel,Sayantani DasGupta,The Serpent's Secret,Lake Oswego Public Library
