book_key,question_type,page,text,answer,author_name,book_title,source_name
freewater,content,0,"name any two of the ""tales"" that had spread among the swamp island children about ""what lay in plantation lands.""","Any two of: 1) two-headed men, 2) turtles without shells, 3)skeletons that rose from the dead",Amina Luqman-Dawson,Freewater,OBOB Practice-Question Coalition
freewater,content,0,how old is Sanzi in the beginning of the story?,twelve years old,Amina Luqman-Dawson,Freewater,OBOB Practice-Question Coalition
freewater,content,,name two of the original 6 people who found the Big Tree?,"David, Mrs. Light, Suleman, Jupiter, Gus, or Mrs. Faith",Amina Luqman-Dawson,Freewater,Cedar Mill Library
freewater,content,2,what is the name of Homer's younger sister?,Ada,Amina Luqman-Dawson,Freewater,OBOB Practice-Question Coalition
freewater,content,3,what is the name of the plantation that Homer's family tried to escape?,Southerland or Southerland Plantation,Amina Luqman-Dawson,Freewater,OBOB Practice-Question Coalition
freewater,content,4,what does Ada think people can do up North that she also dreams of doing?,flying,Amina Luqman-Dawson,Freewater,OBOB Practice-Question Coalition
freewater,content,5,"what is the name of the man that Homer helps ""put into a coffin""?",Mingo,Amina Luqman-Dawson,Freewater,OBOB Practice-Question Coalition
freewater,content,6,how old is Ada when she and Homer run away from Southerland plantation?,seven years old,Amina Luqman-Dawson,Freewater,OBOB Practice-Question Coalition
freewater,content,6,how old is Ada?,seven years old,Amina Luqman-Dawson,Freewater,OBOB Practice-Question Coalition
freewater,content,7,"according to Homer, what does the swamp smell like? (Be specific!)",old tea,Amina Luqman-Dawson,Freewater,OBOB Practice-Question Coalition
freewater,content,7,"according to Homer, what's the most important rule at Southerland?",being invisible (or invisibility),Amina Luqman-Dawson,Freewater,OBOB Practice-Question Coalition
freewater,content,7,what is the name of the plantation that Homer and Ada escape from?,Southerland,Amina Luqman-Dawson,Freewater,Lake Oswego Public Library
freewater,content,8,"who tells Ada that monsters would ""eat you alive""?",Mrs. Petunia,Amina Luqman-Dawson,Freewater,OBOB Practice-Question Coalition
freewater,content,8,what is the name of the person who told Ada stories about monsters who come out from the trees and eat people alive?,Mrs. Petunia,Amina Luqman-Dawson,Freewater,OBOB Practice-Question Coalition
freewater,content,8,why does Homer and Ada’s mom leave them during their escape and go back to the plantation?,To get Anna (Homer’s friend,Amina Luqman-Dawson,Freewater,Lake Oswego Public Library
freewater,content,11,what are the first names of Stokes' newly married brothers-in-law?,Rick and Ron,Amina Luqman-Dawson,Freewater,OBOB Practice-Question Coalition
freewater,content,11,what is the name of the overseer of Southerland Plantation?,Stokes,Amina Luqman-Dawson,Freewater,OBOB Practice-Question Coalition
freewater,content,11,why did Stokes hire Rick and Ron as overseers in training even if he thought they were dim-witted?,He hired them as a favor to his two sisters.,Amina Luqman-Dawson,Freewater,OBOB Practice-Question Coalition
freewater,content,11,what are the first names of Stokes’s two new brothers-in-law who are overseers in training at the plantation?,Rick and Ron,Amina Luqman-Dawson,Freewater,Lake Oswego Public Library
freewater,content,11,what game is Stokes playing with his brothers-in-law the night Homer and Ada escape?,Power,Amina Luqman-Dawson,Freewater,Lake Oswego Public Library
freewater,content,15,what was the name of Two-Shoes' son?,Desmond,Amina Luqman-Dawson,Freewater,OBOB Practice-Question Coalition
freewater,content,15,what is the name of Two-Shoes' wife?,Sally,Amina Luqman-Dawson,Freewater,OBOB Practice-Question Coalition
freewater,content,22,what weapon kills the snake that coils itself around Homer’s leg in the swamp?,An arrow,Amina Luqman-Dawson,Freewater,Lake Oswego Public Library
freewater,content,24,how many fingers is Suleman missing and how did he lose them?,"Three, lost one for each of the times he tried escaping from the plantation",Amina Luqman-Dawson,Freewater,Lake Oswego Public Library
freewater,content,29,"what is the name of the ""flying man"" who rescued Homer & Ada as they ran away from Stokes and his dogs?",Suleman,Amina Luqman-Dawson,Freewater,OBOB Practice-Question Coalition
freewater,content,30,What is the name of the plantation that Homer and Ada escape from?,Southerland Plantation,Amina Luqman-Dawson,Freewater,Beaverton City Library
freewater,content,38,"the first time Suleman answers one of Ada's questions, what is his one-word reply?","""yes""",Amina Luqman-Dawson,Freewater,OBOB Practice-Question Coalition
freewater,content,39,"on Homer's list of the steps of his journey to Freewater, what comes right after ""green water"" and ""tree boat""?",lily pads,Amina Luqman-Dawson,Freewater,OBOB Practice-Question Coalition
freewater,content,42,who is the original owner of the shirt that Suleman is wearing when Homer and Ada meet him in the swamp?,Master Crumb,Amina Luqman-Dawson,Freewater,OBOB Practice-Question Coalition
freewater,content,42,what is the name of the slave at the plantation who secretly communicates with Suleman?,Old Joe,Amina Luqman-Dawson,Freewater,Lake Oswego Public Library
