book_key,question_type,page,text,answer,author_name,book_title,source_name
sam-makes-a-splash,content,0,how many siblings does Samantha have?,4,Nicole Melleby,Sam Makes a Splash,OBOB Practice-Question Coalition
sam-makes-a-splash,content,0,what skill is Samantha trying to learn?,how to swim,Nicole Melleby,Sam Makes a Splash,OBOB Practice-Question Coalition
sam-makes-a-splash,content,1,in what state is the story set?,New Jersey,Nicole Melleby,Sam Makes a Splash,OBOB Practice-Question Coalition
sam-makes-a-splash,content,2,how long was the Chaparral boat that their Mom was working on?,Forty-Five feet,Nicole Melleby,Sam Makes a Splash,Lake Oswego Library
sam-makes-a-splash,content,2,What are the names of the sisters that Sam shares a room with?,Harbor and Marina,Nicole Melleby,Sam Makes a Splash,Cedar Mill Library
sam-makes-a-splash,content,2,what could Marina not sleep without?,White-noise or sound machine,Nicole Melleby,Sam Makes a Splash,OBOB Practice-Question Coalition
sam-makes-a-splash,content,2,What does Mom do for a living?,"Fixes boats and drives them, too",Nicole Melleby,Sam Makes a Splash,Beaverton City Library
sam-makes-a-splash,content,2,Who is Sam in competition with over Mom's business?,Harbor,Nicole Melleby,Sam Makes a Splash,Beaverton City Library
sam-makes-a-splash,content,3,who is always the first one awake?,Harbor,Nicole Melleby,Sam Makes a Splash,OBOB Practice-Question Coalition
sam-makes-a-splash,content,4,How far apart are Harbor and Sam in age?,4 months,Nicole Melleby,Sam Makes a Splash,OBOB Practice-Question Coalition
sam-makes-a-splash,content,4,How many months apart in age are Harbor and Sam?,Four months,Nicole Melleby,Sam Makes a Splash,Beaverton City Library
sam-makes-a-splash,content,5,which sister is biologically mom's?,Harbor,Nicole Melleby,Sam Makes a Splash,OBOB Practice-Question Coalition
sam-makes-a-splash,content,6,what did the arrival of the Badger Boys mean?,The beginning of Summer,Nicole Melleby,Sam Makes a Splash,Lake Oswego Library
sam-makes-a-splash,content,6,what is the official beginning of summer?,The arrival of the Badger Brothers,Nicole Melleby,Sam Makes a Splash,OBOB Practice-Question Coalition
sam-makes-a-splash,content,6,With the arrival of whom marks the beginning of summer for the AliO'Connors?,The Badger Brothers,Nicole Melleby,Sam Makes a Splash,Beaverton City Library
sam-makes-a-splash,content,6,What are the names of the twins?,Cordelia and Lir,Nicole Melleby,Sam Makes a Splash,Beaverton City Library
sam-makes-a-splash,content,6,Who can't swim in the Ali-O'Connor household?,Sam,Nicole Melleby,Sam Makes a Splash,Beaverton City Library
sam-makes-a-splash,content,7,how many feet wide was the lagoon from the end of their dock to the beginning of the Badgers’ dock?,Fifty feet,Nicole Melleby,Sam Makes a Splash,Lake Oswego Library
sam-makes-a-splash,content,11,What is the name of the Badger Brother's grandma?,Brenda Badger,Nicole Melleby,Sam Makes a Splash,OBOB Practice-Question Coalition
sam-makes-a-splash,content,12,Who refers to the Ali-O'Connor children as if they are one entity?,Brenda Badger,Nicole Melleby,Sam Makes a Splash,Beaverton City Library
